day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-11,15861,964,104,1250,7,949,125,99,173611,11961,656,58.11999999999999,0,0,0,0,0,0,0,0.129,0.0077,62,4268,8,33,61,11
2019-01-12,10754,653,33,543,11,347,134,41,113124,7897,631,55.85,0,0,0,0,0,0,0,0.25,0.0069,28,2735,7,19,100,2
2019-01-13,3876,236,8,158,3,120,73,13,40997,2663,634,56.16,0,0,0,0,0,0,0,0.16670000000000001,0.0032,6,950,1,3,32,1
2019-01-14,1858,119,9,91,2,59,46,12,19920,1384,643,56.93,0,0,0,0,0,0,0,0.5,0.011399999999999999,8,525,4,6,18,1
2019-01-15,1601,87,2,64,0,36,27,3,16554,1024,620,54.89999999999999,0,0,0,0,0,0,0,0.3333,0.0024,3,423,1,1,17,1
2019-01-16,1430,96,1,53,1,46,30,3,14757,1112,619,54.79999999999999,0,0,0,0,0,0,0,0.0,0.005600000000000001,3,358,0,2,12,2
2019-01-17,1223,61,5,46,2,42,18,9,12717,827,623,55.21,0,0,0,0,0,0,0,0.0,0.0,0,310,0,0,20,2
2019-01-18,1028,76,2,35,0,28,17,4,11455,963,668,59.17,0,0,0,0,0,0,0,0.0,0.014199999999999999,6,282,0,4,11,1
2019-01-19,958,57,1,31,0,18,21,1,10950,701,685,60.69,0,0,0,0,0,0,0,0.3333,0.0086,3,232,1,2,8,1
2019-01-20,931,63,3,34,1,19,15,1,10803,762,696,61.61,0,0,0,0,0,0,0,0.0,0.0038,2,266,0,1,10,0
2019-01-21,675,47,2,29,1,20,14,2,8028,557,713,63.16,0,0,0,0,0,0,0,0.3333,0.0159,3,189,1,3,3,0
2019-01-22,714,51,0,20,0,12,11,3,8277,600,695,61.55,0,0,0,0,0,0,0,0.0,0.0,1,179,0,0,10,0
2019-01-23,694,41,1,20,0,12,15,3,7858,531,679,60.13,0,0,0,0,0,0,0,0.5,0.020099999999999996,4,199,2,4,6,0
2019-01-24,602,43,1,14,1,15,16,1,6947,408,692,61.28,0,0,0,0,0,0,0,0.0,0.006500000000000001,1,153,0,1,7,0
2019-01-25,613,30,0,8,0,7,14,1,6979,390,683,60.45,0,0,0,0,0,0,0,0.0,0.0069,2,144,0,1,6,0
2019-01-26,797,58,1,14,0,14,7,3,9407,661,708,62.67,0,0,0,0,0,0,0,1.0,0.005,1,202,1,1,4,0
2019-01-27,735,50,1,13,0,13,8,1,8514,653,695,61.51,0,0,0,0,0,0,0,0.5,0.0105,2,190,1,2,7,0
2019-01-28,577,51,1,17,0,7,13,1,6819,778,709,62.75999999999999,0,0,0,0,0,0,0,1.0,0.0060999999999999995,1,165,1,1,5,0
