videoID,day,likes
B7497mQRn2Y,2019-01-11,1250
B7497mQRn2Y,2019-01-12,543
B7497mQRn2Y,2019-01-13,158
B7497mQRn2Y,2019-01-14,91
B7497mQRn2Y,2019-01-15,64
B7497mQRn2Y,2019-01-16,53
B7497mQRn2Y,2019-01-17,46
B7497mQRn2Y,2019-01-18,35
B7497mQRn2Y,2019-01-19,31
B7497mQRn2Y,2019-01-20,34
B7497mQRn2Y,2019-01-21,29
B7497mQRn2Y,2019-01-22,20
B7497mQRn2Y,2019-01-23,20
B7497mQRn2Y,2019-01-24,14
B7497mQRn2Y,2019-01-25,8
B7497mQRn2Y,2019-01-26,14
B7497mQRn2Y,2019-01-27,13
B7497mQRn2Y,2019-01-28,17
B7497mQRn2Y,2019-01-29,11
B7497mQRn2Y,2019-01-30,17
B7497mQRn2Y,2019-01-31,12
B7497mQRn2Y,2019-02-01,12
B7497mQRn2Y,2019-02-02,21
B7497mQRn2Y,2019-02-03,22
B7497mQRn2Y,2019-02-04,14
B7497mQRn2Y,2019-02-05,13
B7497mQRn2Y,2019-02-06,10
B7497mQRn2Y,2019-02-07,11
B7497mQRn2Y,2019-02-08,15
B7497mQRn2Y,2019-02-09,13
B7497mQRn2Y,2019-02-10,18
B7497mQRn2Y,2019-02-11,11
B7497mQRn2Y,2019-02-12,5
B7497mQRn2Y,2019-02-13,12
B7497mQRn2Y,2019-02-14,5
B7497mQRn2Y,2019-02-15,8
B7497mQRn2Y,2019-02-16,12
B7497mQRn2Y,2019-02-17,20
B7497mQRn2Y,2019-02-18,20
B7497mQRn2Y,2019-02-19,14
B7497mQRn2Y,2019-02-20,6
B7497mQRn2Y,2019-02-21,16
B7497mQRn2Y,2019-02-22,10
B7497mQRn2Y,2019-02-23,15
B7497mQRn2Y,2019-02-24,16
B7497mQRn2Y,2019-02-25,10
B7497mQRn2Y,2019-02-26,10
B7497mQRn2Y,2019-02-27,11
B7497mQRn2Y,2019-02-28,7
B7497mQRn2Y,2019-03-01,5
B7497mQRn2Y,2019-03-02,8
B7497mQRn2Y,2019-03-03,22
B7497mQRn2Y,2019-03-04,12
B7497mQRn2Y,2019-03-05,9
B7497mQRn2Y,2019-03-06,17
B7497mQRn2Y,2019-03-07,13
B7497mQRn2Y,2019-03-08,10
B7497mQRn2Y,2019-03-09,12
B7497mQRn2Y,2019-03-10,20
B7497mQRn2Y,2019-03-11,12
B7497mQRn2Y,2019-03-12,8
