day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2015-04-02,88,0,18,13,0,1,0,0,203,0,138,53.33,0,0.05,41,41,20,0,1,0,0,0,0,0,0,1,1
2015-04-03,36,0,3,2,0,1,1,0,73,0,122,47.14,0,0.0,5,5,2,0,0,0,0,0,0,0,0,0,0
2015-04-04,21,0,0,5,0,0,0,0,45,0,130,50.16,0,0.0,4,4,2,0,0,0,0,0,0,0,0,0,0
2015-04-05,21,0,0,1,0,1,1,0,36,0,104,40.32,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,10,0,0,0,0,0,0,0,17,0,103,39.79,0,0.5,4,4,2,0,1,0,0,0,0,0,0,0,0
2015-04-07,11,0,0,0,0,0,0,0,23,0,125,48.39,0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,15,0,0,1,0,0,0,0,52,0,210,80.91,0,0.0,10,10,3,0,0,0,0,0,0,0,0,0,0
2015-04-09,7,0,1,1,0,0,0,0,15,0,129,49.83,0,0.3333,3,3,3,0,1,0,0,0,0,0,0,0,0
2015-04-10,4,0,1,1,0,0,0,0,0,0,11,4.48,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,16,0,0,1,0,0,0,0,25,0,96,36.98,0,0.0,7,7,4,0,0,0,0,0,0,0,0,0,1
2015-04-12,3,0,0,0,0,0,0,0,6,0,126,48.57,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0
2015-04-13,6,0,0,1,0,0,0,0,5,0,52,20.24,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,5,0,0,0,0,0,0,0,11,0,135,52.190000000000005,0,0.0,5,5,3,0,0,0,0,0,0,0,0,0,0
2015-04-15,3,0,0,0,0,0,0,0,4,0,98,38.06,0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2015-04-16,3,0,0,0,0,0,0,0,2,0,52,20.26,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,3,0,0,0,0,0,0,0,6,0,122,46.97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,1,0,0,0,0,0,0,0,0,0,16,6.45,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,8,0,0,0,0,1,1,0,6,0,48,18.54,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,6,0,2,1,0,1,0,0,13,0,132,50.85999999999999,0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2015-04-22,5,0,0,0,0,0,0,0,12,0,147,56.60000000000001,0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2015-04-23,8,0,1,1,0,0,0,0,18,0,135,52.04,0,0.0,4,4,3,0,0,0,0,0,0,0,0,0,0
2015-04-24,4,0,0,0,0,0,0,0,5,0,82,31.75,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25,6,0,0,2,0,0,0,0,9,0,92,35.43,0,0.0,3,3,2,0,0,0,0,0,0,0,0,0,0
2015-04-26,9,0,0,0,0,0,0,0,24,0,165,63.6,0,0.0,5,5,2,0,0,0,0,0,0,0,0,0,0
2015-04-27,6,0,0,1,0,0,0,0,11,0,117,45.27,0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0
2015-04-28,1,0,0,0,0,0,0,0,0,0,40,15.54,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,2,0,0,0,0,0,0,0,3,0,99,38.39,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,1,0,0,0,0,0,0,0,0,0,35,13.58,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,2,0,0,0,0,0,0,0,3,0,106,40.85,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-02,1,0,0,0,0,0,0,0,0,0,58,22.67,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,3,0,0,0,0,0,0,0,4,0,97,37.62,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-04,4,0,0,1,0,0,0,0,12,0,185,71.53,0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0
