day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,353,27,0,6,1,6,3,1,2349,178,399,58.8,0,0,0,0,0,0,0,0.0,0.0069,4,288,0,2,2,0
2019-01-02,301,27,0,12,0,5,12,0,2193,187,437,64.39,0,0,0,0,0,0,0,0.125,0.0183,8,273,1,5,3,0
2019-01-03,409,16,0,10,0,16,8,0,2770,107,406,59.85,0,0,0,0,0,0,0,0.3333,0.014199999999999999,6,351,2,5,5,0
2019-01-04,444,18,0,11,0,10,10,2,2994,134,404,59.589999999999996,0,0,0,0,0,0,0,0.0,0.0084,4,357,0,3,5,0
2019-01-05,394,20,0,12,0,13,2,0,2764,101,421,62.01,0,0,0,0,0,0,0,0.0,0.0137,8,291,0,4,4,0
2019-01-06,296,6,0,6,0,4,7,0,2151,48,436,64.23,0,0,0,0,0,0,0,0.0,0.0043,2,235,0,1,1,0
2019-01-07,341,23,0,4,0,2,4,1,2475,188,435,64.15,0,0,0,0,0,0,0,0.0,0.0196,10,255,0,5,0,0
2019-01-08,522,28,1,6,0,5,2,0,3439,150,395,58.22999999999999,0,0,0,0,0,0,0,0.0,0.005699999999999999,4,348,0,2,3,0
2019-01-09,463,37,0,10,0,13,6,0,3024,233,391,57.72999999999999,0,0,0,0,0,0,0,0.0,0.0,0,327,0,0,4,2
2019-01-10,271,16,0,9,0,7,4,1,1923,116,425,62.73,0,0,0,0,0,0,0,0.0,0.0043,2,232,0,1,6,0
2019-01-11,477,25,0,14,0,15,4,0,3233,156,406,59.9,0,0,0,0,0,0,0,0.0,0.0059,4,340,0,2,2,0
2019-01-12,465,21,3,14,0,10,5,2,3106,185,400,59.03,0,0,0,0,0,0,0,0.125,0.0111,8,360,1,4,4,0
2019-01-13,558,24,0,12,0,10,2,3,3886,206,417,61.53999999999999,0,0,0,0,0,0,0,0.0,0.0102,8,391,0,4,3,0
2019-01-14,581,22,1,14,0,14,7,2,4183,197,432,63.629999999999995,0,0,0,0,0,0,0,0.0,0.0043,4,464,0,2,6,0
2019-01-15,610,30,0,13,0,12,3,2,4300,192,423,62.3,0,0,0,0,0,0,0,0.0,0.0068000000000000005,4,441,0,3,5,0
2019-01-16,510,28,0,9,1,7,2,1,3479,203,409,60.29,0,0,0,0,0,0,0,0.125,0.0098,8,410,1,4,1,0
2019-01-17,444,24,0,9,2,10,0,0,3061,172,413,60.919999999999995,0,0,0,0,0,0,0,0.0,0.0079,8,380,0,3,2,0
2019-01-18,409,21,0,8,0,8,2,1,2448,148,359,52.910000000000004,0,0,0,0,0,0,0,0.0,0.0124,8,322,0,4,1,0
