videoID,day,likes
BiMiQVM6FEo,2018-12-06,67
BiMiQVM6FEo,2018-12-07,852
BiMiQVM6FEo,2018-12-08,469
BiMiQVM6FEo,2018-12-09,226
BiMiQVM6FEo,2018-12-10,143
BiMiQVM6FEo,2018-12-11,68
BiMiQVM6FEo,2018-12-12,46
BiMiQVM6FEo,2018-12-13,31
BiMiQVM6FEo,2018-12-14,31
BiMiQVM6FEo,2018-12-15,24
BiMiQVM6FEo,2018-12-16,18
BiMiQVM6FEo,2018-12-17,18
BiMiQVM6FEo,2018-12-18,11
BiMiQVM6FEo,2018-12-19,11
BiMiQVM6FEo,2018-12-20,6
BiMiQVM6FEo,2018-12-21,5
BiMiQVM6FEo,2018-12-22,11
BiMiQVM6FEo,2018-12-23,6
BiMiQVM6FEo,2018-12-24,9
BiMiQVM6FEo,2018-12-25,16
BiMiQVM6FEo,2018-12-26,16
BiMiQVM6FEo,2018-12-27,10
BiMiQVM6FEo,2018-12-28,6
BiMiQVM6FEo,2018-12-29,6
BiMiQVM6FEo,2018-12-30,9
BiMiQVM6FEo,2018-12-31,6
BiMiQVM6FEo,2019-01-01,6
BiMiQVM6FEo,2019-01-02,12
BiMiQVM6FEo,2019-01-03,10
BiMiQVM6FEo,2019-01-04,11
BiMiQVM6FEo,2019-01-05,12
BiMiQVM6FEo,2019-01-06,6
BiMiQVM6FEo,2019-01-07,4
BiMiQVM6FEo,2019-01-08,6
BiMiQVM6FEo,2019-01-09,10
BiMiQVM6FEo,2019-01-10,9
BiMiQVM6FEo,2019-01-11,14
BiMiQVM6FEo,2019-01-12,14
BiMiQVM6FEo,2019-01-13,12
BiMiQVM6FEo,2019-01-14,14
BiMiQVM6FEo,2019-01-15,13
BiMiQVM6FEo,2019-01-16,9
BiMiQVM6FEo,2019-01-17,9
BiMiQVM6FEo,2019-01-18,8
BiMiQVM6FEo,2019-01-19,11
BiMiQVM6FEo,2019-01-20,27
BiMiQVM6FEo,2019-01-21,23
BiMiQVM6FEo,2019-01-22,17
BiMiQVM6FEo,2019-01-23,14
BiMiQVM6FEo,2019-01-24,13
BiMiQVM6FEo,2019-01-25,6
BiMiQVM6FEo,2019-01-26,10
BiMiQVM6FEo,2019-01-27,5
BiMiQVM6FEo,2019-01-28,8
BiMiQVM6FEo,2019-01-29,3
BiMiQVM6FEo,2019-01-30,2
BiMiQVM6FEo,2019-01-31,2
BiMiQVM6FEo,2019-02-01,8
BiMiQVM6FEo,2019-02-02,8
BiMiQVM6FEo,2019-02-03,11
BiMiQVM6FEo,2019-02-04,11
BiMiQVM6FEo,2019-02-05,9
BiMiQVM6FEo,2019-02-06,4
BiMiQVM6FEo,2019-02-07,6
BiMiQVM6FEo,2019-02-08,3
BiMiQVM6FEo,2019-02-09,9
BiMiQVM6FEo,2019-02-10,14
BiMiQVM6FEo,2019-02-11,6
BiMiQVM6FEo,2019-02-12,5
BiMiQVM6FEo,2019-02-13,4
BiMiQVM6FEo,2019-02-14,4
BiMiQVM6FEo,2019-02-15,6
BiMiQVM6FEo,2019-02-16,15
BiMiQVM6FEo,2019-02-17,3
BiMiQVM6FEo,2019-02-18,12
BiMiQVM6FEo,2019-02-19,5
BiMiQVM6FEo,2019-02-20,7
BiMiQVM6FEo,2019-02-21,4
BiMiQVM6FEo,2019-02-22,2
BiMiQVM6FEo,2019-02-23,12
BiMiQVM6FEo,2019-02-24,12
BiMiQVM6FEo,2019-02-25,7
BiMiQVM6FEo,2019-02-26,10
BiMiQVM6FEo,2019-02-27,5
BiMiQVM6FEo,2019-02-28,7
BiMiQVM6FEo,2019-03-01,4
BiMiQVM6FEo,2019-03-02,13
BiMiQVM6FEo,2019-03-03,8
BiMiQVM6FEo,2019-03-04,2
BiMiQVM6FEo,2019-03-05,3
BiMiQVM6FEo,2019-03-06,3
BiMiQVM6FEo,2019-03-07,6
BiMiQVM6FEo,2019-03-08,2
BiMiQVM6FEo,2019-03-09,8
BiMiQVM6FEo,2019-03-10,10
BiMiQVM6FEo,2019-03-11,4
BiMiQVM6FEo,2019-03-12,5
BiMiQVM6FEo,2019-03-13,4
BiMiQVM6FEo,2019-03-14,0
BiMiQVM6FEo,2019-03-15,1
BiMiQVM6FEo,2019-03-16,5
BiMiQVM6FEo,2019-03-17,10
BiMiQVM6FEo,2019-03-18,12
BiMiQVM6FEo,2019-03-19,7
BiMiQVM6FEo,2019-03-20,7
BiMiQVM6FEo,2019-03-21,7
BiMiQVM6FEo,2019-03-22,10
BiMiQVM6FEo,2019-03-23,7
BiMiQVM6FEo,2019-03-24,9
BiMiQVM6FEo,2019-03-25,2
BiMiQVM6FEo,2019-03-26,10
BiMiQVM6FEo,2019-03-27,4
BiMiQVM6FEo,2019-03-28,6
BiMiQVM6FEo,2019-03-29,3
BiMiQVM6FEo,2019-03-30,5
BiMiQVM6FEo,2019-03-31,7
BiMiQVM6FEo,2019-04-01,14
BiMiQVM6FEo,2019-04-02,13
BiMiQVM6FEo,2019-04-03,13
BiMiQVM6FEo,2019-04-04,8
BiMiQVM6FEo,2019-04-05,6
BiMiQVM6FEo,2019-04-06,12
BiMiQVM6FEo,2019-04-07,11
BiMiQVM6FEo,2019-04-08,8
BiMiQVM6FEo,2019-04-09,12
BiMiQVM6FEo,2019-04-10,3
BiMiQVM6FEo,2019-04-11,1
BiMiQVM6FEo,2019-04-12,5
BiMiQVM6FEo,2019-04-13,5
BiMiQVM6FEo,2019-04-14,8
BiMiQVM6FEo,2019-04-15,4
BiMiQVM6FEo,2019-04-16,7
BiMiQVM6FEo,2019-04-17,5
BiMiQVM6FEo,2019-04-18,8
BiMiQVM6FEo,2019-04-19,3
BiMiQVM6FEo,2019-04-20,9
BiMiQVM6FEo,2019-04-21,7
BiMiQVM6FEo,2019-04-22,13
BiMiQVM6FEo,2019-04-23,12
BiMiQVM6FEo,2019-04-24,14
BiMiQVM6FEo,2019-04-25,10
BiMiQVM6FEo,2019-04-26,29
BiMiQVM6FEo,2019-04-27,24
BiMiQVM6FEo,2019-04-28,33
BiMiQVM6FEo,2019-04-29,18
BiMiQVM6FEo,2019-04-30,13
BiMiQVM6FEo,2019-05-01,24
BiMiQVM6FEo,2019-05-02,30
BiMiQVM6FEo,2019-05-03,34
BiMiQVM6FEo,2019-05-04,58
BiMiQVM6FEo,2019-05-05,65
BiMiQVM6FEo,2019-05-06,52
BiMiQVM6FEo,2019-05-07,28
BiMiQVM6FEo,2019-05-08,16
BiMiQVM6FEo,2019-05-09,11
BiMiQVM6FEo,2019-05-10,2
BiMiQVM6FEo,2019-05-11,11
BiMiQVM6FEo,2019-05-12,5
BiMiQVM6FEo,2019-05-13,9
BiMiQVM6FEo,2019-05-14,5
BiMiQVM6FEo,2019-05-15,2
BiMiQVM6FEo,2019-05-16,1
BiMiQVM6FEo,2019-05-17,3
BiMiQVM6FEo,2019-05-18,7
BiMiQVM6FEo,2019-05-19,0
BiMiQVM6FEo,2019-05-20,0
BiMiQVM6FEo,2019-05-21,8
BiMiQVM6FEo,2019-05-22,2
BiMiQVM6FEo,2019-05-23,1
BiMiQVM6FEo,2019-05-24,0
BiMiQVM6FEo,2019-05-25,2
BiMiQVM6FEo,2019-05-26,3
BiMiQVM6FEo,2019-05-27,3
BiMiQVM6FEo,2019-05-28,7
BiMiQVM6FEo,2019-05-29,3
BiMiQVM6FEo,2019-05-30,6
BiMiQVM6FEo,2019-05-31,5
BiMiQVM6FEo,2019-06-01,2
BiMiQVM6FEo,2019-06-02,5
BiMiQVM6FEo,2019-06-03,10
BiMiQVM6FEo,2019-06-04,5
BiMiQVM6FEo,2019-06-05,3
BiMiQVM6FEo,2019-06-06,3
BiMiQVM6FEo,2019-06-07,5
BiMiQVM6FEo,2019-06-08,1
BiMiQVM6FEo,2019-06-09,1
BiMiQVM6FEo,2019-06-10,0
BiMiQVM6FEo,2019-06-11,1
BiMiQVM6FEo,2019-06-12,2
BiMiQVM6FEo,2019-06-13,3
BiMiQVM6FEo,2019-06-14,2
BiMiQVM6FEo,2019-06-15,-1
BiMiQVM6FEo,2019-06-16,1
BiMiQVM6FEo,2019-06-17,0
BiMiQVM6FEo,2019-06-18,0
BiMiQVM6FEo,2019-06-19,2
BiMiQVM6FEo,2019-06-20,1
BiMiQVM6FEo,2019-06-21,1
BiMiQVM6FEo,2019-06-22,0
BiMiQVM6FEo,2019-06-23,1
BiMiQVM6FEo,2019-06-24,1
BiMiQVM6FEo,2019-06-25,3
BiMiQVM6FEo,2019-06-26,0
BiMiQVM6FEo,2019-06-27,3
BiMiQVM6FEo,2019-06-28,0
BiMiQVM6FEo,2019-06-29,2
BiMiQVM6FEo,2019-06-30,1
BiMiQVM6FEo,2019-07-01,2
BiMiQVM6FEo,2019-07-02,0
BiMiQVM6FEo,2019-07-03,0
BiMiQVM6FEo,2019-07-04,5
BiMiQVM6FEo,2019-07-05,0
BiMiQVM6FEo,2019-07-06,0
BiMiQVM6FEo,2019-07-07,2
BiMiQVM6FEo,2019-07-08,2
BiMiQVM6FEo,2019-07-09,2
BiMiQVM6FEo,2019-07-10,3
BiMiQVM6FEo,2019-07-11,3
BiMiQVM6FEo,2019-07-12,6
BiMiQVM6FEo,2019-07-13,3
BiMiQVM6FEo,2019-07-14,0
BiMiQVM6FEo,2019-07-15,2
BiMiQVM6FEo,2019-07-16,1
BiMiQVM6FEo,2019-07-17,1
BiMiQVM6FEo,2019-07-18,0
BiMiQVM6FEo,2019-07-19,1
BiMiQVM6FEo,2019-07-20,0
BiMiQVM6FEo,2019-07-21,3
BiMiQVM6FEo,2019-07-22,3
BiMiQVM6FEo,2019-07-23,2
BiMiQVM6FEo,2019-07-24,4
BiMiQVM6FEo,2019-07-25,2
BiMiQVM6FEo,2019-07-26,0
BiMiQVM6FEo,2019-07-27,3
BiMiQVM6FEo,2019-07-28,3
BiMiQVM6FEo,2019-07-29,1
BiMiQVM6FEo,2019-07-30,3
BiMiQVM6FEo,2019-07-31,2
BiMiQVM6FEo,2019-08-01,4
BiMiQVM6FEo,2019-08-02,1
BiMiQVM6FEo,2019-08-03,3
BiMiQVM6FEo,2019-08-04,3
BiMiQVM6FEo,2019-08-05,2
BiMiQVM6FEo,2019-08-06,8
BiMiQVM6FEo,2019-08-07,1
BiMiQVM6FEo,2019-08-08,2
BiMiQVM6FEo,2019-08-09,5
BiMiQVM6FEo,2019-08-10,4
BiMiQVM6FEo,2019-08-11,3
BiMiQVM6FEo,2019-08-12,0
BiMiQVM6FEo,2019-08-13,4
BiMiQVM6FEo,2019-08-14,5
BiMiQVM6FEo,2019-08-15,4
BiMiQVM6FEo,2019-08-16,7
BiMiQVM6FEo,2019-08-17,3
BiMiQVM6FEo,2019-08-18,4
BiMiQVM6FEo,2019-08-19,8
BiMiQVM6FEo,2019-08-20,4
BiMiQVM6FEo,2019-08-21,2
BiMiQVM6FEo,2019-08-22,2
BiMiQVM6FEo,2019-08-23,5
BiMiQVM6FEo,2019-08-24,2
BiMiQVM6FEo,2019-08-25,2
BiMiQVM6FEo,2019-08-26,3
BiMiQVM6FEo,2019-08-27,3
BiMiQVM6FEo,2019-08-28,1
BiMiQVM6FEo,2019-08-29,3
BiMiQVM6FEo,2019-08-30,1
BiMiQVM6FEo,2019-08-31,1
BiMiQVM6FEo,2019-09-01,4
BiMiQVM6FEo,2019-09-02,1
BiMiQVM6FEo,2019-09-03,3
BiMiQVM6FEo,2019-09-04,4
BiMiQVM6FEo,2019-09-05,4
BiMiQVM6FEo,2019-09-06,1
BiMiQVM6FEo,2019-09-07,2
BiMiQVM6FEo,2019-09-08,3
BiMiQVM6FEo,2019-09-09,3
BiMiQVM6FEo,2019-09-10,5
BiMiQVM6FEo,2019-09-11,8
BiMiQVM6FEo,2019-09-12,4
BiMiQVM6FEo,2019-09-13,5
BiMiQVM6FEo,2019-09-14,21
BiMiQVM6FEo,2019-09-15,31
BiMiQVM6FEo,2019-09-16,43
BiMiQVM6FEo,2019-09-17,31
BiMiQVM6FEo,2019-09-18,27
BiMiQVM6FEo,2019-09-19,37
BiMiQVM6FEo,2019-09-20,24
BiMiQVM6FEo,2019-09-21,32
BiMiQVM6FEo,2019-09-22,35
BiMiQVM6FEo,2019-09-23,23
BiMiQVM6FEo,2019-09-24,31
BiMiQVM6FEo,2019-09-25,20
BiMiQVM6FEo,2019-09-26,17
BiMiQVM6FEo,2019-09-27,25
BiMiQVM6FEo,2019-09-28,16
BiMiQVM6FEo,2019-09-29,39
BiMiQVM6FEo,2019-09-30,20
BiMiQVM6FEo,2019-10-01,19
BiMiQVM6FEo,2019-10-02,30
BiMiQVM6FEo,2019-10-03,24
BiMiQVM6FEo,2019-10-04,16
BiMiQVM6FEo,2019-10-05,12
BiMiQVM6FEo,2019-10-06,16
BiMiQVM6FEo,2019-10-07,12
BiMiQVM6FEo,2019-10-08,13
BiMiQVM6FEo,2019-10-09,16
BiMiQVM6FEo,2019-10-10,24
BiMiQVM6FEo,2019-10-11,19
BiMiQVM6FEo,2019-10-12,15
BiMiQVM6FEo,2019-10-13,15
BiMiQVM6FEo,2019-10-14,14
BiMiQVM6FEo,2019-10-15,10
BiMiQVM6FEo,2019-10-16,21
BiMiQVM6FEo,2019-10-17,12
BiMiQVM6FEo,2019-10-18,7
BiMiQVM6FEo,2019-10-19,7
BiMiQVM6FEo,2019-10-20,9
BiMiQVM6FEo,2019-10-21,12
BiMiQVM6FEo,2019-10-22,10
BiMiQVM6FEo,2019-10-23,11
BiMiQVM6FEo,2019-10-24,5
BiMiQVM6FEo,2019-10-25,3
BiMiQVM6FEo,2019-10-26,8
BiMiQVM6FEo,2019-10-27,4
BiMiQVM6FEo,2019-10-28,6
BiMiQVM6FEo,2019-10-29,3
BiMiQVM6FEo,2019-10-30,1
BiMiQVM6FEo,2019-10-31,3
BiMiQVM6FEo,2019-11-01,8
BiMiQVM6FEo,2019-11-02,1
BiMiQVM6FEo,2019-11-03,7
BiMiQVM6FEo,2019-11-04,5
BiMiQVM6FEo,2019-11-05,2
BiMiQVM6FEo,2019-11-06,2
BiMiQVM6FEo,2019-11-07,2
BiMiQVM6FEo,2019-11-08,3
BiMiQVM6FEo,2019-11-09,2
BiMiQVM6FEo,2019-11-10,4
BiMiQVM6FEo,2019-11-11,1
BiMiQVM6FEo,2019-11-12,0
BiMiQVM6FEo,2019-11-13,1
BiMiQVM6FEo,2019-11-14,2
BiMiQVM6FEo,2019-11-15,1
BiMiQVM6FEo,2019-11-16,0
BiMiQVM6FEo,2019-11-17,0
BiMiQVM6FEo,2019-11-18,1
BiMiQVM6FEo,2019-11-19,1
BiMiQVM6FEo,2019-11-20,4
BiMiQVM6FEo,2019-11-21,2
BiMiQVM6FEo,2019-11-22,4
BiMiQVM6FEo,2019-11-23,2
BiMiQVM6FEo,2019-11-24,2
BiMiQVM6FEo,2019-11-25,2
BiMiQVM6FEo,2019-11-26,1
BiMiQVM6FEo,2019-11-27,2
BiMiQVM6FEo,2019-11-28,3
BiMiQVM6FEo,2019-11-29,2
BiMiQVM6FEo,2019-11-30,2
BiMiQVM6FEo,2019-12-01,0
BiMiQVM6FEo,2019-12-02,1
BiMiQVM6FEo,2019-12-03,1
BiMiQVM6FEo,2019-12-04,2
BiMiQVM6FEo,2019-12-05,4
BiMiQVM6FEo,2019-12-06,0
BiMiQVM6FEo,2019-12-07,1
BiMiQVM6FEo,2019-12-08,2
BiMiQVM6FEo,2019-12-09,6
BiMiQVM6FEo,2019-12-10,5
BiMiQVM6FEo,2019-12-11,2
BiMiQVM6FEo,2019-12-12,2
BiMiQVM6FEo,2019-12-13,3
BiMiQVM6FEo,2019-12-14,3
BiMiQVM6FEo,2019-12-15,3
BiMiQVM6FEo,2019-12-16,1
BiMiQVM6FEo,2019-12-17,3
BiMiQVM6FEo,2019-12-18,1
BiMiQVM6FEo,2019-12-19,0
BiMiQVM6FEo,2019-12-20,2
BiMiQVM6FEo,2019-12-21,2
BiMiQVM6FEo,2019-12-22,2
BiMiQVM6FEo,2019-12-23,1
BiMiQVM6FEo,2019-12-24,3
BiMiQVM6FEo,2019-12-25,3
BiMiQVM6FEo,2019-12-26,1
BiMiQVM6FEo,2019-12-27,-1
BiMiQVM6FEo,2019-12-28,4
BiMiQVM6FEo,2019-12-29,0
BiMiQVM6FEo,2019-12-30,1
BiMiQVM6FEo,2019-12-31,1
BiMiQVM6FEo,2020-01-01,2
BiMiQVM6FEo,2020-01-02,3
BiMiQVM6FEo,2020-01-03,2
BiMiQVM6FEo,2020-01-04,2
