day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2018-11-30,5857,437,61,548,7,379,82,29,15775,1183,161,82.03,0,0,0,0,0,0,0,0.0,0.0,0,172,0,0,16,15
2018-12-01,3411,227,11,210,5,106,59,9,9117,602,160,81.41,0,0,0,0,0,0,0,0.0,0.0,0,89,0,0,16,10
2018-12-02,2071,150,7,129,3,61,49,4,5518,408,159,81.15,0,0,0,0,0,0,0,0.0,0.0,0,58,0,0,17,4
2018-12-03,1648,89,1,79,2,55,30,5,4280,241,155,79.12,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,14,1
2018-12-04,935,60,2,50,1,24,22,2,2397,135,153,78.08,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,8,2
2018-12-05,650,31,0,31,0,22,8,5,1696,81,156,79.51,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,7,4
2018-12-06,452,18,0,18,0,11,13,2,1134,45,150,76.44,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,2,0
2018-12-07,354,19,1,17,0,8,7,1,895,47,151,77.03,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0,1,0
2018-12-08,275,18,0,14,0,5,9,3,731,46,159,81.01,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,3,0
2018-12-09,330,25,2,13,1,7,14,1,869,62,158,80.28,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,2,0
2018-12-10,309,16,0,14,0,8,5,1,803,43,156,79.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-12-11,438,23,0,24,1,12,8,0,1155,69,158,80.33,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,4,0
2018-12-12,333,18,0,11,1,7,6,0,810,44,145,74.09,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2018-12-13,234,12,0,11,0,7,9,1,596,23,153,77.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
2018-12-14,224,12,0,11,0,6,3,1,596,32,159,81.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,1
2018-12-15,226,10,1,10,-1,6,3,0,609,26,161,82.18,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2018-12-16,239,15,1,5,1,4,3,0,639,42,160,81.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2018-12-17,167,13,0,9,0,4,6,0,456,40,163,83.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-12-18,141,8,0,5,0,2,2,0,346,15,147,74.87,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2018-12-19,164,6,0,10,-1,7,4,0,405,18,148,75.4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2018-12-20,106,11,1,6,0,4,3,0,260,22,147,74.85,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-21,104,6,0,2,0,0,2,0,253,16,146,74.34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-22,139,7,0,8,0,1,2,1,383,20,165,84.02,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
2018-12-23,154,8,1,5,1,1,2,0,419,22,163,82.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-24,158,7,0,6,0,2,1,0,393,15,149,75.87,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2018-12-25,156,9,0,6,0,4,1,0,382,20,147,74.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2018-12-26,100,14,0,4,0,4,4,0,281,41,168,85.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-27,132,11,0,5,0,2,1,1,347,30,158,80.24,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,2,1
2018-12-28,96,8,0,2,0,1,3,0,260,15,162,82.51,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-12-29,121,9,0,2,0,2,0,0,307,24,152,77.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2018-12-30,103,7,0,4,0,2,0,0,281,16,163,83.17,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,0
2018-12-31,64,5,0,4,0,1,1,0,180,11,169,85.81,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-01-01,85,5,0,2,0,2,1,0,225,9,159,80.96,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-01-02,81,5,0,3,0,0,3,1,247,16,183,92.92,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2019-01-03,94,4,1,5,0,3,1,1,253,11,162,82.26,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
2019-01-04,83,6,0,2,0,1,2,0,223,17,161,82.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-05,80,3,1,6,0,2,2,0,235,11,176,89.67,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-06,82,6,0,4,0,2,3,0,205,16,150,76.3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-07,55,2,0,1,0,1,1,1,151,6,165,83.95,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-08,46,3,0,1,0,0,1,0,118,7,154,78.4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-09,57,2,0,3,0,0,1,0,156,4,165,83.87,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-10,42,2,0,0,0,0,0,0,112,6,160,81.69,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-01-11,66,5,0,1,0,1,0,0,170,16,154,78.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-12,56,4,0,1,0,0,0,1,160,12,171,87.12,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,0
2019-01-13,94,4,0,3,1,0,2,0,264,12,168,85.58,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
2019-01-14,92,8,0,6,0,0,5,2,253,23,165,83.97,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,0
2019-01-15,74,5,0,4,0,0,2,0,205,9,166,84.49,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-01-16,61,8,0,3,0,0,0,2,174,25,172,87.34,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
