day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-02-08,41103,3281,243,2251,43,1637,227,255,311472,26588,454,66.67,0,0,0,0,0,0,0,0.0268,0.006,411,34429,11,208,164,24
2020-02-09,29358,1909,141,1236,40,841,337,146,207544,14692,424,62.19,0,0,0,0,0,0,0,0.055099999999999996,0.0062,272,22616,15,141,112,9
2020-02-10,14509,872,82,451,20,403,194,47,95872,6396,396,58.13,0,0,0,0,0,0,0,0.023799999999999998,0.0063,126,10332,3,65,65,3
2020-02-11,9252,611,39,291,9,268,130,41,61154,4488,396,58.15,0,0,0,0,0,0,0,0.0,0.0048,64,6205,0,30,44,5
2020-02-12,6673,368,14,159,7,128,105,33,47119,2845,423,62.12,0,0,0,0,0,0,0,0.0,0.0043,38,4195,0,18,39,2
2020-02-13,4354,261,17,116,5,83,69,15,31008,2001,427,62.64999999999999,0,0,0,0,0,0,0,0.0,0.0044,24,2737,0,12,26,1
2020-02-14,3221,144,9,77,1,56,45,8,22868,1122,425,62.46000000000001,0,0,0,0,0,0,0,0.0625,0.0058,16,1892,1,11,16,1
2020-02-15,2507,156,9,68,3,37,39,12,17663,1214,422,61.99,0,0,0,0,0,0,0,0.07690000000000001,0.006,26,1654,2,10,9,4
2020-02-16,2407,132,4,59,2,40,32,4,17647,1028,439,64.5,0,0,0,0,0,0,0,0.0,0.0034000000000000002,14,1772,0,6,11,1
2020-02-17,1803,120,3,52,2,45,25,5,12682,959,422,61.88,0,0,0,0,0,0,0,0.15380000000000002,0.0046,13,1303,2,6,19,1
2020-02-18,1352,105,8,42,1,31,28,4,9788,857,434,63.7,0,0,0,0,0,0,0,0.0,0.004,8,992,0,4,9,4
