day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-04-15,28486,2230,92,2005,25,1670,288,91,190912,16469,402,62.34,0,0,0,0,0,0,0,0.21559999999999999,0.0144,218,13614,47,196,56,15
2020-04-16,14908,1242,27,830,11,547,244,62,95158,9008,382,59.38,0,0,0,0,0,0,0,0.11539999999999999,0.0129,104,6671,12,86,65,5
2020-04-17,7747,660,15,375,8,241,137,19,49158,4559,380,59.03,0,0,0,0,0,0,0,0.17309999999999998,0.013000000000000001,52,3376,9,44,29,2
2020-04-18,5691,436,8,259,6,165,106,17,35776,2958,377,58.48,0,0,0,0,0,0,0,0.2069,0.0083,29,2524,6,21,35,0
2020-04-19,5282,459,8,222,7,139,76,15,34405,3241,390,60.589999999999996,0,0,0,0,0,0,0,0.25,0.0127,36,2368,9,30,38,5
2020-04-20,4241,305,9,155,3,156,68,24,25798,2175,364,56.59,0,0,0,0,0,0,0,0.15789999999999998,0.0085,19,2003,3,17,26,1
2020-04-21,4035,318,9,147,1,145,61,15,26003,2258,386,59.95,0,0,0,0,0,0,0,0.11109999999999999,0.0168,36,1969,4,33,29,5
2020-04-22,2269,192,1,82,2,62,44,7,13691,1297,362,56.13,0,0,0,0,0,0,0,0.11109999999999999,0.0076,9,1051,1,8,16,2
2020-04-23,1547,113,0,52,4,26,35,6,9695,776,376,58.3,0,0,0,0,0,0,0,0.125,0.0103,8,680,1,7,11,4
2020-04-24,1900,206,2,63,2,38,29,3,12831,1402,405,62.82,0,0,0,0,0,0,0,0.0,0.0103,10,780,0,8,5,2
2020-04-25,2052,235,1,84,1,47,34,10,13385,1627,391,60.68,0,0,0,0,0,0,0,0.23809999999999998,0.0161,21,991,5,16,7,1
2020-04-26,1578,180,0,57,2,46,38,2,10112,1226,384,59.61,0,0,0,0,0,0,0,0.2,0.0151,15,727,3,11,6,0
2020-04-27,956,80,2,39,0,33,25,4,6115,572,383,59.51,0,0,0,0,0,0,0,0.2,0.0202,10,446,2,9,6,1
2020-04-28,1115,105,2,53,0,29,33,1,7266,802,391,60.63000000000001,0,0,0,0,0,0,0,0.22219999999999998,0.0126,9,554,2,7,6,0
2020-04-29,1334,115,0,51,0,47,23,1,8237,795,370,57.440000000000005,0,0,0,0,0,0,0,0.125,0.0139,8,646,1,9,5,2
2020-04-30,1079,90,0,45,0,37,27,1,6334,604,352,54.61,0,0,0,0,0,0,0,0.3077,0.023799999999999998,13,505,4,12,7,0
2020-05-01,960,80,0,36,0,33,14,2,5512,568,344,53.410000000000004,0,0,0,0,0,0,0,0.3333,0.011399999999999999,9,437,3,5,7,0
2020-05-02,805,68,2,27,0,30,15,4,4782,428,356,55.26,0,0,0,0,0,0,0,0.1429,0.0331,14,362,2,12,8,0
2020-05-03,774,62,2,35,1,29,19,2,4553,470,353,54.730000000000004,0,0,0,0,0,0,0,0.2,0.0147,5,339,1,5,4,0
2020-05-04,643,65,1,29,1,19,5,0,3604,394,336,52.15,0,0,0,0,0,0,0,0.3636,0.021099999999999997,11,285,4,6,7,0
2020-05-05,500,39,1,16,1,16,11,0,3089,273,370,57.48,0,0,0,0,0,0,0,0.0,0.0163,6,245,0,4,5,0
