videoID,day,likes
DOyCuhb7xa0,2020-04-15,2005
DOyCuhb7xa0,2020-04-16,830
DOyCuhb7xa0,2020-04-17,375
DOyCuhb7xa0,2020-04-18,259
DOyCuhb7xa0,2020-04-19,222
DOyCuhb7xa0,2020-04-20,155
DOyCuhb7xa0,2020-04-21,147
DOyCuhb7xa0,2020-04-22,82
DOyCuhb7xa0,2020-04-23,52
DOyCuhb7xa0,2020-04-24,63
DOyCuhb7xa0,2020-04-25,84
DOyCuhb7xa0,2020-04-26,57
DOyCuhb7xa0,2020-04-27,39
DOyCuhb7xa0,2020-04-28,53
DOyCuhb7xa0,2020-04-29,51
DOyCuhb7xa0,2020-04-30,45
DOyCuhb7xa0,2020-05-01,36
DOyCuhb7xa0,2020-05-02,27
DOyCuhb7xa0,2020-05-03,35
DOyCuhb7xa0,2020-05-04,29
DOyCuhb7xa0,2020-05-05,16
DOyCuhb7xa0,2020-05-06,28
DOyCuhb7xa0,2020-05-07,15
DOyCuhb7xa0,2020-05-08,21
DOyCuhb7xa0,2020-05-09,21
DOyCuhb7xa0,2020-05-10,31
DOyCuhb7xa0,2020-05-11,21
DOyCuhb7xa0,2020-05-12,20
DOyCuhb7xa0,2020-05-13,25
DOyCuhb7xa0,2020-05-14,27
DOyCuhb7xa0,2020-05-15,28
DOyCuhb7xa0,2020-05-16,12
DOyCuhb7xa0,2020-05-17,12
DOyCuhb7xa0,2020-05-18,17
DOyCuhb7xa0,2020-05-19,27
DOyCuhb7xa0,2020-05-20,24
DOyCuhb7xa0,2020-05-21,28
DOyCuhb7xa0,2020-05-22,18
DOyCuhb7xa0,2020-05-23,25
DOyCuhb7xa0,2020-05-24,33
DOyCuhb7xa0,2020-05-25,33
DOyCuhb7xa0,2020-05-26,27
DOyCuhb7xa0,2020-05-27,18
DOyCuhb7xa0,2020-05-28,23
DOyCuhb7xa0,2020-05-29,20
DOyCuhb7xa0,2020-05-30,15
DOyCuhb7xa0,2020-05-31,13
DOyCuhb7xa0,2020-06-01,13
DOyCuhb7xa0,2020-06-02,13
DOyCuhb7xa0,2020-06-03,12
DOyCuhb7xa0,2020-06-04,19
DOyCuhb7xa0,2020-06-05,10
DOyCuhb7xa0,2020-06-06,12
DOyCuhb7xa0,2020-06-07,12
DOyCuhb7xa0,2020-06-08,11
DOyCuhb7xa0,2020-06-09,15
DOyCuhb7xa0,2020-06-10,19
DOyCuhb7xa0,2020-06-11,12
DOyCuhb7xa0,2020-06-12,11
DOyCuhb7xa0,2020-06-13,10
