day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,773,30,0,8,0,6,4,1,4296,204,333,53.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-01-02,940,32,2,17,1,9,6,2,5157,202,329,52.75,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,5,0
2019-01-03,1115,33,0,16,1,13,2,5,6050,193,325,52.18000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-01-04,970,36,0,21,0,13,5,3,5694,277,352,56.45,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,5,0
2019-01-05,855,29,1,22,0,15,7,1,4898,206,343,55.09,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,5,0
2019-01-06,945,36,1,25,0,14,9,1,5376,197,341,54.71,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,0
2019-01-07,725,33,1,12,0,5,9,3,4311,201,356,57.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-08,715,32,0,15,0,8,5,2,4124,198,346,55.47,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,5,0
2019-01-09,705,22,1,14,1,16,4,2,4250,147,361,57.97,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,0
2019-01-10,659,26,4,12,1,3,6,2,3639,189,331,53.11,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,6,0
2019-01-11,662,25,0,16,0,21,2,0,3879,122,351,56.35,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,0
2019-01-12,782,35,1,13,0,15,5,1,4603,269,353,56.61000000000001,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,2,0
2019-01-13,935,38,0,26,1,11,8,1,5733,253,367,58.96,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,7,0
2019-01-14,1041,43,1,33,0,16,4,2,6241,315,359,57.65,0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,6,0
2019-01-15,1001,54,0,23,1,11,5,1,6002,367,359,57.66,0,0,0,0,0,0,0,0.0,0.0,0,14,0,0,4,0
2019-01-16,780,38,0,21,0,16,8,2,4552,261,350,56.13,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,3,0
2019-01-17,444,18,2,9,0,4,4,2,2847,132,384,61.65999999999999,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,4,0
2019-01-18,557,23,0,22,0,8,3,1,3314,131,356,57.21000000000001,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,3,0
2019-01-19,700,35,1,11,0,13,3,1,4374,228,374,60.089999999999996,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,5,0
2019-01-20,872,47,1,25,0,16,5,0,5301,350,364,58.46,0,0,0,0,0,0,0,0.0,0.0,0,13,0,0,2,0
2019-01-21,855,47,2,15,2,17,3,2,5016,301,352,56.42,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,3,0
2019-01-22,605,30,2,20,0,10,9,0,3622,155,359,57.57,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,3,0
2019-01-23,493,14,1,10,0,9,9,0,2898,101,352,56.54,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,2,0
2019-01-24,512,25,0,11,0,15,5,2,2930,126,343,55.03,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,0,0
2019-01-25,480,15,0,9,0,10,4,2,2682,95,335,53.73,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,1,0
2019-01-26,494,16,1,11,0,7,6,0,2925,110,355,56.95,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,1,0
