day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-11-09,12481,1692,190,1505,48,1644,294,224,59705,8263,287,53.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6
2020-11-10,4862,604,29,468,9,304,225,73,23635,3228,291,54.52,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6
2020-11-11,3093,385,19,288,10,222,112,58,14469,2209,280,52.46999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
2020-11-12,3152,407,17,244,10,202,68,42,14491,1902,275,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-11-13,2513,291,18,182,4,177,63,56,11072,1320,264,49.42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2020-11-14,1763,213,5,99,2,90,58,30,8126,1009,276,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
2020-11-15,1932,209,5,112,4,96,47,21,8938,1028,277,51.88,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
2020-11-16,1509,187,11,94,7,71,43,12,7366,1001,292,54.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2020-11-17,1133,162,5,69,5,63,38,14,5492,816,290,54.37,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2020-11-18,906,126,6,62,3,38,30,12,4298,598,284,53.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2020-11-19,720,74,1,46,3,29,20,18,3510,419,292,54.669999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-11-20,514,75,2,25,1,20,29,12,2322,368,271,50.68,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2020-11-21,534,67,0,29,1,28,20,10,2407,296,270,50.57000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-11-22,647,97,3,39,1,50,26,12,3170,457,294,54.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-23,561,71,2,36,1,28,29,14,2665,347,285,53.290000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2020-11-24,455,74,1,35,3,20,12,5,2317,361,305,57.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-11-25,330,47,1,19,0,10,12,1,1489,209,270,50.62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-11-26,415,63,2,49,0,21,11,12,2103,366,304,56.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-11-27,455,55,4,38,1,17,11,13,2060,275,271,50.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-11-28,439,62,1,29,0,18,24,3,2009,316,274,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-11-29,392,54,3,27,0,15,8,5,1916,322,293,54.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-30,298,29,0,12,0,12,10,8,1380,186,277,51.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,270,31,1,16,0,11,10,2,1142,151,253,47.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,240,36,1,17,0,7,6,1,1063,194,265,49.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-03,210,26,1,15,0,5,8,1,1030,152,294,55.059999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,159,24,2,9,0,2,8,2,681,112,257,48.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,160,17,0,7,1,18,7,1,723,69,271,50.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,172,24,0,6,0,2,11,5,806,99,281,52.57000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-07,160,27,0,7,0,3,6,3,746,135,280,52.35999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,143,20,0,7,0,6,10,2,694,97,291,54.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-12-09,165,13,0,11,0,4,3,3,782,80,284,53.17000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2020-12-10,144,13,1,7,0,3,5,3,965,56,402,75.22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-12-11,150,17,0,5,0,5,10,7,601,82,240,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
