videoID,day,likes
Fl5YDriOkmw,2020-11-09,1505
Fl5YDriOkmw,2020-11-10,468
Fl5YDriOkmw,2020-11-11,288
Fl5YDriOkmw,2020-11-12,244
Fl5YDriOkmw,2020-11-13,182
Fl5YDriOkmw,2020-11-14,99
Fl5YDriOkmw,2020-11-15,112
Fl5YDriOkmw,2020-11-16,94
Fl5YDriOkmw,2020-11-17,69
Fl5YDriOkmw,2020-11-18,62
Fl5YDriOkmw,2020-11-19,46
Fl5YDriOkmw,2020-11-20,25
Fl5YDriOkmw,2020-11-21,29
Fl5YDriOkmw,2020-11-22,39
Fl5YDriOkmw,2020-11-23,36
Fl5YDriOkmw,2020-11-24,35
Fl5YDriOkmw,2020-11-25,19
Fl5YDriOkmw,2020-11-26,49
Fl5YDriOkmw,2020-11-27,38
Fl5YDriOkmw,2020-11-28,29
Fl5YDriOkmw,2020-11-29,27
Fl5YDriOkmw,2020-11-30,12
Fl5YDriOkmw,2020-12-01,16
Fl5YDriOkmw,2020-12-02,17
Fl5YDriOkmw,2020-12-03,15
Fl5YDriOkmw,2020-12-04,9
Fl5YDriOkmw,2020-12-05,7
Fl5YDriOkmw,2020-12-06,6
Fl5YDriOkmw,2020-12-07,7
Fl5YDriOkmw,2020-12-08,7
Fl5YDriOkmw,2020-12-09,11
Fl5YDriOkmw,2020-12-10,7
Fl5YDriOkmw,2020-12-11,5
Fl5YDriOkmw,2020-12-12,13
Fl5YDriOkmw,2020-12-13,12
Fl5YDriOkmw,2020-12-14,6
Fl5YDriOkmw,2020-12-15,5
Fl5YDriOkmw,2020-12-16,8
Fl5YDriOkmw,2020-12-17,4
Fl5YDriOkmw,2020-12-18,4
Fl5YDriOkmw,2020-12-19,10
Fl5YDriOkmw,2020-12-20,8
Fl5YDriOkmw,2020-12-21,11
Fl5YDriOkmw,2020-12-22,6
Fl5YDriOkmw,2020-12-23,9
Fl5YDriOkmw,2020-12-24,12
Fl5YDriOkmw,2020-12-25,8
Fl5YDriOkmw,2020-12-26,12
Fl5YDriOkmw,2020-12-27,21
Fl5YDriOkmw,2020-12-28,9
Fl5YDriOkmw,2020-12-29,13
Fl5YDriOkmw,2020-12-30,7
Fl5YDriOkmw,2020-12-31,5
Fl5YDriOkmw,2021-01-01,8
Fl5YDriOkmw,2021-01-02,5
Fl5YDriOkmw,2021-01-03,8
Fl5YDriOkmw,2021-01-04,2
Fl5YDriOkmw,2021-01-05,9
Fl5YDriOkmw,2021-01-06,8
Fl5YDriOkmw,2021-01-07,2
Fl5YDriOkmw,2021-01-08,9
Fl5YDriOkmw,2021-01-09,5
Fl5YDriOkmw,2021-01-10,5
Fl5YDriOkmw,2021-01-11,4
Fl5YDriOkmw,2021-01-12,11
Fl5YDriOkmw,2021-01-13,7
Fl5YDriOkmw,2021-01-14,6
Fl5YDriOkmw,2021-01-15,5
Fl5YDriOkmw,2021-01-16,8
Fl5YDriOkmw,2021-01-17,5
Fl5YDriOkmw,2021-01-18,8
Fl5YDriOkmw,2021-01-19,6
Fl5YDriOkmw,2021-01-20,7
Fl5YDriOkmw,2021-01-21,11
Fl5YDriOkmw,2021-01-22,1
Fl5YDriOkmw,2021-01-23,2
Fl5YDriOkmw,2021-01-24,2
Fl5YDriOkmw,2021-01-25,6
Fl5YDriOkmw,2021-01-26,7
Fl5YDriOkmw,2021-01-27,4
Fl5YDriOkmw,2021-01-28,6
Fl5YDriOkmw,2021-01-29,15
Fl5YDriOkmw,2021-01-30,13
Fl5YDriOkmw,2021-01-31,10
Fl5YDriOkmw,2021-02-01,14
Fl5YDriOkmw,2021-02-02,6
Fl5YDriOkmw,2021-02-03,9
Fl5YDriOkmw,2021-02-04,5
Fl5YDriOkmw,2021-02-05,6
Fl5YDriOkmw,2021-02-06,7
Fl5YDriOkmw,2021-02-07,5
Fl5YDriOkmw,2021-02-08,8
Fl5YDriOkmw,2021-02-09,1
Fl5YDriOkmw,2021-02-10,9
Fl5YDriOkmw,2021-02-11,4
Fl5YDriOkmw,2021-02-12,1
Fl5YDriOkmw,2021-02-13,5
Fl5YDriOkmw,2021-02-14,2
Fl5YDriOkmw,2021-02-15,3
Fl5YDriOkmw,2021-02-16,6
Fl5YDriOkmw,2021-02-17,0
Fl5YDriOkmw,2021-02-18,4
Fl5YDriOkmw,2021-02-19,6
Fl5YDriOkmw,2021-02-20,3
Fl5YDriOkmw,2021-02-21,6
Fl5YDriOkmw,2021-02-22,0
Fl5YDriOkmw,2021-02-23,5
Fl5YDriOkmw,2021-02-24,1
Fl5YDriOkmw,2021-02-25,2
Fl5YDriOkmw,2021-02-26,2
Fl5YDriOkmw,2021-02-27,1
Fl5YDriOkmw,2021-02-28,2
Fl5YDriOkmw,2021-03-01,4
Fl5YDriOkmw,2021-03-02,1
Fl5YDriOkmw,2021-03-03,3
Fl5YDriOkmw,2021-03-04,5
Fl5YDriOkmw,2021-03-05,1
Fl5YDriOkmw,2021-03-06,3
Fl5YDriOkmw,2021-03-07,5
Fl5YDriOkmw,2021-03-08,2
Fl5YDriOkmw,2021-03-09,5
Fl5YDriOkmw,2021-03-10,6
Fl5YDriOkmw,2021-03-11,11
Fl5YDriOkmw,2021-03-12,4
Fl5YDriOkmw,2021-03-13,2
Fl5YDriOkmw,2021-03-14,0
Fl5YDriOkmw,2021-03-15,1
Fl5YDriOkmw,2021-03-16,1
Fl5YDriOkmw,2021-03-17,1
Fl5YDriOkmw,2021-03-18,3
Fl5YDriOkmw,2021-03-19,1
Fl5YDriOkmw,2021-03-20,1
Fl5YDriOkmw,2021-03-21,2
Fl5YDriOkmw,2021-03-22,3
Fl5YDriOkmw,2021-03-23,0
Fl5YDriOkmw,2021-03-24,1
Fl5YDriOkmw,2021-03-25,5
Fl5YDriOkmw,2021-03-26,1
Fl5YDriOkmw,2021-03-27,1
Fl5YDriOkmw,2021-03-28,2
Fl5YDriOkmw,2021-03-29,4
Fl5YDriOkmw,2021-03-30,2
Fl5YDriOkmw,2021-03-31,2
Fl5YDriOkmw,2021-04-01,2
Fl5YDriOkmw,2021-04-02,3
Fl5YDriOkmw,2021-04-03,2
Fl5YDriOkmw,2021-04-04,6
Fl5YDriOkmw,2021-04-05,6
Fl5YDriOkmw,2021-04-06,4
Fl5YDriOkmw,2021-04-07,1
Fl5YDriOkmw,2021-04-08,5
Fl5YDriOkmw,2021-04-09,1
Fl5YDriOkmw,2021-04-10,7
Fl5YDriOkmw,2021-04-11,2
Fl5YDriOkmw,2021-04-12,6
Fl5YDriOkmw,2021-04-13,2
Fl5YDriOkmw,2021-04-14,1
Fl5YDriOkmw,2021-04-15,4
Fl5YDriOkmw,2021-04-16,1
Fl5YDriOkmw,2021-04-17,3
Fl5YDriOkmw,2021-04-18,2
Fl5YDriOkmw,2021-04-19,6
Fl5YDriOkmw,2021-04-20,3
Fl5YDriOkmw,2021-04-21,3
Fl5YDriOkmw,2021-04-22,2
Fl5YDriOkmw,2021-04-23,3
Fl5YDriOkmw,2021-04-24,2
Fl5YDriOkmw,2021-04-25,1
Fl5YDriOkmw,2021-04-26,2
Fl5YDriOkmw,2021-04-27,0
Fl5YDriOkmw,2021-04-28,3
Fl5YDriOkmw,2021-04-29,0
Fl5YDriOkmw,2021-04-30,1
Fl5YDriOkmw,2021-05-01,0
Fl5YDriOkmw,2021-05-02,3
Fl5YDriOkmw,2021-05-03,3
Fl5YDriOkmw,2021-05-04,1
Fl5YDriOkmw,2021-05-05,0
Fl5YDriOkmw,2021-05-06,2
Fl5YDriOkmw,2021-05-07,2
Fl5YDriOkmw,2021-05-08,1
Fl5YDriOkmw,2021-05-09,2
Fl5YDriOkmw,2021-05-10,3
Fl5YDriOkmw,2021-05-11,2
Fl5YDriOkmw,2021-05-12,2
Fl5YDriOkmw,2021-05-13,3
Fl5YDriOkmw,2021-05-14,3
Fl5YDriOkmw,2021-05-15,6
Fl5YDriOkmw,2021-05-16,1
Fl5YDriOkmw,2021-05-17,2
Fl5YDriOkmw,2021-05-18,3
Fl5YDriOkmw,2021-05-19,3
Fl5YDriOkmw,2021-05-20,4
Fl5YDriOkmw,2021-05-21,1
Fl5YDriOkmw,2021-05-22,2
Fl5YDriOkmw,2021-05-23,2
Fl5YDriOkmw,2021-05-24,3
Fl5YDriOkmw,2021-05-25,2
Fl5YDriOkmw,2021-05-26,1
Fl5YDriOkmw,2021-05-27,1
Fl5YDriOkmw,2021-05-28,0
Fl5YDriOkmw,2021-05-29,-1
Fl5YDriOkmw,2021-05-30,3
Fl5YDriOkmw,2021-05-31,1
Fl5YDriOkmw,2021-06-01,2
Fl5YDriOkmw,2021-06-02,4
Fl5YDriOkmw,2021-06-03,1
Fl5YDriOkmw,2021-06-04,0
Fl5YDriOkmw,2021-06-05,2
Fl5YDriOkmw,2021-06-06,1
Fl5YDriOkmw,2021-06-07,0
Fl5YDriOkmw,2021-06-08,3
Fl5YDriOkmw,2021-06-09,2
Fl5YDriOkmw,2021-06-10,1
Fl5YDriOkmw,2021-06-11,0
Fl5YDriOkmw,2021-06-12,0
Fl5YDriOkmw,2021-06-13,3
Fl5YDriOkmw,2021-06-14,0
Fl5YDriOkmw,2021-06-15,1
Fl5YDriOkmw,2021-06-16,2
Fl5YDriOkmw,2021-06-17,3
Fl5YDriOkmw,2021-06-18,3
Fl5YDriOkmw,2021-06-19,0
Fl5YDriOkmw,2021-06-20,1
Fl5YDriOkmw,2021-06-21,2
Fl5YDriOkmw,2021-06-22,0
Fl5YDriOkmw,2021-06-23,0
Fl5YDriOkmw,2021-06-24,1
Fl5YDriOkmw,2021-06-25,4
Fl5YDriOkmw,2021-06-26,2
Fl5YDriOkmw,2021-06-27,2
Fl5YDriOkmw,2021-06-28,2
Fl5YDriOkmw,2021-06-29,0
Fl5YDriOkmw,2021-06-30,0
Fl5YDriOkmw,2021-07-01,1
Fl5YDriOkmw,2021-07-02,0
Fl5YDriOkmw,2021-07-03,4
Fl5YDriOkmw,2021-07-04,2
Fl5YDriOkmw,2021-07-05,4
Fl5YDriOkmw,2021-07-06,1
Fl5YDriOkmw,2021-07-07,0
Fl5YDriOkmw,2021-07-08,2
Fl5YDriOkmw,2021-07-09,1
Fl5YDriOkmw,2021-07-10,0
Fl5YDriOkmw,2021-07-11,2
Fl5YDriOkmw,2021-07-12,1
Fl5YDriOkmw,2021-07-13,0
Fl5YDriOkmw,2021-07-14,3
Fl5YDriOkmw,2021-07-15,0
Fl5YDriOkmw,2021-07-16,4
Fl5YDriOkmw,2021-07-17,4
Fl5YDriOkmw,2021-07-18,7
Fl5YDriOkmw,2021-07-19,0
Fl5YDriOkmw,2021-07-20,2
