day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-11-21,5,1,0,1,0,1,0,0,56,22,673,98.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-11-22,10,1,0,1,0,0,0,0,96,10,577,84.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-11-23,9,2,0,1,0,0,0,0,64,14,432,63.54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-11-24,21960,3115,127,2610,18,2144,369,186,158060,22536,431,63.42,0,0,0,0,0,0,0,0.21489999999999998,0.0245,470,7789,101,191,44,9
2020-11-25,13091,1615,32,982,9,592,289,106,86669,11037,397,58.32999999999999,0,0,0,0,0,0,0,0.2366,0.0287,279,4111,66,118,69,7
2020-11-26,19566,2420,54,1674,9,823,233,113,141684,18726,434,63.800000000000004,0,0,0,0,0,0,0,0.23600000000000002,0.019299999999999998,356,7754,84,150,54,1
2020-11-27,21635,2454,51,1342,8,645,186,117,156767,18773,434,63.84000000000001,0,0,0,0,0,0,0,0.22089999999999999,0.0146,258,7031,57,103,117,4
2020-11-28,25841,2730,43,1270,9,663,206,117,184964,20589,429,63.06,0,0,0,0,0,0,0,0.2273,0.0088,154,7040,35,62,201,6
2020-11-29,34359,3633,48,1491,20,716,190,106,246652,27493,430,63.24999999999999,0,0,0,0,0,0,0,0.2389,0.0089,180,8415,43,75,296,5
2020-11-30,33175,3081,46,1382,14,764,203,99,230366,22202,416,61.18,0,0,0,0,0,0,0,0.18989999999999999,0.0091,179,8505,34,77,304,7
2020-12-01,19671,1598,20,788,7,443,151,61,130704,11540,398,58.540000000000006,0,0,0,0,0,0,0,0.21739999999999998,0.011000000000000001,138,5098,30,56,205,5
2020-12-02,10700,899,9,402,5,272,124,52,68953,6349,386,56.779999999999994,0,0,0,0,0,0,0,0.2078,0.010700000000000001,77,2800,16,30,105,0
2020-12-03,8171,654,12,300,5,183,91,18,53329,4575,391,57.49999999999999,0,0,0,0,0,0,0,0.2826,0.010700000000000001,46,2238,13,24,78,1
2020-12-04,6182,504,7,233,6,145,75,37,40373,3690,391,57.54,0,0,0,0,0,0,0,0.2051,0.0088,39,1696,8,15,55,0
