videoID,day,likes
GMIbZ2k_OtQ,2020-11-21,1
GMIbZ2k_OtQ,2020-11-22,1
GMIbZ2k_OtQ,2020-11-23,1
GMIbZ2k_OtQ,2020-11-24,2610
GMIbZ2k_OtQ,2020-11-25,982
GMIbZ2k_OtQ,2020-11-26,1674
GMIbZ2k_OtQ,2020-11-27,1342
GMIbZ2k_OtQ,2020-11-28,1270
GMIbZ2k_OtQ,2020-11-29,1491
GMIbZ2k_OtQ,2020-11-30,1382
GMIbZ2k_OtQ,2020-12-01,788
GMIbZ2k_OtQ,2020-12-02,402
GMIbZ2k_OtQ,2020-12-03,300
GMIbZ2k_OtQ,2020-12-04,233
GMIbZ2k_OtQ,2020-12-05,165
GMIbZ2k_OtQ,2020-12-06,133
GMIbZ2k_OtQ,2020-12-07,117
GMIbZ2k_OtQ,2020-12-08,68
GMIbZ2k_OtQ,2020-12-09,52
GMIbZ2k_OtQ,2020-12-10,38
GMIbZ2k_OtQ,2020-12-11,27
GMIbZ2k_OtQ,2020-12-12,63
GMIbZ2k_OtQ,2020-12-13,32
GMIbZ2k_OtQ,2020-12-14,36
GMIbZ2k_OtQ,2020-12-15,30
GMIbZ2k_OtQ,2020-12-16,31
GMIbZ2k_OtQ,2020-12-17,32
GMIbZ2k_OtQ,2020-12-18,41
GMIbZ2k_OtQ,2020-12-19,57
GMIbZ2k_OtQ,2020-12-20,69
GMIbZ2k_OtQ,2020-12-21,43
GMIbZ2k_OtQ,2020-12-22,47
GMIbZ2k_OtQ,2020-12-23,41
GMIbZ2k_OtQ,2020-12-24,34
GMIbZ2k_OtQ,2020-12-25,37
GMIbZ2k_OtQ,2020-12-26,57
GMIbZ2k_OtQ,2020-12-27,66
GMIbZ2k_OtQ,2020-12-28,71
GMIbZ2k_OtQ,2020-12-29,83
GMIbZ2k_OtQ,2020-12-30,53
GMIbZ2k_OtQ,2020-12-31,25
GMIbZ2k_OtQ,2021-01-01,29
GMIbZ2k_OtQ,2021-01-02,24
GMIbZ2k_OtQ,2021-01-03,24
GMIbZ2k_OtQ,2021-01-04,21
GMIbZ2k_OtQ,2021-01-05,25
GMIbZ2k_OtQ,2021-01-06,21
GMIbZ2k_OtQ,2021-01-07,16
GMIbZ2k_OtQ,2021-01-08,11
GMIbZ2k_OtQ,2021-01-09,19
GMIbZ2k_OtQ,2021-01-10,23
GMIbZ2k_OtQ,2021-01-11,19
GMIbZ2k_OtQ,2021-01-12,24
GMIbZ2k_OtQ,2021-01-13,21
GMIbZ2k_OtQ,2021-01-14,15
GMIbZ2k_OtQ,2021-01-15,13
GMIbZ2k_OtQ,2021-01-16,19
GMIbZ2k_OtQ,2021-01-17,16
GMIbZ2k_OtQ,2021-01-18,27
GMIbZ2k_OtQ,2021-01-19,27
GMIbZ2k_OtQ,2021-01-20,19
GMIbZ2k_OtQ,2021-01-21,30
GMIbZ2k_OtQ,2021-01-22,32
GMIbZ2k_OtQ,2021-01-23,32
GMIbZ2k_OtQ,2021-01-24,37
GMIbZ2k_OtQ,2021-01-25,23
GMIbZ2k_OtQ,2021-01-26,27
GMIbZ2k_OtQ,2021-01-27,23
GMIbZ2k_OtQ,2021-01-28,13
GMIbZ2k_OtQ,2021-01-29,20
GMIbZ2k_OtQ,2021-01-30,37
GMIbZ2k_OtQ,2021-01-31,31
GMIbZ2k_OtQ,2021-02-01,26
GMIbZ2k_OtQ,2021-02-02,17
GMIbZ2k_OtQ,2021-02-03,19
GMIbZ2k_OtQ,2021-02-04,16
GMIbZ2k_OtQ,2021-02-05,17
GMIbZ2k_OtQ,2021-02-06,18
GMIbZ2k_OtQ,2021-02-07,15
GMIbZ2k_OtQ,2021-02-08,19
GMIbZ2k_OtQ,2021-02-09,11
GMIbZ2k_OtQ,2021-02-10,10
GMIbZ2k_OtQ,2021-02-11,6
GMIbZ2k_OtQ,2021-02-12,11
GMIbZ2k_OtQ,2021-02-13,8
GMIbZ2k_OtQ,2021-02-14,1
GMIbZ2k_OtQ,2021-02-15,8
GMIbZ2k_OtQ,2021-02-16,7
GMIbZ2k_OtQ,2021-02-17,12
GMIbZ2k_OtQ,2021-02-18,11
GMIbZ2k_OtQ,2021-02-19,9
GMIbZ2k_OtQ,2021-02-20,13
GMIbZ2k_OtQ,2021-02-21,12
GMIbZ2k_OtQ,2021-02-22,5
GMIbZ2k_OtQ,2021-02-23,8
GMIbZ2k_OtQ,2021-02-24,8
GMIbZ2k_OtQ,2021-02-25,14
GMIbZ2k_OtQ,2021-02-26,7
GMIbZ2k_OtQ,2021-02-27,9
GMIbZ2k_OtQ,2021-02-28,8
GMIbZ2k_OtQ,2021-03-01,8
GMIbZ2k_OtQ,2021-03-02,11
GMIbZ2k_OtQ,2021-03-03,10
GMIbZ2k_OtQ,2021-03-04,10
GMIbZ2k_OtQ,2021-03-05,9
GMIbZ2k_OtQ,2021-03-06,9
GMIbZ2k_OtQ,2021-03-07,10
GMIbZ2k_OtQ,2021-03-08,8
GMIbZ2k_OtQ,2021-03-09,10
GMIbZ2k_OtQ,2021-03-10,8
GMIbZ2k_OtQ,2021-03-11,11
GMIbZ2k_OtQ,2021-03-12,7
GMIbZ2k_OtQ,2021-03-13,9
GMIbZ2k_OtQ,2021-03-14,13
GMIbZ2k_OtQ,2021-03-15,6
GMIbZ2k_OtQ,2021-03-16,10
GMIbZ2k_OtQ,2021-03-17,7
GMIbZ2k_OtQ,2021-03-18,7
GMIbZ2k_OtQ,2021-03-19,10
GMIbZ2k_OtQ,2021-03-20,11
GMIbZ2k_OtQ,2021-03-21,1
GMIbZ2k_OtQ,2021-03-22,12
GMIbZ2k_OtQ,2021-03-23,2
GMIbZ2k_OtQ,2021-03-24,8
GMIbZ2k_OtQ,2021-03-25,10
GMIbZ2k_OtQ,2021-03-26,4
GMIbZ2k_OtQ,2021-03-27,6
GMIbZ2k_OtQ,2021-03-28,5
GMIbZ2k_OtQ,2021-03-29,7
GMIbZ2k_OtQ,2021-03-30,4
GMIbZ2k_OtQ,2021-03-31,7
GMIbZ2k_OtQ,2021-04-01,5
GMIbZ2k_OtQ,2021-04-02,9
GMIbZ2k_OtQ,2021-04-03,11
GMIbZ2k_OtQ,2021-04-04,11
GMIbZ2k_OtQ,2021-04-05,8
GMIbZ2k_OtQ,2021-04-06,9
GMIbZ2k_OtQ,2021-04-07,3
GMIbZ2k_OtQ,2021-04-08,6
GMIbZ2k_OtQ,2021-04-09,5
GMIbZ2k_OtQ,2021-04-10,3
GMIbZ2k_OtQ,2021-04-11,12
GMIbZ2k_OtQ,2021-04-12,7
GMIbZ2k_OtQ,2021-04-13,11
