day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-06-01,18261,1819,147,1976,24,1203,320,117,71677,7369,235,75.73,0,0,0,0,0,0,0,0.3125,0.0144,48,1595,15,23,27,11
2020-06-02,8557,871,33,725,11,279,203,33,32784,3544,229,73.92,0,0,0,0,0,0,0,0.36,0.019799999999999998,25,655,9,13,23,7
2020-06-03,4980,471,9,361,6,182,96,22,18630,1842,224,72.18,0,0,0,0,0,0,0,0.4118,0.0132,17,303,7,4,16,4
2020-06-04,4596,478,16,317,7,157,69,9,17200,1859,224,72.2,0,0,0,0,0,0,0,0.4286,0.0129,7,309,3,4,16,3
2020-06-05,3477,362,16,227,5,119,58,12,13097,1428,226,72.68,0,0,0,0,0,0,0,0.0,0.0038,5,264,0,1,16,3
2020-06-06,2561,213,7,147,1,84,49,5,9397,839,220,70.79,0,0,0,0,0,0,0,0.25,0.0127,8,158,2,2,25,3
2020-06-07,2170,213,5,150,3,66,52,5,8031,773,222,71.4,0,0,0,0,0,0,0,0.25,0.020099999999999996,16,149,4,3,22,1
2020-06-08,1550,152,4,101,2,49,30,1,5686,592,220,70.78,0,0,0,0,0,0,0,0.5,0.0256,6,117,3,3,10,1
2020-06-09,1306,122,3,66,2,26,31,4,4784,459,219,70.68,0,0,0,0,0,0,0,1.0,0.0,1,95,1,0,9,0
2020-06-10,926,78,0,55,0,15,21,3,3359,286,217,69.98,0,0,0,0,0,0,0,0.5,0.0152,2,66,1,1,3,1
2020-06-11,700,65,0,34,2,65,24,0,2530,255,216,69.73,0,0,0,0,0,0,0,0.5,0.0192,2,52,1,1,1,0
2020-06-12,582,56,2,27,2,16,26,1,2093,201,215,69.41,0,0,0,0,0,0,0,0.0,0.0,0,41,0,0,5,0
2020-06-13,424,41,2,22,0,11,23,2,1581,159,223,71.96,0,0,0,0,0,0,0,0.0,0.0,2,34,0,0,5,0
2020-06-14,434,49,2,29,0,7,9,1,1586,198,219,70.53,0,0,0,0,0,0,0,0.0,0.0,1,29,0,0,5,0
2020-06-15,420,33,0,21,0,18,14,2,1639,151,234,75.32,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,3,1
2020-06-16,404,37,1,30,0,10,20,1,1521,138,226,72.67,0,0,0,0,0,0,0,0.5,0.0323,2,31,1,1,0,0
2020-06-17,334,36,1,24,0,9,6,0,1314,144,236,75.92,0,0,0,0,0,0,0,1.0,0.0323,1,31,1,1,0,0
2020-06-18,280,41,1,18,0,7,7,0,1023,149,219,70.5,0,0,0,0,0,0,0,0.0,0.0,1,28,0,0,3,0
2020-06-19,255,22,0,14,0,7,11,0,982,72,231,74.34,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,4,0
2020-06-20,261,25,0,8,0,3,10,1,943,104,216,69.71,0,0,0,0,0,0,0,0.0,0.0,2,14,0,0,1,0
2020-06-21,291,31,0,16,0,11,7,0,1057,104,218,70.12,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,3,0
2020-06-22,263,23,0,18,0,5,4,0,1002,103,228,73.56,0,0,0,0,0,0,0,0.3333,0.0435,3,23,1,1,2,0
2020-06-23,215,22,0,16,2,3,6,0,847,101,236,76.04,0,0,0,0,0,0,0,0.5,0.08,2,25,1,2,1,1
2020-06-24,196,17,0,7,2,4,7,1,659,64,201,64.89,0,0,0,0,0,0,0,1.0,0.087,1,23,1,2,0,0
2020-06-25,214,30,0,15,0,5,4,1,759,105,212,68.46,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,0,0
2020-06-26,166,22,0,6,0,0,4,0,608,82,219,70.68,0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,1,0
2020-06-27,145,17,0,9,0,2,2,0,565,59,233,75.22,0,0,0,0,0,0,0,0.0,0.0,0,14,0,0,0,0
2020-06-28,205,23,0,9,1,3,5,0,765,82,223,72.0,0,0,0,0,0,0,0,0.0,0.0,0,14,0,0,0,1
2020-06-29,163,21,0,5,0,3,5,0,590,73,217,69.9,0,0,0,0,0,0,0,0.0,0.0,0,14,0,0,0,0
2020-06-30,151,15,0,4,0,3,3,0,541,53,215,69.23,0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,0,0
