day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-06-12,7094,675,50,629,17,473,96,33,26004,2561,219,68.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
2019-06-13,6208,380,28,413,19,250,129,20,21394,1381,206,64.02,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
2019-06-14,1473,100,5,96,2,53,72,9,4968,357,202,62.66,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2019-06-15,678,45,2,38,1,20,29,5,2293,168,202,62.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-16,592,36,2,31,2,22,27,2,1974,138,200,61.94,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-17,427,38,4,32,0,10,24,1,1460,138,205,63.519999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-18,230,12,1,14,0,3,9,1,730,45,190,59.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-19,226,14,0,22,0,8,16,0,794,51,210,65.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-20,200,14,0,18,0,5,11,1,681,49,204,63.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-21,181,12,2,13,0,2,7,1,575,40,190,59.050000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2019-06-22,178,12,0,5,0,4,5,5,565,44,190,58.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-23,149,8,0,7,1,3,9,0,502,35,202,62.64999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-24,132,8,0,6,0,3,8,1,446,31,202,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-25,110,7,0,9,1,1,3,1,380,28,207,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-26,110,9,0,2,0,4,8,2,351,24,191,59.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-27,90,3,0,7,0,0,5,0,317,7,211,65.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28,114,7,1,8,0,0,3,0,387,24,204,63.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-06-29,168,13,0,13,0,1,9,0,601,50,214,66.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,156,15,1,6,1,1,3,0,552,66,212,65.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-01,137,11,1,12,0,4,7,0,522,47,228,70.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-02,110,3,1,3,0,3,2,0,381,14,207,64.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03,88,10,0,2,0,1,0,1,298,28,203,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-04,63,4,0,2,0,2,3,1,242,15,231,71.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-05,85,4,0,1,1,2,1,0,280,10,198,61.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-06,122,7,0,5,1,4,5,0,399,27,196,60.84,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-07-07,104,11,0,4,0,2,2,0,365,37,210,65.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08,76,6,0,5,0,4,2,0,235,16,186,57.60999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09,81,7,0,2,0,0,2,0,298,23,221,68.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-10,101,6,0,4,0,1,1,0,307,25,182,56.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-11,117,4,0,4,0,0,4,1,388,12,199,61.64000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12,106,2,0,5,0,2,2,0,338,3,191,59.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-13,106,9,0,3,0,1,1,0,338,32,191,59.31999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-07-14,82,10,0,5,0,0,1,0,266,31,194,60.260000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15,119,12,1,3,0,0,1,1,389,38,196,60.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-16,143,9,0,0,0,0,0,0,436,29,183,56.769999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17,152,11,0,1,0,0,3,1,465,43,183,56.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-18,147,3,0,1,0,2,0,6,426,13,174,53.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19,198,8,1,0,0,3,3,2,527,19,159,49.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20,445,14,0,5,0,4,2,3,1159,37,156,48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-21,360,12,0,5,0,1,4,5,934,24,155,48.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22,243,4,0,3,0,1,3,2,554,7,137,42.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-23,160,7,0,1,0,0,4,2,397,26,149,46.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-24,162,7,0,5,0,0,0,0,452,30,167,51.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25,121,7,0,4,0,1,1,1,310,20,153,47.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-26,141,7,0,4,0,1,0,1,411,23,174,54.17999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-27,121,6,1,1,0,1,0,1,319,15,158,49.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,129,5,0,1,0,2,0,0,354,20,164,51.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29,104,9,0,1,1,1,2,3,236,15,136,42.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-30,127,9,0,5,0,3,1,2,352,35,166,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31,118,3,0,1,0,0,0,1,346,9,175,54.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,113,10,0,2,0,1,0,1,308,41,163,50.74000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-02,116,4,0,1,0,0,0,1,322,7,167,51.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-03,145,4,0,2,0,3,0,1,409,12,169,52.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-04,151,10,0,2,0,0,0,0,439,34,174,54.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-05,108,4,0,4,0,0,2,2,271,15,151,46.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-06,97,7,0,3,0,3,1,0,320,30,198,61.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-08-07,90,6,0,2,0,0,0,0,280,21,186,57.830000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-08,95,6,0,3,0,2,1,1,292,23,184,57.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-09,113,7,0,2,0,1,1,0,378,28,200,62.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-10,115,6,1,5,0,2,0,0,369,22,192,59.660000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,98,4,0,0,0,2,2,0,317,18,194,60.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-12,117,10,0,3,0,0,1,0,363,31,186,57.769999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-08-13,118,5,0,1,0,3,1,0,400,24,203,63.07000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-14,119,11,0,3,0,0,1,0,381,51,192,59.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-08-15,98,9,0,3,0,0,0,0,314,36,192,59.709999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-16,157,9,2,4,0,0,1,1,465,22,177,55.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-17,176,4,0,6,0,3,0,1,533,17,181,56.330000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-18,152,9,0,4,0,4,2,0,477,29,188,58.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-19,138,11,0,1,0,0,3,2,388,29,168,52.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-20,91,4,1,1,0,0,0,0,299,13,197,61.03999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-21,105,5,0,4,0,0,3,0,339,17,193,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-22,71,3,0,1,0,1,1,0,180,9,152,47.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-23,69,1,0,1,0,0,2,0,171,4,148,46.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-24,94,4,0,2,0,0,1,1,278,18,177,54.949999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-25,107,4,0,2,0,0,0,1,325,17,182,56.60000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-26,82,2,0,1,0,0,1,1,235,8,172,53.449999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-27,91,5,0,2,0,1,1,0,248,18,163,50.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-08-28,72,9,0,1,0,1,1,2,193,27,160,49.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-29,79,4,0,1,0,1,1,2,211,10,160,49.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-30,81,5,1,3,0,0,0,0,231,20,171,53.07999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31,115,7,0,3,0,1,3,0,340,20,177,54.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,106,4,0,4,0,1,0,0,275,3,155,48.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02,86,6,0,0,0,0,0,0,221,23,154,47.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-03,70,5,0,1,0,1,0,0,174,11,149,46.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-04,62,3,0,2,1,0,1,0,203,14,197,61.02000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-05,91,5,0,0,0,2,0,1,242,14,159,49.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-06,118,2,0,1,0,1,1,3,211,1,107,33.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-07,190,7,0,0,0,0,1,0,336,18,106,32.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-08,155,6,0,1,0,5,3,1,248,24,96,29.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-09,149,9,0,5,0,1,0,4,337,24,136,42.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-10,151,9,0,0,0,0,1,2,372,35,147,45.78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-09-11,132,4,0,3,1,0,0,0,322,18,146,45.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-12,151,7,0,0,0,0,0,1,377,24,150,46.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-13,113,3,0,1,0,0,0,0,278,11,147,45.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-14,113,8,0,2,0,1,1,0,285,21,151,46.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-15,106,3,0,1,1,1,1,0,316,13,179,55.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-16,95,3,0,0,0,1,0,1,260,8,164,50.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-17,97,9,0,3,0,1,0,0,277,27,171,53.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-18,84,6,0,1,0,5,3,0,222,21,158,49.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-19,94,6,0,0,0,0,0,0,268,18,171,53.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-20,75,1,0,2,0,1,0,0,191,4,152,47.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-21,81,5,1,3,0,0,1,0,224,9,166,51.580000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-22,85,7,0,3,0,0,0,0,247,18,174,54.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-23,76,3,0,3,0,0,0,0,203,10,160,49.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-24,81,7,0,0,0,1,0,0,228,25,169,52.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-25,97,7,0,0,0,1,0,0,303,29,187,58.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-26,74,2,0,1,0,0,1,0,203,9,164,51.07000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-27,65,2,0,1,0,1,0,2,190,4,175,54.449999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-28,78,2,0,3,0,0,0,0,240,10,185,57.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-29,86,10,0,0,0,0,0,0,245,29,171,53.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-30,81,3,0,1,0,0,0,1,219,14,162,50.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,98,3,0,3,0,0,0,1,271,8,166,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-02,79,5,0,0,0,0,0,0,210,12,160,49.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-03,85,6,0,1,0,0,0,0,238,15,168,52.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-04,82,2,0,2,0,1,0,0,209,2,153,47.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-05,65,2,0,0,0,2,1,1,194,9,179,55.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-06,80,6,0,1,0,1,1,3,205,18,153,47.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-07,69,8,0,0,0,0,0,1,170,25,148,45.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-08,68,4,0,1,0,0,0,0,169,12,149,46.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-09,68,3,0,1,0,0,1,3,189,10,167,51.74999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-10,79,3,0,1,0,2,0,0,217,10,165,51.24999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-11,60,2,0,2,0,0,0,1,156,4,156,48.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-12,44,2,0,1,0,0,0,0,124,6,170,52.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-13,54,5,0,1,0,1,1,0,164,23,182,56.60000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-14,52,3,0,1,0,0,0,1,138,10,160,49.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-15,54,3,0,-1,0,1,0,0,152,3,169,52.629999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-16,49,2,0,1,0,2,1,0,148,9,181,56.269999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-17,56,1,0,0,0,0,1,0,167,0,179,55.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-18,61,1,0,0,0,0,0,1,164,2,162,50.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
