day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-09-11,11848,1366,94,1408,8,1304,223,78,90914,10961,460,61.63000000000001,0,0,0,0,0,0,0,0.1301,0.032799999999999996,684,9533,89,313,15,10
2020-09-12,7015,826,28,606,2,307,241,33,53470,6622,457,61.22,0,0,0,0,0,0,0,0.1344,0.0288,320,4993,43,144,18,5
2020-09-13,19525,2074,59,1345,11,738,183,59,136397,16147,419,56.11000000000001,0,0,0,0,0,0,0,0.1276,0.025,784,14147,100,354,36,8
2020-09-14,30900,2558,54,1174,16,818,194,62,196451,18253,381,51.07000000000001,0,0,0,0,0,0,0,0.1359,0.0174,640,16310,87,284,138,6
2020-09-15,32644,2320,61,987,22,667,211,51,192578,15829,353,47.38,0,0,0,0,0,0,0,0.12119999999999999,0.0141,528,17293,64,243,111,8
2020-09-16,22116,1441,28,554,16,447,148,39,123093,9807,333,44.71,0,0,0,0,0,0,0,0.08789999999999999,0.016,364,11223,32,180,97,5
2020-09-17,17352,1038,26,422,13,290,96,20,97864,7167,338,45.3,0,0,0,0,0,0,0,0.1365,0.013999999999999999,271,8913,37,125,60,1
2020-09-18,13169,706,19,240,8,177,93,18,69182,4658,315,42.2,0,0,0,0,0,0,0,0.0851,0.0124,188,6797,16,84,48,3
2020-09-19,8799,430,13,151,7,95,73,11,46402,2746,316,42.36,0,0,0,0,0,0,0,0.1059,0.018600000000000002,170,4577,18,85,27,2
2020-09-20,4694,252,5,96,6,79,54,15,25477,1804,325,43.6,0,0,0,0,0,0,0,0.1477,0.0159,88,2511,13,40,15,0
2020-09-21,3804,216,1,82,2,57,56,5,21196,1345,334,44.76,0,0,0,0,0,0,0,0.0909,0.0182,88,2138,8,39,11,1
2020-09-22,2747,149,3,65,2,30,42,3,15570,1078,340,45.53,0,0,0,0,0,0,0,0.1765,0.0091,34,1545,6,14,9,0
2020-09-23,2604,152,2,59,2,30,42,3,14786,1052,340,45.61,0,0,0,0,0,0,0,0.1458,0.016,48,1439,7,23,11,0
2020-09-24,1477,74,0,37,1,28,37,0,8402,537,341,45.69,0,0,0,0,0,0,0,0.19510000000000002,0.020499999999999997,41,829,8,17,2,0
2020-09-25,954,64,0,29,2,12,23,0,5452,453,342,45.91,0,0,0,0,0,0,0,0.25,0.0218,24,504,6,11,2,0
2020-09-26,823,48,1,26,0,10,19,3,5285,333,385,51.59,0,0,0,0,0,0,0,0.23079999999999998,0.0060999999999999995,13,495,3,3,2,0
2020-09-27,809,48,0,19,2,9,15,1,5079,424,376,50.43,0,0,0,0,0,0,0,0.23079999999999998,0.0196,26,510,6,10,5,0
2020-09-28,709,63,0,23,0,10,24,1,4794,447,405,54.31,0,0,0,0,0,0,0,0.1765,0.0336,34,506,6,17,1,0
2020-09-29,641,54,1,19,0,11,17,3,4209,396,394,52.75,0,0,0,0,0,0,0,0.31579999999999997,0.019799999999999998,19,404,6,8,3,0
2020-09-30,796,57,0,19,0,13,17,2,5099,435,384,51.45000000000001,0,0,0,0,0,0,0,0.1724,0.0223,29,537,5,12,1,0
2020-10-01,594,39,1,20,0,7,8,1,3820,269,385,51.67,0,0,0,0,0,0,0,0.1304,0.0269,23,372,3,10,3,1
2020-10-02,613,35,2,24,1,5,14,1,4061,326,397,53.21,0,0,0,0,0,0,0,0.1765,0.0165,17,363,3,6,4,0
2020-10-03,615,37,0,17,0,6,13,3,3859,245,376,50.4,0,0,0,0,0,0,0,0.15380000000000002,0.0329,26,365,4,12,1,0
2020-10-04,709,66,0,30,0,10,15,1,4733,452,400,53.620000000000005,0,0,0,0,0,0,0,0.28,0.0191,25,418,7,8,4,0
2020-10-05,671,49,1,26,1,9,16,0,4697,345,420,56.230000000000004,0,0,0,0,0,0,0,0.1739,0.024700000000000003,23,486,4,12,2,0
2020-10-06,596,47,1,25,0,7,19,7,4103,421,413,55.3,0,0,0,0,0,0,0,0.25,0.0203,16,345,4,7,3,0
2020-10-07,432,40,0,18,0,1,12,0,2979,354,413,55.39999999999999,0,0,0,0,0,0,0,0.23079999999999998,0.0182,13,274,3,5,1,0
2020-10-08,336,33,1,13,1,9,16,0,2673,322,477,63.91,0,0,0,0,0,0,0,0.1765,0.032799999999999996,17,244,3,8,0,0
2020-10-09,324,28,1,18,0,7,12,0,2468,238,457,61.199999999999996,0,0,0,0,0,0,0,0.0,0.0451,18,244,0,11,3,0
