videoID,day,likes
H-hZsoyUEXs,2020-09-11,1408
H-hZsoyUEXs,2020-09-12,606
H-hZsoyUEXs,2020-09-13,1345
H-hZsoyUEXs,2020-09-14,1174
H-hZsoyUEXs,2020-09-15,987
H-hZsoyUEXs,2020-09-16,554
H-hZsoyUEXs,2020-09-17,422
H-hZsoyUEXs,2020-09-18,240
H-hZsoyUEXs,2020-09-19,151
H-hZsoyUEXs,2020-09-20,96
H-hZsoyUEXs,2020-09-21,82
H-hZsoyUEXs,2020-09-22,65
H-hZsoyUEXs,2020-09-23,59
H-hZsoyUEXs,2020-09-24,37
H-hZsoyUEXs,2020-09-25,29
H-hZsoyUEXs,2020-09-26,26
H-hZsoyUEXs,2020-09-27,19
H-hZsoyUEXs,2020-09-28,23
H-hZsoyUEXs,2020-09-29,19
H-hZsoyUEXs,2020-09-30,19
H-hZsoyUEXs,2020-10-01,20
H-hZsoyUEXs,2020-10-02,24
H-hZsoyUEXs,2020-10-03,17
H-hZsoyUEXs,2020-10-04,30
H-hZsoyUEXs,2020-10-05,26
H-hZsoyUEXs,2020-10-06,25
H-hZsoyUEXs,2020-10-07,18
H-hZsoyUEXs,2020-10-08,13
H-hZsoyUEXs,2020-10-09,18
H-hZsoyUEXs,2020-10-10,11
H-hZsoyUEXs,2020-10-11,16
H-hZsoyUEXs,2020-10-12,6
H-hZsoyUEXs,2020-10-13,9
H-hZsoyUEXs,2020-10-14,13
H-hZsoyUEXs,2020-10-15,9
H-hZsoyUEXs,2020-10-16,14
H-hZsoyUEXs,2020-10-17,22
H-hZsoyUEXs,2020-10-18,18
H-hZsoyUEXs,2020-10-19,16
H-hZsoyUEXs,2020-10-20,10
H-hZsoyUEXs,2020-10-21,10
H-hZsoyUEXs,2020-10-22,22
H-hZsoyUEXs,2020-10-23,7
H-hZsoyUEXs,2020-10-24,13
H-hZsoyUEXs,2020-10-25,11
H-hZsoyUEXs,2020-10-26,13
H-hZsoyUEXs,2020-10-27,16
H-hZsoyUEXs,2020-10-28,9
H-hZsoyUEXs,2020-10-29,10
H-hZsoyUEXs,2020-10-30,8
H-hZsoyUEXs,2020-10-31,8
H-hZsoyUEXs,2020-11-01,9
H-hZsoyUEXs,2020-11-02,13
H-hZsoyUEXs,2020-11-03,4
H-hZsoyUEXs,2020-11-04,14
H-hZsoyUEXs,2020-11-05,7
H-hZsoyUEXs,2020-11-06,5
H-hZsoyUEXs,2020-11-07,8
H-hZsoyUEXs,2020-11-08,11
H-hZsoyUEXs,2020-11-09,11
H-hZsoyUEXs,2020-11-10,7
H-hZsoyUEXs,2020-11-11,11
H-hZsoyUEXs,2020-11-12,8
H-hZsoyUEXs,2020-11-13,11
H-hZsoyUEXs,2020-11-14,3
H-hZsoyUEXs,2020-11-15,10
H-hZsoyUEXs,2020-11-16,5
H-hZsoyUEXs,2020-11-17,5
H-hZsoyUEXs,2020-11-18,6
H-hZsoyUEXs,2020-11-19,5
H-hZsoyUEXs,2020-11-20,7
H-hZsoyUEXs,2020-11-21,4
H-hZsoyUEXs,2020-11-22,12
H-hZsoyUEXs,2020-11-23,7
H-hZsoyUEXs,2020-11-24,11
H-hZsoyUEXs,2020-11-25,20
H-hZsoyUEXs,2020-11-26,16
H-hZsoyUEXs,2020-11-27,21
H-hZsoyUEXs,2020-11-28,22
H-hZsoyUEXs,2020-11-29,15
H-hZsoyUEXs,2020-11-30,12
H-hZsoyUEXs,2020-12-01,14
H-hZsoyUEXs,2020-12-02,19
H-hZsoyUEXs,2020-12-03,15
H-hZsoyUEXs,2020-12-04,12
H-hZsoyUEXs,2020-12-05,9
H-hZsoyUEXs,2020-12-06,16
H-hZsoyUEXs,2020-12-07,21
H-hZsoyUEXs,2020-12-08,28
H-hZsoyUEXs,2020-12-09,20
H-hZsoyUEXs,2020-12-10,18
H-hZsoyUEXs,2020-12-11,15
H-hZsoyUEXs,2020-12-12,17
H-hZsoyUEXs,2020-12-13,16
H-hZsoyUEXs,2020-12-14,22
H-hZsoyUEXs,2020-12-15,12
H-hZsoyUEXs,2020-12-16,8
H-hZsoyUEXs,2020-12-17,21
H-hZsoyUEXs,2020-12-18,8
H-hZsoyUEXs,2020-12-19,15
H-hZsoyUEXs,2020-12-20,20
H-hZsoyUEXs,2020-12-21,13
H-hZsoyUEXs,2020-12-22,12
H-hZsoyUEXs,2020-12-23,7
H-hZsoyUEXs,2020-12-24,8
H-hZsoyUEXs,2020-12-25,3
H-hZsoyUEXs,2020-12-26,9
H-hZsoyUEXs,2020-12-27,14
H-hZsoyUEXs,2020-12-28,12
H-hZsoyUEXs,2020-12-29,20
H-hZsoyUEXs,2020-12-30,20
H-hZsoyUEXs,2020-12-31,16
H-hZsoyUEXs,2021-01-01,10
