day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2022-02-04,53028,8863,157,3384,43,4538,569,189,376654,73970,426,50.85999999999999,0,0,0,0,0,0,0,0.5455,0.0231,187,6716,102,155,134,44
2022-02-05,58858,8688,82,2360,37,2447,603,157,347293,66476,354,42.25,0,0,0,0,0,0,0,0.5211,0.0215,142,5296,74,114,219,32
2022-02-06,59117,9161,63,1982,29,2252,513,140,360500,70472,365,43.66,0,0,0,0,0,0,0,0.5278,0.0171,108,5496,57,94,300,25
2022-02-07,50748,8281,57,1915,25,2355,468,109,330731,64353,391,46.66,0,0,0,0,0,0,0,0.6083,0.018600000000000002,120,5635,73,105,322,10
2022-02-08,30020,4740,46,1224,21,1574,385,86,191763,36474,383,45.74,0,0,0,0,0,0,0,0.4783,0.0174,69,3342,33,58,188,9
2022-02-09,28510,4452,29,899,17,1199,270,55,174729,34590,367,43.88,0,0,0,0,0,0,0,0.4194,0.018500000000000003,62,3028,26,56,207,7
2022-02-10,25817,3888,27,721,16,1035,288,66,158552,30733,368,43.97,0,0,0,0,0,0,0,0.6,0.0218,65,2474,39,54,182,9
2022-02-11,24498,3576,26,710,14,971,221,63,149912,28842,367,43.81,0,0,0,0,0,0,0,0.5135000000000001,0.0132,37,2273,19,30,193,2
2022-02-12,20307,3019,19,595,17,778,227,35,125789,24535,371,44.35,0,0,0,0,0,0,0,0.5625,0.0111,32,1898,18,21,171,5
2022-02-13,20726,3267,22,541,27,717,202,29,133122,26636,385,45.99,0,0,0,0,0,0,0,0.5455,0.013000000000000001,33,2081,18,27,177,5
2022-02-14,16817,2710,18,486,18,566,180,46,109437,22030,390,46.59,0,0,0,0,0,0,0,0.4118,0.0149,34,1743,14,26,166,4
2022-02-15,14286,2274,15,380,10,485,138,28,90654,18485,380,45.43,0,0,0,0,0,0,0,0.4706,0.0104,17,1349,8,14,123,4
2022-02-16,13530,2211,13,339,5,496,154,36,80411,16954,356,42.55,0,0,0,0,0,0,0,0.4828,0.0174,29,1210,14,21,116,5
2022-02-17,10340,1557,9,225,13,377,147,22,58307,12110,338,40.37,0,0,0,0,0,0,0,0.4211,0.0167,19,836,8,14,88,4
2022-02-18,7848,1184,11,180,7,250,115,20,44316,9145,338,40.43,0,0,0,0,0,0,0,0.5,0.006,6,667,3,4,56,2
2022-02-19,6277,875,13,132,6,193,94,12,36194,6736,345,41.29,0,0,0,0,0,0,0,0.3,0.0202,10,594,3,12,31,2
2022-02-20,5901,941,3,114,5,214,105,17,35302,7009,358,42.83,0,0,0,0,0,0,0,0.4286,0.0292,14,513,6,15,26,1
2022-02-21,3859,534,3,85,6,138,97,7,22947,3976,356,42.58,0,0,0,0,0,0,0,1.0,0.011000000000000001,4,364,4,4,24,0
2022-02-22,3484,523,5,71,3,124,78,5,20835,3643,358,42.82,0,0,0,0,0,0,0,0.5556,0.022799999999999997,9,351,5,8,21,1
2022-02-23,3573,508,5,105,5,120,85,4,22051,3707,370,44.19,0,0,0,0,0,0,0,0.75,0.016399999999999998,4,365,3,6,25,0
2022-02-24,1949,336,0,48,4,90,67,4,11472,2459,353,42.15,0,0,0,0,0,0,0,0.6667000000000001,0.0113,3,177,2,2,11,0
2022-02-25,1715,292,2,33,5,58,47,4,10872,2415,380,45.39,0,0,0,0,0,0,0,0.0,0.0184,3,163,0,3,13,0
