videoID,day,likes
HuIxSkD6wsA,2022-02-04,3384
HuIxSkD6wsA,2022-02-05,2360
HuIxSkD6wsA,2022-02-06,1982
HuIxSkD6wsA,2022-02-07,1915
HuIxSkD6wsA,2022-02-08,1224
HuIxSkD6wsA,2022-02-09,899
HuIxSkD6wsA,2022-02-10,721
HuIxSkD6wsA,2022-02-11,710
HuIxSkD6wsA,2022-02-12,595
HuIxSkD6wsA,2022-02-13,541
HuIxSkD6wsA,2022-02-14,486
HuIxSkD6wsA,2022-02-15,380
HuIxSkD6wsA,2022-02-16,339
HuIxSkD6wsA,2022-02-17,225
HuIxSkD6wsA,2022-02-18,180
HuIxSkD6wsA,2022-02-19,132
HuIxSkD6wsA,2022-02-20,114
HuIxSkD6wsA,2022-02-21,85
HuIxSkD6wsA,2022-02-22,71
HuIxSkD6wsA,2022-02-23,105
HuIxSkD6wsA,2022-02-24,48
HuIxSkD6wsA,2022-02-25,33
HuIxSkD6wsA,2022-02-26,43
HuIxSkD6wsA,2022-02-27,45
HuIxSkD6wsA,2022-02-28,65
HuIxSkD6wsA,2022-03-01,54
HuIxSkD6wsA,2022-03-02,78
HuIxSkD6wsA,2022-03-03,137
HuIxSkD6wsA,2022-03-04,143
HuIxSkD6wsA,2022-03-05,144
HuIxSkD6wsA,2022-03-06,223
HuIxSkD6wsA,2022-03-07,185
HuIxSkD6wsA,2022-03-08,203
HuIxSkD6wsA,2022-03-09,211
HuIxSkD6wsA,2022-03-10,145
HuIxSkD6wsA,2022-03-11,256
HuIxSkD6wsA,2022-03-12,192
HuIxSkD6wsA,2022-03-13,285
HuIxSkD6wsA,2022-03-14,313
