day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,61,3,1,0,1,1,1,0,417,13,410,66.33,0.0,0,51,51,51,0,0,0.0,0.0,1,23,0,0,0,0
2019-01-02,69,7,0,2,0,1,0,0,481,60,418,67.59,0.0,0,52,52,52,0,0,0.0,0.0,0,20,0,0,1,0
2019-01-03,74,5,0,1,0,2,0,0,524,41,424,68.65,0.0,0,57,57,57,0,0,0.0,0.0,1,31,0,0,0,0
2019-01-04,73,6,0,1,0,0,0,1,487,50,400,64.7,0.0233,0,43,43,43,1,0,0.0,0.0,0,18,0,0,1,0
2019-01-05,75,8,0,4,0,4,0,0,452,43,362,58.52,0.0,0,54,54,54,0,0,0.0,0.0,0,21,0,0,1,0
2019-01-06,60,5,0,1,0,0,0,0,446,29,446,72.1,0.02,0,50,50,50,1,0,0.0,0.0,0,17,0,0,2,0
2019-01-07,53,6,0,1,0,0,0,1,426,55,482,77.97,0.0,0,28,28,28,0,0,0.0,0.0909,1,11,0,1,0,0
2019-01-08,57,5,0,1,0,0,0,0,417,51,439,71.05,0.0263,0,38,38,38,1,0,0.0,0.0556,1,18,0,1,0,0
2019-01-09,56,5,0,1,0,0,0,0,434,31,465,75.16,0.0,0,38,38,38,0,0,0.0,0.0,0,11,0,0,0,0
2019-01-10,48,4,0,3,0,0,0,0,293,33,366,59.27,0.0588,0,17,17,17,1,0,0.0,0.0,0,10,0,0,1,0
2019-01-11,55,3,0,0,0,0,0,0,414,16,452,73.12,0.0526,0,57,57,57,3,0,0.0,0.0,0,17,0,0,0,0
2019-01-12,71,4,0,1,0,0,0,1,501,41,423,68.44,0.0,0,49,49,49,0,0,0.0,0.0,0,20,0,0,0,0
2019-01-13,52,2,0,1,0,0,0,0,387,10,447,72.25,0.0,0,38,38,38,0,0,0.0,0.0588,1,17,0,1,0,0
2019-01-14,63,2,1,4,0,0,0,0,374,9,356,57.58,0.0,0,35,35,35,0,0,0.0,0.0,0,15,0,0,1,0
2019-01-15,69,3,0,1,0,0,0,0,487,30,423,68.48,0.0,0,16,16,16,0,0,0.0,0.0,0,19,0,0,0,0
2019-01-16,55,4,0,1,0,0,1,0,394,20,430,69.5,0.0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,0,0
