day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-02-01,11,2,0,0,0,4,0,0,99,20,540,80.84,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-02-02,11,1,0,0,0,0,0,0,85,11,463,69.31,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-02-03,13,0,0,0,0,0,0,0,83,0,385,57.61999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-02-04,72031,4659,255,3131,93,2140,369,187,451810,31848,376,56.26,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,190,25
2020-02-05,52401,2778,96,1293,65,1108,354,137,287408,17632,329,49.19,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,161,7
2020-02-06,23266,1031,46,422,23,514,238,43,128828,6804,332,49.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,88,3
2020-02-07,14188,648,19,260,17,245,152,38,80788,4171,341,51.07000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,59,4
2020-02-08,8857,425,23,177,15,140,110,20,52969,2841,358,53.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,37,0
2020-02-09,8836,424,13,152,11,142,98,21,54414,2916,369,55.230000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,29,0
2020-02-10,6793,322,16,129,11,115,92,11,41235,2258,364,54.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22,0
2020-02-11,4033,215,6,74,6,75,61,8,23324,1326,347,51.86999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,11,0
2020-02-12,2388,110,2,58,5,29,48,7,14070,748,353,52.849999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,15,0
2020-02-13,1265,60,3,27,2,13,30,2,7725,400,366,54.77000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2020-02-14,1101,58,1,21,1,19,31,2,6819,374,371,55.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-02-15,1014,51,1,22,0,15,22,0,6179,356,365,54.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-02-16,1065,50,2,20,0,16,35,0,7022,349,395,59.14,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2020-02-17,1122,45,2,15,0,13,16,3,6593,314,352,52.71,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-02-18,820,43,3,17,0,15,17,1,4631,274,338,50.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-02-19,919,30,1,21,0,16,16,0,5707,193,372,55.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-02-20,1062,47,2,14,0,16,22,4,6540,281,369,55.24,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-02-21,1370,104,0,30,1,12,17,1,8521,717,373,55.779999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-02-22,1416,74,4,39,1,11,18,2,9099,546,385,57.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2020-02-23,1450,95,0,37,2,23,23,1,9287,658,384,57.440000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,1
2020-02-24,913,57,1,28,0,15,12,2,5715,382,375,56.15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-02-25,831,40,1,20,0,12,10,0,4831,267,348,52.14,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,1
2020-02-26,805,45,1,17,2,10,14,2,4851,287,361,54.05,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-02-27,698,33,0,17,3,9,12,0,4196,226,360,53.93,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-02-28,649,39,1,14,0,6,14,0,3753,279,346,51.86999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-02-29,635,36,1,8,0,6,8,1,3927,286,371,55.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-03-01,648,40,1,13,1,10,16,3,4058,307,375,56.169999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-03-02,620,33,1,12,0,9,10,0,3782,291,366,54.71,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2020-03-03,635,30,1,14,0,8,6,0,3933,224,371,55.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-03-04,611,38,0,8,0,7,11,2,3632,290,356,53.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-03-05,686,33,2,15,2,6,7,0,4125,226,360,53.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-03-06,587,31,0,13,0,3,9,1,3376,196,345,51.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
