videoID,day,likes
JnbQ02S2gVk,2020-02-01,0
JnbQ02S2gVk,2020-02-02,0
JnbQ02S2gVk,2020-02-03,0
JnbQ02S2gVk,2020-02-04,3131
JnbQ02S2gVk,2020-02-05,1293
JnbQ02S2gVk,2020-02-06,422
JnbQ02S2gVk,2020-02-07,260
JnbQ02S2gVk,2020-02-08,177
JnbQ02S2gVk,2020-02-09,152
JnbQ02S2gVk,2020-02-10,129
JnbQ02S2gVk,2020-02-11,74
JnbQ02S2gVk,2020-02-12,58
JnbQ02S2gVk,2020-02-13,27
JnbQ02S2gVk,2020-02-14,21
JnbQ02S2gVk,2020-02-15,22
JnbQ02S2gVk,2020-02-16,20
JnbQ02S2gVk,2020-02-17,15
JnbQ02S2gVk,2020-02-18,17
JnbQ02S2gVk,2020-02-19,21
JnbQ02S2gVk,2020-02-20,14
JnbQ02S2gVk,2020-02-21,30
JnbQ02S2gVk,2020-02-22,39
JnbQ02S2gVk,2020-02-23,37
JnbQ02S2gVk,2020-02-24,28
JnbQ02S2gVk,2020-02-25,20
JnbQ02S2gVk,2020-02-26,17
JnbQ02S2gVk,2020-02-27,17
JnbQ02S2gVk,2020-02-28,14
JnbQ02S2gVk,2020-02-29,8
JnbQ02S2gVk,2020-03-01,13
JnbQ02S2gVk,2020-03-02,12
JnbQ02S2gVk,2020-03-03,14
JnbQ02S2gVk,2020-03-04,8
JnbQ02S2gVk,2020-03-05,15
JnbQ02S2gVk,2020-03-06,13
JnbQ02S2gVk,2020-03-07,5
JnbQ02S2gVk,2020-03-08,5
JnbQ02S2gVk,2020-03-09,5
JnbQ02S2gVk,2020-03-10,7
JnbQ02S2gVk,2020-03-11,3
JnbQ02S2gVk,2020-03-12,6
JnbQ02S2gVk,2020-03-13,6
JnbQ02S2gVk,2020-03-14,4
JnbQ02S2gVk,2020-03-15,2
JnbQ02S2gVk,2020-03-16,3
JnbQ02S2gVk,2020-03-17,5
JnbQ02S2gVk,2020-03-18,5
JnbQ02S2gVk,2020-03-19,3
JnbQ02S2gVk,2020-03-20,4
JnbQ02S2gVk,2020-03-21,8
JnbQ02S2gVk,2020-03-22,3
