day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,216,7,0,4,0,6,2,1,1863,74,517,49.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-02,346,13,0,3,0,5,2,1,3013,103,522,49.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,253,6,0,5,1,6,4,0,1635,41,387,36.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-04,216,8,0,3,0,2,3,0,1628,87,452,42.89,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-05,181,10,1,7,0,6,2,0,1226,121,406,38.55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-01-06,179,3,0,3,0,4,4,3,1235,36,413,39.24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-07,140,5,0,4,0,3,4,2,1195,40,512,48.55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-08,141,5,0,1,0,4,4,0,855,31,364,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-09,147,5,0,4,0,5,1,0,1070,40,437,41.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-10,122,4,0,1,0,0,1,0,819,41,402,38.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,130,13,0,1,0,0,1,2,1033,80,476,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-01-12,137,5,0,3,0,0,0,0,1190,39,521,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,131,10,0,1,0,3,1,2,1291,73,591,56.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,168,9,0,4,0,5,0,2,1412,58,504,47.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-15,226,8,0,6,0,1,0,2,1794,81,476,45.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,201,9,0,5,0,7,1,0,1663,113,496,47.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-17,236,5,1,6,0,1,0,1,2050,55,521,49.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-18,255,7,0,7,0,3,1,1,2457,39,578,54.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-19,160,4,1,7,0,4,0,0,1454,52,545,51.690000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,200,15,0,10,0,6,1,0,1700,143,510,48.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-21,197,9,0,6,0,6,4,1,1675,101,510,48.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-22,181,11,1,1,0,3,1,0,1491,115,494,46.87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-23,231,14,0,5,1,6,3,5,1820,157,472,44.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-24,195,5,0,4,0,4,2,3,1590,62,489,46.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
