videoID,day,likes
JrGuomu9NGY,2017-08-29,196
JrGuomu9NGY,2017-08-30,38
JrGuomu9NGY,2017-08-31,16
JrGuomu9NGY,2017-09-01,9
JrGuomu9NGY,2017-09-02,16
JrGuomu9NGY,2017-09-03,6
JrGuomu9NGY,2017-09-04,8
JrGuomu9NGY,2017-09-05,6
JrGuomu9NGY,2017-09-06,5
JrGuomu9NGY,2017-09-07,8
JrGuomu9NGY,2017-09-08,4
JrGuomu9NGY,2017-09-09,7
JrGuomu9NGY,2017-09-10,8
JrGuomu9NGY,2017-09-11,11
JrGuomu9NGY,2017-09-12,3
JrGuomu9NGY,2017-09-13,22
JrGuomu9NGY,2017-09-14,36
JrGuomu9NGY,2017-09-15,20
JrGuomu9NGY,2017-09-16,20
JrGuomu9NGY,2017-09-17,33
JrGuomu9NGY,2017-09-18,28
JrGuomu9NGY,2017-09-19,15
JrGuomu9NGY,2017-09-20,19
JrGuomu9NGY,2017-09-21,19
JrGuomu9NGY,2017-09-22,16
JrGuomu9NGY,2017-09-23,16
JrGuomu9NGY,2017-09-24,11
JrGuomu9NGY,2017-09-25,14
JrGuomu9NGY,2017-09-26,16
JrGuomu9NGY,2017-09-27,10
JrGuomu9NGY,2017-09-28,3
JrGuomu9NGY,2017-09-29,4
JrGuomu9NGY,2017-09-30,0
JrGuomu9NGY,2017-10-01,3
JrGuomu9NGY,2017-10-02,3
JrGuomu9NGY,2017-10-03,2
JrGuomu9NGY,2017-10-04,1
JrGuomu9NGY,2017-10-05,3
JrGuomu9NGY,2017-10-06,6
JrGuomu9NGY,2017-10-07,2
JrGuomu9NGY,2017-10-08,2
JrGuomu9NGY,2017-10-09,1
JrGuomu9NGY,2017-10-10,0
JrGuomu9NGY,2017-10-11,0
JrGuomu9NGY,2017-10-12,2
JrGuomu9NGY,2017-10-13,2
JrGuomu9NGY,2017-10-14,2
JrGuomu9NGY,2017-10-15,3
JrGuomu9NGY,2017-10-16,2
JrGuomu9NGY,2017-10-17,2
JrGuomu9NGY,2017-10-18,1
JrGuomu9NGY,2017-10-19,1
JrGuomu9NGY,2017-10-20,2
JrGuomu9NGY,2017-10-21,3
JrGuomu9NGY,2017-10-22,4
JrGuomu9NGY,2017-10-23,2
JrGuomu9NGY,2017-10-24,2
JrGuomu9NGY,2017-10-25,0
JrGuomu9NGY,2017-10-26,3
JrGuomu9NGY,2017-10-27,1
JrGuomu9NGY,2017-10-28,1
JrGuomu9NGY,2017-10-29,3
JrGuomu9NGY,2017-10-30,3
JrGuomu9NGY,2017-10-31,2
JrGuomu9NGY,2017-11-01,0
JrGuomu9NGY,2017-11-02,2
JrGuomu9NGY,2017-11-03,1
JrGuomu9NGY,2017-11-04,9
JrGuomu9NGY,2017-11-05,2
JrGuomu9NGY,2017-11-06,2
JrGuomu9NGY,2017-11-07,2
JrGuomu9NGY,2017-11-08,1
JrGuomu9NGY,2017-11-09,1
JrGuomu9NGY,2017-11-10,-1
