day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-10-27,10021,1420,152,1057,40,1191,153,79,72122,10900,431,27.79,0,0,0,0,0,0,0,0.013300000000000001,0.0124,75,4747,1,59,7,25
2020-10-28,4831,667,54,418,11,306,158,41,35500,5517,440,28.37,0,0,0,0,0,0,0,0.0882,0.012,34,2175,3,26,3,3
2020-10-29,3150,422,22,207,11,204,120,23,23021,3595,438,28.22,0,0,0,0,0,0,0,0.0,0.009899999999999999,15,1315,0,13,9,3
2020-10-30,1768,224,12,120,1,68,53,13,12929,1704,438,28.24,0,0,0,0,0,0,0,0.0,0.006,5,663,0,4,4,0
2020-10-31,1257,134,5,69,1,68,41,17,8751,1224,417,26.88,0,0,0,0,0,0,0,0.0,0.0126,10,478,0,6,5,4
2020-11-01,1496,212,3,76,0,73,39,7,10857,1704,435,28.02,0,0,0,0,0,0,0,0.2,0.0017000000000000001,5,573,1,1,3,2
2020-11-02,1355,159,4,102,3,62,36,10,9325,1127,412,26.57,0,0,0,0,0,0,0,0.0,0.0126,8,554,0,7,1,0
2020-11-03,824,116,3,44,0,39,30,2,5849,941,425,27.41,0,0,0,0,0,0,0,0.0,0.018000000000000002,6,334,0,6,1,0
2020-11-04,695,95,1,47,0,22,25,3,4933,808,425,27.41,0,0,0,0,0,0,0,0.0,0.022400000000000003,7,312,0,7,0,0
2020-11-05,651,94,2,27,2,28,18,0,4333,581,399,25.7,0,0,0,0,0,0,0,0.0,0.0076,2,263,0,2,1,0
2020-11-06,438,68,5,24,0,24,19,2,3186,490,436,28.09,0,0,0,0,0,0,0,0.0,0.005699999999999999,1,176,0,1,1,0
2020-11-07,484,61,0,23,2,17,25,3,3794,485,470,30.269999999999996,0,0,0,0,0,0,0,0.0,0.0,0,206,0,0,1,1
2020-11-08,417,67,4,24,0,17,24,3,3183,472,458,29.469999999999995,0,0,0,0,0,0,0,0.0,0.0,1,166,0,0,2,0
2020-11-09,371,42,2,28,-1,11,19,3,2642,362,427,27.500000000000004,0,0,0,0,0,0,0,0.0,0.006999999999999999,1,143,0,1,2,0
2020-11-10,310,44,0,15,2,11,9,1,2485,426,481,30.959999999999997,0,0,0,0,0,0,0,0.0,0.0,1,120,0,0,2,0
2020-11-11,269,41,4,13,0,14,18,1,1844,328,411,26.47,0,0,0,0,0,0,0,0.0,0.0,0,108,0,0,1,0
