day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-06-22,6,0,0,0,0,0,0,0,29,0,299,40.16,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0
2021-06-23,51016,7515,143,4009,37,3297,492,144,368279,58777,433,57.98,0,0,0,0,0,0,0,0.0725,0.0021,69,22754,5,47,182,34
2021-06-24,49171,6286,86,2405,47,1771,529,130,319097,45828,389,52.12,0,0,0,0,0,0,0,0.0625,0.0015,48,18506,3,27,236,16
2021-06-25,40812,4472,73,1437,43,1190,354,109,240036,31103,352,47.24,0,0,0,0,0,0,0,0.0278,0.0018,36,14708,1,26,224,12
2021-06-26,33322,3265,51,1028,34,941,261,90,182123,21580,327,43.9,0,0,0,0,0,0,0,0.0625,0.001,16,11880,1,12,159,9
2021-06-27,24028,2279,36,693,34,685,239,45,134726,15756,336,45.04,0,0,0,0,0,0,0,0.0,0.0016,15,8663,0,14,137,6
2021-06-28,13907,1428,22,438,13,351,160,30,80675,9770,348,46.6,0,0,0,0,0,0,0,0.0588,0.0024,17,5014,1,12,81,3
2021-06-29,11671,1199,8,394,15,371,157,11,62567,7919,321,43.06,0,0,0,0,0,0,0,0.1,0.0018,10,3945,1,7,58,6
2021-06-30,6724,679,7,184,4,195,122,8,35493,4406,316,42.4,0,0,0,0,0,0,0,0.0,0.0022,5,2294,0,5,26,1
2021-07-01,5281,554,6,153,6,130,96,6,28738,3882,326,43.71,0,0,0,0,0,0,0,0.0,0.0011,4,1840,0,2,36,3
2021-07-02,4719,511,3,161,1,105,83,11,26218,3675,333,44.63,0,0,0,0,0,0,0,0.0,0.0034000000000000002,6,1745,0,6,24,1
2021-07-03,3873,368,7,105,5,105,78,4,20214,2446,313,41.92,0,0,0,0,0,0,0,0.0,0.0023,3,1330,0,3,20,1
2021-07-04,2932,323,1,113,0,50,64,4,16579,2120,339,45.42,0,0,0,0,0,0,0,0.0,0.0019,2,1054,0,2,18,2
2021-07-05,2154,248,2,71,0,55,64,6,13049,1731,363,48.66,0,0,0,0,0,0,0,0.0,0.0,0,776,0,0,12,1
2021-07-06,1930,208,4,58,3,67,51,3,11917,1584,370,49.6,0,0,0,0,0,0,0,0.0,0.0027,3,745,0,2,9,1
2021-07-07,1295,164,4,52,0,23,41,4,7802,1056,361,48.4,0,0,0,0,0,0,0,0.0,0.0,0,473,0,0,9,0
2021-07-08,906,98,0,34,0,24,44,2,6189,773,409,54.87,0,0,0,0,0,0,0,0.0,0.0,0,363,0,0,6,1
