day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-07-30,26911,4123,55,2084,51,1349,381,48,22923,3694,51,85.18,0,0,0,0,0,0,0,0.4864,0.0412,625,11352,304,468,17,12
2021-07-31,12053,1918,9,731,44,372,201,22,10316,1673,51,85.59,0,0,0,0,0,0,0,0.48229999999999995,0.0358,226,4720,109,169,18,7
2021-08-01,7878,1245,5,477,15,234,125,16,7094,1399,54,90.05,0,0,0,0,0,0,0,0.45,0.0416,160,2887,72,120,11,4
2021-08-02,5371,743,8,319,10,149,96,10,4468,619,49,83.2,0,0,0,0,0,0,0,0.5455,0.0353,88,1840,48,65,14,3
2021-08-03,3636,518,3,227,7,79,68,3,3039,435,50,83.6,0,0,0,0,0,0,0,0.4918,0.0453,61,993,30,45,8,2
2021-08-04,3043,407,0,185,6,80,47,7,2610,326,51,85.8,0,0,0,0,0,0,0,0.5435,0.0417,46,888,25,37,11,3
2021-08-05,2487,339,1,140,6,49,38,3,2107,368,50,84.75,0,0,0,0,0,0,0,0.5,0.0296,26,641,13,19,6,3
2021-08-06,2322,296,0,137,8,54,48,4,1906,296,49,82.09,0,0,0,0,0,0,0,0.5185,0.042800000000000005,27,467,14,20,8,1
2021-08-07,3366,430,1,185,6,36,27,8,2719,392,48,80.8,0,0,0,0,0,0,0,0.5185,0.0325,27,616,14,20,10,0
2021-08-08,3650,474,1,175,7,46,27,10,2908,367,47,79.68,0,0,0,0,0,0,0,0.6563,0.0383,32,652,21,25,15,3
2021-08-09,2955,371,3,170,3,60,25,5,2632,354,53,89.1,0,0,0,0,0,0,0,0.4839,0.042199999999999994,31,664,15,28,8,1
2021-08-10,1980,248,2,116,4,25,27,7,1524,226,46,77.0,0,0,0,0,0,0,0,0.5556,0.0369,18,407,10,15,8,1
2021-08-11,1890,254,0,112,4,30,16,1,1509,212,47,79.85,0,0,0,0,0,0,0,0.4839,0.0554,31,433,15,24,5,0
2021-08-12,1804,259,2,130,4,25,11,2,1339,198,44,74.26,0,0,0,0,0,0,0,0.5185,0.0401,27,424,14,17,8,1
2021-08-13,1666,182,0,104,4,18,18,3,1226,145,44,73.59,0,0,0,0,0,0,0,0.625,0.043,16,302,10,13,6,0
2021-08-14,1734,218,1,87,2,23,17,3,1258,177,43,72.61,0,0,0,0,0,0,0,0.4583,0.0526,24,342,11,18,9,1
2021-08-15,1927,255,0,101,2,26,17,5,1416,201,44,73.5,0,0,0,0,0,0,0,0.5625,0.035699999999999996,16,280,9,10,8,0
2021-08-16,1940,226,2,129,6,19,15,5,1436,168,44,74.03,0,0,0,0,0,0,0,0.4,0.0482,20,332,8,16,4,0
2021-08-17,2091,233,0,98,2,18,12,1,1500,163,43,71.75,0,0,0,0,0,0,0,0.6364,0.037000000000000005,11,243,7,9,11,0
2021-08-18,1777,183,0,86,1,16,15,2,1178,118,39,66.31,0,0,0,0,0,0,0,0.5,0.0407,6,172,3,7,9,0
2021-08-19,1782,199,0,81,2,11,7,2,1306,242,43,73.31,0,0,0,0,0,0,0,0.4545,0.043,11,186,5,8,10,0
2021-08-20,1947,243,0,99,2,14,9,4,1478,243,45,75.91,0,0,0,0,0,0,0,0.4286,0.025,7,160,3,4,7,0
2021-08-21,1815,203,1,103,4,21,14,1,1173,150,38,64.65,0,0,0,0,0,0,0,0.6,0.04,15,225,9,9,8,0
2021-08-22,1600,208,2,69,1,16,10,3,1073,162,40,67.09,0,0,0,0,0,0,0,0.6154,0.0507,13,217,8,11,5,0
2021-08-23,1554,225,1,81,2,15,7,2,1064,175,41,68.52,0,0,0,0,0,0,0,0.6364,0.045700000000000005,11,197,7,9,8,0
2021-08-24,1482,208,1,93,7,20,11,1,1133,162,45,76.46,0,0,0,0,0,0,0,0.6667000000000001,0.0347,6,173,4,6,3,0
2021-08-25,1534,221,2,69,5,15,7,1,1031,166,40,67.26,0,0,0,0,0,0,0,0.5,0.044199999999999996,14,226,7,10,7,0
2021-08-26,1407,196,1,92,5,9,10,3,1012,161,43,71.99,0,0,0,0,0,0,0,0.5,0.0345,10,174,5,6,3,0
2021-08-27,1759,237,0,94,5,6,6,9,1286,183,43,73.12,0,0,0,0,0,0,0,0.5714,0.044000000000000004,14,182,8,8,13,0
2021-08-28,1957,254,1,138,7,20,9,3,1496,357,45,76.49,0,0,0,0,0,0,0,0.4,0.0408,10,196,4,8,15,1
2021-08-29,1817,218,0,104,2,18,9,1,1257,203,41,69.2,0,0,0,0,0,0,0,0.6667000000000001,0.013999999999999999,3,143,2,2,12,0
2021-08-30,1575,209,1,84,6,12,7,3,1160,159,44,73.67,0,0,0,0,0,0,0,0.5,0.049100000000000005,12,163,6,8,11,0
2021-08-31,2171,280,1,116,4,6,10,11,1838,299,50,84.67,0,0,0,0,0,0,0,0.0,0.0175,2,114,0,2,16,0
2021-09-01,1262,180,1,66,1,10,9,1,923,139,43,73.14,0,0,0,0,0,0,0,0.8,0.0521,5,96,4,5,7,0
2021-09-02,1308,199,0,53,3,3,3,2,968,158,44,74.03,0,0,0,0,0,0,0,0.5,0.0652,8,92,4,6,2,0
2021-09-03,1654,184,1,78,3,7,14,3,1230,159,44,74.41,0,0,0,0,0,0,0,1.1429,0.06,7,50,8,3,8,0
2021-09-04,1424,176,0,73,1,5,4,2,931,135,39,65.44,0,0,0,0,0,0,0,0.0,0.0294,2,68,0,2,7,0
2021-09-05,1552,197,2,71,1,5,7,1,1025,147,39,66.07,0,0,0,0,0,0,0,0.6,0.0482,5,83,3,4,3,1
2021-09-06,1183,136,0,61,1,6,10,1,837,99,42,70.83,0,0,0,0,0,0,0,0.6667000000000001,0.0294,3,68,2,2,9,0
2021-09-07,1070,110,0,52,1,3,2,1,735,89,41,68.71,0,0,0,0,0,0,0,0.0,0.0462,3,65,0,3,2,0
2021-09-08,762,83,0,43,0,2,7,0,697,110,54,91.55,0,0,0,0,0,0,0,0.5,0.0208,2,48,1,1,3,0
2021-09-09,586,70,0,26,1,3,5,0,438,57,44,74.79,0,0,0,0,0,0,0,0.5,0.056600000000000004,4,53,2,3,3,0
2021-09-10,484,51,0,23,0,1,1,0,387,54,48,80.1,0,0,0,0,0,0,0,0.0,0.0,0,44,0,0,6,0
2021-09-11,569,56,1,35,1,6,2,0,420,40,44,73.84,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,3,0
2021-09-12,592,64,0,33,1,5,6,2,444,43,45,75.04,0,0,0,0,0,0,0,0.5,0.048799999999999996,2,41,1,2,0,0
2021-09-13,558,48,0,36,0,1,4,0,415,35,44,74.5,0,0,0,0,0,0,0,0.2857,0.098,7,51,2,5,1,0
2021-09-14,411,62,0,27,1,4,4,0,294,44,42,71.56,0,0,0,0,0,0,0,1.0,0.047599999999999996,2,42,2,2,2,0
2021-09-15,424,35,0,22,2,2,5,1,316,62,44,74.7,0,0,0,0,0,0,0,1.0,0.024399999999999998,1,41,1,1,4,0
2021-09-16,325,39,0,23,2,0,3,1,233,31,43,71.98,0,0,0,0,0,0,0,0.5,0.0333,2,30,1,1,1,0
2021-09-17,303,42,0,17,2,1,4,0,214,33,42,70.76,0,0,0,0,0,0,0,1.0,0.0323,1,31,1,1,0,0
2021-09-18,350,46,0,29,0,2,4,0,256,40,43,73.32,0,0,0,0,0,0,0,0.0,0.060599999999999994,2,33,0,2,1,0
2021-09-19,338,56,0,25,0,2,2,1,290,41,51,85.89,0,0,0,0,0,0,0,0.0,0.0,0,49,0,0,2,0
2021-09-20,319,45,0,19,0,3,1,0,216,32,40,67.8,0,0,0,0,0,0,0,0.0,0.0,0,36,0,0,1,0
2021-09-21,418,46,0,21,0,1,3,0,333,30,47,79.74,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,2,0
2021-09-22,497,58,0,28,2,3,2,1,350,60,42,70.51,0,0,0,0,0,0,0,1.0,0.035699999999999996,1,28,1,1,1,0
2021-09-23,476,58,0,29,1,2,3,0,291,40,36,61.14999999999999,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,2,0
2021-09-24,411,54,0,27,4,0,3,0,496,41,72,120.83,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,2,0
2021-09-25,375,38,0,31,0,1,2,1,242,27,38,64.73,0,0,0,0,0,0,0,0.5,0.060599999999999994,2,33,1,2,1,0
2021-09-26,411,43,0,32,0,1,3,0,263,25,38,63.99,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,3,0
2021-09-27,350,45,0,36,1,1,2,0,241,30,41,68.89,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,1,0
2021-09-28,317,50,0,24,0,1,5,1,249,51,47,78.66,0,0,0,0,0,0,0,0.5,0.0882,6,34,3,3,0,0
2021-09-29,312,50,0,8,0,1,3,0,321,40,61,103.08,0,0,0,0,0,0,0,0.0,0.0556,2,36,0,2,0,0
2021-09-30,246,28,0,8,0,4,2,0,194,21,47,79.08,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,1,0
2021-10-01,267,33,0,25,0,2,5,0,318,23,71,119.23000000000002,0,0,0,0,0,0,0,0.0,0.0741,2,27,0,2,2,0
2021-10-02,302,48,0,16,1,0,1,1,214,35,42,71.15,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,2,0
2021-10-03,404,65,0,28,2,2,0,0,298,46,44,73.89,0,0,0,0,0,0,0,1.0,0.0526,2,38,2,2,3,1
2021-10-04,343,46,0,25,1,2,4,0,245,33,43,71.68,0,0,0,0,0,0,0,0.75,0.1429,4,21,3,3,1,0
2021-10-05,251,31,0,21,1,1,1,0,174,22,41,69.52,0,0,0,0,0,0,0,0.0,0.035699999999999996,1,28,0,1,0,0
2021-10-06,221,25,0,19,1,1,0,0,159,23,43,71.98,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,0,0
2021-10-07,285,27,0,16,0,0,3,0,185,20,39,65.16,0,0,0,0,0,0,0,1.0,0.08,2,25,2,2,2,0
2021-10-08,383,41,0,27,2,1,3,0,227,25,35,59.51,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,0,0
2021-10-09,376,40,0,20,3,1,0,1,281,33,44,74.87,0,0,0,0,0,0,0,0.3333,0.0556,3,36,1,2,2,0
2021-10-10,505,53,1,28,1,5,2,1,417,41,49,82.7,0,0,0,0,0,0,0,0.5,0.0556,2,36,1,2,5,0
2021-10-11,394,50,0,14,0,0,3,0,251,35,38,63.91,0,0,0,0,0,0,0,0.4,0.1,5,40,2,4,0,0
2021-10-12,432,35,0,17,0,3,10,0,294,26,40,68.16,0,0,0,0,0,0,0,0.5,0.030299999999999997,2,33,1,1,2,0
2021-10-13,353,36,0,17,1,3,4,0,383,90,65,108.59999999999998,0,0,0,0,0,0,0,0.0,0.0513,2,39,0,2,1,0
2021-10-14,463,50,0,24,2,3,5,2,385,108,49,83.21,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,2,0
2021-10-15,439,36,0,24,2,1,3,1,283,30,38,64.65,0,0,0,0,0,0,0,0.0,0.087,2,23,0,2,3,0
2021-10-16,386,39,0,20,2,2,2,0,258,31,40,66.98,0,0,0,0,0,0,0,0.0,0.0,0,21,0,0,1,0
2021-10-17,380,32,0,19,1,3,3,0,253,23,40,66.76,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,1,0
2021-10-18,414,47,0,23,2,2,1,0,226,36,32,54.76,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,2,0
2021-10-19,387,41,0,15,1,1,4,1,322,30,50,83.35,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,0,0
2021-10-20,479,43,0,29,1,3,1,2,265,30,33,55.36,0,0,0,0,0,0,0,1.0,0.0625,1,16,1,1,1,0
2021-10-21,632,62,1,40,1,2,1,0,359,43,34,56.87,0,0,0,0,0,0,0,0.5,0.037000000000000005,2,27,1,1,2,0
2021-10-22,556,46,0,36,1,1,0,0,269,31,29,48.5,0,0,0,0,0,0,0,0.0,0.0,0,14,0,0,2,0
2021-10-23,701,45,0,35,2,0,1,2,316,33,27,45.1,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,3,0
2021-10-24,746,53,0,39,3,2,3,0,394,105,31,52.900000000000006,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,4,0
2021-10-25,480,46,1,36,3,1,3,1,423,35,52,88.26,0,0,0,0,0,0,0,1.0,0.087,2,23,2,2,0,0
2021-10-26,366,46,0,12,0,1,1,1,224,38,36,61.27,0,0,0,0,0,0,0,0.0,0.0667,1,15,0,1,1,0
2021-10-27,350,38,0,18,3,0,4,0,205,30,35,58.709999999999994,0,0,0,0,0,0,0,0.0,0.0,0,18,0,0,3,0
2021-10-28,474,41,0,34,0,4,1,1,311,32,39,65.76,0,0,0,0,0,0,0,0.0,0.0,0,16,0,0,1,0
2021-10-29,692,70,1,45,1,1,4,0,532,76,46,76.92,0,0,0,0,0,0,0,0.0,0.0,0,16,0,0,4,0
2021-10-30,719,61,0,56,-1,1,0,1,419,30,35,58.379999999999995,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,9,0
2021-10-31,794,73,0,61,0,2,0,0,509,44,38,64.14,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0,7,0
2021-11-01,529,45,0,31,1,4,1,1,304,34,34,57.47,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,0,0
2021-11-02,451,27,0,35,4,0,4,0,253,15,33,56.269999999999996,0,0,0,0,0,0,0,0.0,0.0,0,14,0,0,3,0
2021-11-03,575,54,0,37,2,1,0,0,346,26,36,60.18,0,0,0,0,0,0,0,0.0,0.0,0,15,0,0,1,0
2021-11-04,641,39,0,33,3,0,2,0,319,30,29,49.89,0,0,0,0,0,0,0,1.0,0.07690000000000001,1,13,1,1,4,0
2021-11-05,752,51,0,31,3,1,2,4,417,27,33,55.53,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,1,0
2021-11-06,927,97,0,54,2,6,0,0,484,56,31,52.32,0,0,0,0,0,0,0,0.3333,0.0541,3,37,1,2,6,0
2021-11-07,1429,63,1,41,5,1,1,0,413,40,17,28.92,0,0,0,0,0,0,0,0.0,0.0625,1,16,0,1,3,0
2021-11-08,2023,41,0,26,10,0,2,2,406,85,12,20.08,0,0,0,0,0,0,0,0.0,0.0,0,16,0,0,3,0
2021-11-09,715,47,0,30,3,1,3,0,320,38,26,44.79,0,0,0,0,0,0,0,0.0,0.0667,1,15,0,1,1,0
2021-11-10,337,37,1,25,0,0,3,1,234,30,41,69.46,0,0,0,0,0,0,0,0.5,0.11109999999999999,2,9,1,1,2,0
2021-11-11,423,37,0,20,0,1,2,0,364,30,51,86.22,0,0,0,0,0,0,0,0.3333,0.10529999999999999,3,19,1,2,1,0
2021-11-12,400,32,0,22,3,4,0,0,199,24,29,49.77,0,0,0,0,0,0,0,0.0,0.0526,1,19,0,1,3,0
2021-11-13,390,36,0,17,-2,1,2,1,192,20,29,49.28,0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,1,1
2021-11-14,753,42,0,30,-1,6,2,0,305,34,24,40.58,0,0,0,0,0,0,0,0.6667000000000001,0.1304,3,23,2,3,2,0
2021-11-15,478,33,0,21,0,0,2,0,213,28,26,44.6,0,0,0,0,0,0,0,1.0,0.0909,2,22,2,2,1,0
2021-11-16,363,32,0,16,0,1,1,0,196,28,32,54.2,0,0,0,0,0,0,0,0.6667000000000001,0.16670000000000001,3,18,2,3,1,0
2021-11-17,467,46,0,19,0,1,2,0,239,35,30,51.33,0,0,0,0,0,0,0,0.0,0.0588,1,17,0,1,1,0
2021-11-18,575,47,1,27,0,12,2,2,318,29,33,55.32,0,0,0,0,0,0,0,1.0,0.0345,1,29,1,1,1,0
2021-11-19,487,43,0,26,0,1,0,3,241,28,29,49.68,0,0,0,0,0,0,0,1.0,0.08,2,25,2,2,1,0
2021-11-20,445,27,0,15,0,2,1,1,213,19,28,47.88,0,0,0,0,0,0,0,1.0,0.0625,1,16,1,1,0,0
2021-11-21,375,29,0,18,1,22,3,0,294,86,47,78.43,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,2,0
2021-11-22,274,15,0,17,0,0,0,0,142,9,31,52.07000000000001,0,0,0,0,0,0,0,0.5,0.07139999999999999,2,14,1,1,1,0
2021-11-23,293,17,0,10,0,0,1,0,220,11,45,75.11,0,0,0,0,0,0,0,0.0,0.0,0,18,0,0,0,0
2021-11-24,351,26,0,11,0,1,1,0,183,23,31,52.16,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,2,0
2021-11-25,339,27,0,19,0,23,0,2,166,19,29,48.99,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,0,0
2021-11-26,437,24,0,22,0,19,2,0,239,14,32,54.87,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,0,0
