videoID,day,likes
LNxtQpa7L8c,2021-07-30,2084
LNxtQpa7L8c,2021-07-31,731
LNxtQpa7L8c,2021-08-01,477
LNxtQpa7L8c,2021-08-02,319
LNxtQpa7L8c,2021-08-03,227
LNxtQpa7L8c,2021-08-04,185
LNxtQpa7L8c,2021-08-05,140
LNxtQpa7L8c,2021-08-06,137
LNxtQpa7L8c,2021-08-07,185
LNxtQpa7L8c,2021-08-08,175
LNxtQpa7L8c,2021-08-09,170
LNxtQpa7L8c,2021-08-10,116
LNxtQpa7L8c,2021-08-11,112
LNxtQpa7L8c,2021-08-12,130
LNxtQpa7L8c,2021-08-13,104
LNxtQpa7L8c,2021-08-14,87
LNxtQpa7L8c,2021-08-15,101
LNxtQpa7L8c,2021-08-16,129
LNxtQpa7L8c,2021-08-17,98
LNxtQpa7L8c,2021-08-18,86
LNxtQpa7L8c,2021-08-19,81
LNxtQpa7L8c,2021-08-20,99
LNxtQpa7L8c,2021-08-21,103
LNxtQpa7L8c,2021-08-22,69
LNxtQpa7L8c,2021-08-23,81
LNxtQpa7L8c,2021-08-24,93
LNxtQpa7L8c,2021-08-25,69
LNxtQpa7L8c,2021-08-26,92
LNxtQpa7L8c,2021-08-27,94
LNxtQpa7L8c,2021-08-28,138
LNxtQpa7L8c,2021-08-29,104
LNxtQpa7L8c,2021-08-30,84
LNxtQpa7L8c,2021-08-31,116
LNxtQpa7L8c,2021-09-01,66
LNxtQpa7L8c,2021-09-02,53
LNxtQpa7L8c,2021-09-03,78
LNxtQpa7L8c,2021-09-04,73
LNxtQpa7L8c,2021-09-05,71
LNxtQpa7L8c,2021-09-06,61
LNxtQpa7L8c,2021-09-07,52
LNxtQpa7L8c,2021-09-08,43
LNxtQpa7L8c,2021-09-09,26
LNxtQpa7L8c,2021-09-10,23
LNxtQpa7L8c,2021-09-11,35
LNxtQpa7L8c,2021-09-12,33
LNxtQpa7L8c,2021-09-13,36
LNxtQpa7L8c,2021-09-14,27
LNxtQpa7L8c,2021-09-15,22
LNxtQpa7L8c,2021-09-16,23
LNxtQpa7L8c,2021-09-17,17
LNxtQpa7L8c,2021-09-18,29
LNxtQpa7L8c,2021-09-19,25
LNxtQpa7L8c,2021-09-20,19
LNxtQpa7L8c,2021-09-21,21
LNxtQpa7L8c,2021-09-22,28
LNxtQpa7L8c,2021-09-23,29
LNxtQpa7L8c,2021-09-24,27
LNxtQpa7L8c,2021-09-25,31
LNxtQpa7L8c,2021-09-26,32
LNxtQpa7L8c,2021-09-27,36
LNxtQpa7L8c,2021-09-28,24
LNxtQpa7L8c,2021-09-29,8
LNxtQpa7L8c,2021-09-30,8
LNxtQpa7L8c,2021-10-01,25
LNxtQpa7L8c,2021-10-02,16
LNxtQpa7L8c,2021-10-03,28
LNxtQpa7L8c,2021-10-04,25
LNxtQpa7L8c,2021-10-05,21
LNxtQpa7L8c,2021-10-06,19
LNxtQpa7L8c,2021-10-07,16
LNxtQpa7L8c,2021-10-08,27
LNxtQpa7L8c,2021-10-09,20
LNxtQpa7L8c,2021-10-10,28
LNxtQpa7L8c,2021-10-11,14
LNxtQpa7L8c,2021-10-12,17
LNxtQpa7L8c,2021-10-13,17
LNxtQpa7L8c,2021-10-14,24
LNxtQpa7L8c,2021-10-15,24
LNxtQpa7L8c,2021-10-16,20
LNxtQpa7L8c,2021-10-17,19
LNxtQpa7L8c,2021-10-18,23
LNxtQpa7L8c,2021-10-19,15
LNxtQpa7L8c,2021-10-20,29
LNxtQpa7L8c,2021-10-21,40
LNxtQpa7L8c,2021-10-22,36
LNxtQpa7L8c,2021-10-23,35
LNxtQpa7L8c,2021-10-24,39
LNxtQpa7L8c,2021-10-25,36
LNxtQpa7L8c,2021-10-26,12
LNxtQpa7L8c,2021-10-27,18
LNxtQpa7L8c,2021-10-28,34
LNxtQpa7L8c,2021-10-29,45
LNxtQpa7L8c,2021-10-30,56
LNxtQpa7L8c,2021-10-31,61
LNxtQpa7L8c,2021-11-01,31
LNxtQpa7L8c,2021-11-02,35
LNxtQpa7L8c,2021-11-03,37
LNxtQpa7L8c,2021-11-04,33
LNxtQpa7L8c,2021-11-05,31
LNxtQpa7L8c,2021-11-06,54
LNxtQpa7L8c,2021-11-07,41
LNxtQpa7L8c,2021-11-08,26
LNxtQpa7L8c,2021-11-09,30
LNxtQpa7L8c,2021-11-10,25
LNxtQpa7L8c,2021-11-11,20
LNxtQpa7L8c,2021-11-12,22
LNxtQpa7L8c,2021-11-13,17
LNxtQpa7L8c,2021-11-14,30
LNxtQpa7L8c,2021-11-15,21
LNxtQpa7L8c,2021-11-16,16
LNxtQpa7L8c,2021-11-17,19
LNxtQpa7L8c,2021-11-18,27
LNxtQpa7L8c,2021-11-19,26
LNxtQpa7L8c,2021-11-20,15
LNxtQpa7L8c,2021-11-21,18
LNxtQpa7L8c,2021-11-22,17
LNxtQpa7L8c,2021-11-23,10
LNxtQpa7L8c,2021-11-24,11
LNxtQpa7L8c,2021-11-25,19
LNxtQpa7L8c,2021-11-26,22
LNxtQpa7L8c,2021-11-27,21
LNxtQpa7L8c,2021-11-28,20
LNxtQpa7L8c,2021-11-29,18
LNxtQpa7L8c,2021-11-30,8
LNxtQpa7L8c,2021-12-01,12
LNxtQpa7L8c,2021-12-02,25
LNxtQpa7L8c,2021-12-03,18
LNxtQpa7L8c,2021-12-04,15
LNxtQpa7L8c,2021-12-05,13
LNxtQpa7L8c,2021-12-06,21
LNxtQpa7L8c,2021-12-07,27
LNxtQpa7L8c,2021-12-08,24
LNxtQpa7L8c,2021-12-09,14
LNxtQpa7L8c,2021-12-10,21
LNxtQpa7L8c,2021-12-11,21
LNxtQpa7L8c,2021-12-12,24
LNxtQpa7L8c,2021-12-13,29
LNxtQpa7L8c,2021-12-14,37
LNxtQpa7L8c,2021-12-15,33
LNxtQpa7L8c,2021-12-16,28
LNxtQpa7L8c,2021-12-17,19
LNxtQpa7L8c,2021-12-18,24
LNxtQpa7L8c,2021-12-19,23
LNxtQpa7L8c,2021-12-20,21
LNxtQpa7L8c,2021-12-21,24
LNxtQpa7L8c,2021-12-22,14
LNxtQpa7L8c,2021-12-23,12
LNxtQpa7L8c,2021-12-24,11
LNxtQpa7L8c,2021-12-25,18
LNxtQpa7L8c,2021-12-26,13
LNxtQpa7L8c,2021-12-27,11
LNxtQpa7L8c,2021-12-28,22
LNxtQpa7L8c,2021-12-29,31
LNxtQpa7L8c,2021-12-30,28
LNxtQpa7L8c,2021-12-31,37
LNxtQpa7L8c,2022-01-01,21
LNxtQpa7L8c,2022-01-02,25
LNxtQpa7L8c,2022-01-03,25
LNxtQpa7L8c,2022-01-04,24
LNxtQpa7L8c,2022-01-05,33
LNxtQpa7L8c,2022-01-06,17
LNxtQpa7L8c,2022-01-07,27
LNxtQpa7L8c,2022-01-08,26
LNxtQpa7L8c,2022-01-09,41
LNxtQpa7L8c,2022-01-10,25
LNxtQpa7L8c,2022-01-11,15
LNxtQpa7L8c,2022-01-12,14
LNxtQpa7L8c,2022-01-13,3
LNxtQpa7L8c,2022-01-14,9
LNxtQpa7L8c,2022-01-15,10
LNxtQpa7L8c,2022-01-16,4
LNxtQpa7L8c,2022-01-17,13
LNxtQpa7L8c,2022-01-18,7
LNxtQpa7L8c,2022-01-19,6
LNxtQpa7L8c,2022-01-20,6
LNxtQpa7L8c,2022-01-21,3
LNxtQpa7L8c,2022-01-22,14
LNxtQpa7L8c,2022-01-23,10
LNxtQpa7L8c,2022-01-24,5
LNxtQpa7L8c,2022-01-25,7
LNxtQpa7L8c,2022-01-26,18
LNxtQpa7L8c,2022-01-27,14
LNxtQpa7L8c,2022-01-28,16
LNxtQpa7L8c,2022-01-29,21
LNxtQpa7L8c,2022-01-30,13
LNxtQpa7L8c,2022-01-31,16
LNxtQpa7L8c,2022-02-01,21
LNxtQpa7L8c,2022-02-02,19
LNxtQpa7L8c,2022-02-03,17
LNxtQpa7L8c,2022-02-04,25
LNxtQpa7L8c,2022-02-05,34
LNxtQpa7L8c,2022-02-06,22
LNxtQpa7L8c,2022-02-07,18
LNxtQpa7L8c,2022-02-08,12
LNxtQpa7L8c,2022-02-09,12
LNxtQpa7L8c,2022-02-10,19
LNxtQpa7L8c,2022-02-11,13
LNxtQpa7L8c,2022-02-12,19
LNxtQpa7L8c,2022-02-13,17
LNxtQpa7L8c,2022-02-14,13
LNxtQpa7L8c,2022-02-15,21
LNxtQpa7L8c,2022-02-16,14
LNxtQpa7L8c,2022-02-17,10
LNxtQpa7L8c,2022-02-18,9
LNxtQpa7L8c,2022-02-19,6
LNxtQpa7L8c,2022-02-20,5
LNxtQpa7L8c,2022-02-21,7
LNxtQpa7L8c,2022-02-22,7
LNxtQpa7L8c,2022-02-23,2
LNxtQpa7L8c,2022-02-24,7
LNxtQpa7L8c,2022-02-25,5
LNxtQpa7L8c,2022-02-26,8
LNxtQpa7L8c,2022-02-27,4
LNxtQpa7L8c,2022-02-28,2
LNxtQpa7L8c,2022-03-01,1
LNxtQpa7L8c,2022-03-02,2
LNxtQpa7L8c,2022-03-03,4
LNxtQpa7L8c,2022-03-04,2
LNxtQpa7L8c,2022-03-05,-1
LNxtQpa7L8c,2022-03-06,4
LNxtQpa7L8c,2022-03-07,5
LNxtQpa7L8c,2022-03-08,3
LNxtQpa7L8c,2022-03-09,3
LNxtQpa7L8c,2022-03-10,4
LNxtQpa7L8c,2022-03-11,1
LNxtQpa7L8c,2022-03-12,3
LNxtQpa7L8c,2022-03-13,6
LNxtQpa7L8c,2022-03-14,3
