day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-08-22,12,1,0,2,0,3,0,1,114,9,570,84.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-08-23,17,1,0,0,0,0,0,1,154,11,545,80.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-08-24,161615,6926,414,4405,137,3054,401,345,948523,47157,352,52.25,0,0,0,0,0,0,0,0.2832,0.0143,632,24158,179,345,522,21
2019-08-25,186806,6592,297,3542,141,2830,557,373,878051,38706,282,41.84,0,0,0,0,0,0,0,0.2379,0.016200000000000003,744,22555,177,366,943,22
2019-08-26,54333,1688,88,964,53,975,286,186,231793,9691,255,37.98,0,0,0,0,0,0,0,0.2155,0.016,181,6010,39,96,290,9
2019-08-27,40410,1385,75,671,39,631,214,116,195738,8032,290,43.12,0,0,0,0,0,0,0,0.168,0.0102,125,5078,21,52,198,3
2019-08-28,26831,881,69,424,36,457,166,104,141080,5703,315,46.81,0,0,0,0,0,0,0,0.1368,0.0097,95,3520,13,34,132,7
2019-08-29,21335,656,31,366,19,346,128,57,115828,3832,325,48.33,0,0,0,0,0,0,0,0.2,0.008199999999999999,65,2911,13,24,110,4
2019-08-30,17718,539,24,335,21,370,96,55,94891,3325,321,47.68,0,0,0,0,0,0,0,0.15789999999999998,0.0078000000000000005,57,2449,9,19,81,4
2019-08-31,15552,460,24,273,16,265,94,37,85045,2981,328,48.68,0,0,0,0,0,0,0,0.1818,0.0076,44,2223,8,17,55,2
2019-09-01,10574,326,13,184,9,143,87,27,57489,1952,326,48.4,0,0,0,0,0,0,0,0.1316,0.0098,38,1532,5,15,52,0
2019-09-02,7374,243,9,130,3,100,101,31,39312,1518,319,47.46,0,0,0,0,0,0,0,0.1739,0.0103,23,1070,4,11,31,2
2019-09-03,4493,145,7,80,3,60,52,13,22885,905,305,45.34,0,0,0,0,0,0,0,0.0909,0.0087,11,686,1,6,17,0
2019-09-04,5261,159,4,100,3,79,56,18,26219,1064,299,44.37,0,0,0,0,0,0,0,0.24,0.018000000000000002,25,722,6,13,12,0
2019-09-05,5347,180,7,103,4,67,35,22,26638,941,298,44.35,0,0,0,0,0,0,0,0.22219999999999998,0.0103,18,773,4,8,25,0
2019-09-06,8608,169,6,106,7,79,45,32,30863,896,215,31.920000000000005,0,0,0,0,0,0,0,0.1724,0.0115,29,868,5,10,46,2
2019-09-07,12911,207,6,160,5,80,50,28,41390,1002,192,28.54,0,0,0,0,0,0,0,0.24559999999999998,0.0296,57,1049,14,31,66,3
2019-09-08,11221,229,6,137,8,77,34,19,43929,1347,234,34.85,0,0,0,0,0,0,0,0.3273,0.0241,55,1287,18,31,62,2
2019-09-09,8228,154,4,126,2,74,48,14,31062,888,226,33.61,0,0,0,0,0,0,0,0.2571,0.0227,35,837,9,19,46,1
2019-09-10,7055,196,6,98,4,53,34,16,28581,1186,243,36.06,0,0,0,0,0,0,0,0.2963,0.0183,27,765,8,14,39,2
2019-09-11,7349,174,5,106,2,73,33,13,35614,1102,290,43.14,0,0,0,0,0,0,0,0.1515,0.019,33,949,5,18,37,3
2019-09-12,7099,225,7,119,6,73,43,21,32941,1408,278,41.31,0,0,0,0,0,0,0,0.2632,0.018799999999999997,38,903,10,17,43,2
2019-09-13,6589,200,14,118,7,75,41,14,30060,1163,273,40.61,0,0,0,0,0,0,0,0.23079999999999998,0.015300000000000001,26,849,6,13,45,0
2019-09-14,7018,202,5,117,5,69,26,14,32887,1197,281,41.72,0,0,0,0,0,0,0,0.10529999999999999,0.013600000000000001,19,880,2,12,41,0
2019-09-15,6930,252,11,148,3,77,38,12,33507,1638,290,43.04,0,0,0,0,0,0,0,0.28,0.0171,25,933,7,16,35,1
2019-09-16,6002,194,10,114,6,58,35,34,29897,1198,298,44.34,0,0,0,0,0,0,0,0.17859999999999998,0.0197,28,811,5,16,38,1
2019-09-17,6197,264,8,117,9,89,30,10,33407,1731,323,47.99,0,0,0,0,0,0,0,0.2857,0.0179,35,896,10,16,40,0
2019-09-18,4646,156,1,83,5,62,39,14,24549,1034,317,47.04,0,0,0,0,0,0,0,0.22219999999999998,0.0187,27,641,6,12,35,0
2019-09-19,3682,106,3,46,4,45,28,11,19002,718,309,45.94,0,0,0,0,0,0,0,0.2143,0.0105,14,474,3,5,18,0
2019-09-20,3176,105,3,40,2,30,23,8,15828,714,299,44.37,0,0,0,0,0,0,0,0.07690000000000001,0.0097,13,411,1,4,10,0
2019-09-21,3360,80,4,48,4,38,24,8,15711,513,280,41.63,0,0,0,0,0,0,0,0.2273,0.0233,22,430,5,10,18,0
2019-09-22,3415,102,2,50,2,41,29,7,16178,633,284,42.17,0,0,0,0,0,0,0,0.2667,0.022799999999999997,15,438,4,10,19,0
2019-09-23,3316,85,1,47,2,32,26,8,15940,545,288,42.79,0,0,0,0,0,0,0,0.3125,0.022799999999999997,16,395,5,9,17,2
2019-09-24,3007,98,6,44,3,30,18,7,14188,579,283,42.0,0,0,0,0,0,0,0,0.2,0.0169,15,354,3,6,18,0
2019-09-25,3697,100,6,49,5,40,22,11,16288,665,264,39.22,0,0,0,0,0,0,0,0.2727,0.0348,22,402,6,14,25,1
2019-09-26,2986,90,5,38,0,22,16,5,14436,614,290,43.04,0,0,0,0,0,0,0,0.2857,0.0118,7,340,2,4,15,0
2019-09-27,2581,75,1,48,3,31,22,4,13124,482,305,45.27,0,0,0,0,0,0,0,0.15380000000000002,0.021099999999999997,13,332,2,7,15,1
2019-09-28,3022,92,4,59,2,27,16,11,15672,629,311,46.17,0,0,0,0,0,0,0,0.35,0.0248,20,403,7,10,15,1
2019-09-29,3285,131,2,50,3,24,15,9,17109,807,312,46.37,0,0,0,0,0,0,0,0.25,0.017,20,411,5,7,21,0
2019-09-30,2609,72,1,37,0,28,15,8,13091,503,301,44.67,0,0,0,0,0,0,0,0.0909,0.0146,11,342,1,5,16,0
2019-10-01,2534,95,2,40,3,25,14,6,13503,665,319,47.44,0,0,0,0,0,0,0,0.5,0.0088,6,339,3,3,15,2
2019-10-02,2512,73,3,42,1,23,14,6,13080,530,312,46.36,0,0,0,0,0,0,0,0.0909,0.016200000000000003,11,309,1,5,16,0
2019-10-03,3064,109,3,50,1,35,20,2,16759,712,328,48.69,0,0,0,0,0,0,0,0.0,0.0053,9,376,0,2,8,1
