videoID,day,likes
LW4PLbguuE8,2019-08-22,2
LW4PLbguuE8,2019-08-23,0
LW4PLbguuE8,2019-08-24,4405
LW4PLbguuE8,2019-08-25,3542
LW4PLbguuE8,2019-08-26,964
LW4PLbguuE8,2019-08-27,671
LW4PLbguuE8,2019-08-28,424
LW4PLbguuE8,2019-08-29,366
LW4PLbguuE8,2019-08-30,335
LW4PLbguuE8,2019-08-31,273
LW4PLbguuE8,2019-09-01,184
LW4PLbguuE8,2019-09-02,130
LW4PLbguuE8,2019-09-03,80
LW4PLbguuE8,2019-09-04,100
LW4PLbguuE8,2019-09-05,103
LW4PLbguuE8,2019-09-06,106
LW4PLbguuE8,2019-09-07,160
LW4PLbguuE8,2019-09-08,137
LW4PLbguuE8,2019-09-09,126
LW4PLbguuE8,2019-09-10,98
LW4PLbguuE8,2019-09-11,106
LW4PLbguuE8,2019-09-12,119
LW4PLbguuE8,2019-09-13,118
LW4PLbguuE8,2019-09-14,117
LW4PLbguuE8,2019-09-15,148
LW4PLbguuE8,2019-09-16,114
LW4PLbguuE8,2019-09-17,117
LW4PLbguuE8,2019-09-18,83
LW4PLbguuE8,2019-09-19,46
LW4PLbguuE8,2019-09-20,40
LW4PLbguuE8,2019-09-21,48
LW4PLbguuE8,2019-09-22,50
LW4PLbguuE8,2019-09-23,47
LW4PLbguuE8,2019-09-24,44
LW4PLbguuE8,2019-09-25,49
LW4PLbguuE8,2019-09-26,38
LW4PLbguuE8,2019-09-27,48
LW4PLbguuE8,2019-09-28,59
LW4PLbguuE8,2019-09-29,50
LW4PLbguuE8,2019-09-30,37
LW4PLbguuE8,2019-10-01,40
LW4PLbguuE8,2019-10-02,42
LW4PLbguuE8,2019-10-03,50
LW4PLbguuE8,2019-10-04,43
LW4PLbguuE8,2019-10-05,34
LW4PLbguuE8,2019-10-06,51
LW4PLbguuE8,2019-10-07,32
LW4PLbguuE8,2019-10-08,40
LW4PLbguuE8,2019-10-09,47
LW4PLbguuE8,2019-10-10,79
