day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-08-23,32149,5597,116,2375,28,2819,389,69,185392,34577,346,67.98,0,0,0,0,0,0,0,0,0,0,0,0,0,57,29
2021-08-24,43832,7116,52,2205,27,2090,719,103,248079,43419,339,66.72,0,0,0,0,0,0,0,0,0,0,0,0,0,98,27
2021-08-25,37400,5570,52,1486,18,1744,466,69,200512,32394,321,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,14
2021-08-26,23114,3421,21,917,37,1125,354,34,122081,19754,316,62.25999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,88,14
2021-08-27,22703,3459,20,802,19,1104,319,40,117938,19051,311,61.24000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2
2021-08-28,15542,2402,19,572,16,796,276,28,81392,13428,314,61.73,0,0,0,0,0,0,0,0,0,0,0,0,0,67,9
2021-08-29,13569,2226,13,442,13,585,260,29,72991,12851,322,63.41,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3
2021-08-30,13049,2097,6,486,13,551,257,13,69705,11953,320,62.970000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3
2021-08-31,9147,1483,6,324,8,401,186,14,47532,8172,311,61.260000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4
2021-09-01,9760,1711,9,305,6,406,182,12,51620,9531,317,62.35000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7
2021-09-02,7132,1155,6,241,6,272,141,15,37245,6533,313,61.56,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
2021-09-03,7353,1274,4,224,5,241,117,9,37752,6906,308,60.52000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2
2021-09-04,7351,1265,10,211,5,249,109,10,38834,7293,316,62.27,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2
2021-09-05,6218,1079,4,187,7,221,142,12,32579,6010,314,61.75999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
2021-09-06,5792,1048,6,173,8,195,110,4,30424,5795,315,61.919999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
2021-09-07,5849,990,7,183,8,199,86,10,30600,5516,313,61.67,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2
2021-09-08,5584,962,4,181,6,192,83,4,29278,5493,314,61.809999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2021-09-09,5625,947,4,205,9,220,82,1,29395,5381,313,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
2021-09-10,3329,526,2,133,3,143,78,5,17226,2931,310,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
2021-09-11,2886,449,6,106,4,108,78,3,14946,2404,310,61.04999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2021-09-12,2701,444,3,114,2,100,66,5,14528,2554,322,63.41,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2021-09-13,2088,385,1,75,1,67,64,0,11572,2285,332,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-09-14,1637,295,4,63,1,46,48,0,8933,1741,327,64.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-09-15,1525,219,0,48,0,41,48,3,8169,1321,321,63.13999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-09-16,979,147,0,30,1,24,45,0,5362,908,328,64.57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-09-17,889,165,1,43,0,33,50,0,5314,988,358,70.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021-09-18,870,125,0,30,1,34,26,2,5006,809,345,67.84,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-09-19,910,144,1,34,0,26,40,1,5018,810,330,65.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-09-20,922,131,0,36,0,33,41,1,5010,736,326,64.06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-09-21,867,143,0,48,2,36,26,3,4827,877,334,65.64,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-09-22,809,135,0,38,0,24,30,1,4734,846,351,68.98,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-09-23,647,98,0,17,0,10,25,1,3869,618,358,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-09-24,652,120,1,14,2,24,26,0,3833,643,352,69.31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
