videoID,day,likes
LtmFiX1dRMo,2019-10-10,0
LtmFiX1dRMo,2019-12-05,0
LtmFiX1dRMo,2019-12-10,0
LtmFiX1dRMo,2020-01-24,0
LtmFiX1dRMo,2020-03-23,0
LtmFiX1dRMo,2020-03-24,0
LtmFiX1dRMo,2020-04-07,0
LtmFiX1dRMo,2020-04-25,0
LtmFiX1dRMo,2020-05-01,0
LtmFiX1dRMo,2020-05-03,0
LtmFiX1dRMo,2020-05-08,0
LtmFiX1dRMo,2020-05-11,0
LtmFiX1dRMo,2020-05-13,0
LtmFiX1dRMo,2020-05-14,0
LtmFiX1dRMo,2020-05-15,0
LtmFiX1dRMo,2020-05-17,0
LtmFiX1dRMo,2020-05-18,0
LtmFiX1dRMo,2020-05-20,0
LtmFiX1dRMo,2020-05-21,0
LtmFiX1dRMo,2020-06-04,0
LtmFiX1dRMo,2020-06-12,0
LtmFiX1dRMo,2020-06-14,0
LtmFiX1dRMo,2020-06-15,0
LtmFiX1dRMo,2020-06-17,1
LtmFiX1dRMo,2020-06-23,0
LtmFiX1dRMo,2020-06-24,0
LtmFiX1dRMo,2020-06-25,0
LtmFiX1dRMo,2020-06-29,1
LtmFiX1dRMo,2020-07-14,1
LtmFiX1dRMo,2020-07-17,0
LtmFiX1dRMo,2020-07-30,0
