day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-01-14,28457,2051,182,2053,34,1399,269,113,192117,14769,405,67.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,117,21
2020-01-15,23099,1256,84,893,37,582,209,115,143998,8841,374,62.029999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,171,11
2020-01-16,7139,400,13,236,4,148,105,21,43079,2771,362,60.040000000000006,0,0,0,0,0,0,0,0.10710000000000001,0.0111,28,1898,3,21,52,3
2020-01-17,4792,257,12,152,6,91,77,21,30207,1824,378,62.72,0,0,0,0,0,0,0,0.0345,0.0118,29,1775,1,21,41,3
2020-01-18,4811,269,10,175,5,80,51,17,30786,1836,383,63.67,0,0,0,0,0,0,0,0.0,0.0096,21,1883,0,18,39,0
2020-01-19,5169,289,12,175,8,99,59,17,33170,1957,385,63.85000000000001,0,0,0,0,0,0,0,0.0,0.0103,18,1844,0,19,36,1
2020-01-20,3946,206,5,108,6,66,44,16,24488,1468,372,61.75000000000001,0,0,0,0,0,0,0,0.0,0.0105,12,1426,0,15,33,0
2020-01-21,2254,109,2,56,2,32,29,1,14611,786,388,64.5,0,0,0,0,0,0,0,0.0,0.0055000000000000005,6,911,0,5,24,0
2020-01-22,1294,94,1,39,2,26,28,9,8091,653,375,62.22,0,0,0,0,0,0,0,0.0,0.0076,4,529,0,4,15,1
2020-01-23,970,69,1,36,1,30,25,3,6122,550,378,62.81,0,0,0,0,0,0,0,0.0,0.0169,8,413,0,7,8,0
2020-01-24,869,49,0,18,2,15,16,6,5508,323,380,63.07000000000001,0,0,0,0,0,0,0,0.0,0.0055000000000000005,4,361,0,2,3,1
2020-01-25,903,47,2,39,0,16,17,2,5827,303,387,64.22,0,0,0,0,0,0,0,0.0,0.0055000000000000005,2,366,0,2,6,0
2020-01-26,900,63,1,20,2,13,16,2,6065,511,404,67.06,0,0,0,0,0,0,0,0.0,0.0051,2,389,0,2,3,0
2020-01-27,1740,165,1,56,1,17,17,3,12291,1167,423,70.29,0,0,0,0,0,0,0,0.0,0.0052,4,766,0,4,15,3
2020-01-28,2489,210,5,91,2,34,13,9,16989,1463,409,67.92,0,0,0,0,0,0,0,0.0909,0.009300000000000001,11,1183,1,11,24,0
2020-01-29,1418,102,4,51,3,19,14,6,9276,707,392,65.09,0,0,0,0,0,0,0,0.0,0.0077,5,647,0,5,6,0
2020-01-30,965,74,1,34,1,15,12,0,6271,506,389,64.67,0,0,0,0,0,0,0,0.0,0.0043,2,463,0,2,6,0
2020-01-31,811,67,1,32,0,15,8,1,5296,467,391,64.99,0,0,0,0,0,0,0,0.0,0.008,3,376,0,3,7,0
2020-02-01,724,56,1,24,2,8,19,6,4551,399,377,62.55,0,0,0,0,0,0,0,0.0,0.0064,3,313,0,2,4,0
2020-02-02,751,73,1,38,2,17,9,1,5056,519,404,67.0,0,0,0,0,0,0,0,0.0,0.003,1,336,0,1,7,1
2020-02-03,542,60,1,27,1,9,7,1,3599,388,398,66.08,0,0,0,0,0,0,0,0.0,0.004,1,247,0,1,2,0
2020-02-04,1476,131,0,34,0,20,13,0,10659,989,433,71.86,0,0,0,0,0,0,0,0.0,0.006500000000000001,5,617,0,4,3,2
2020-02-05,1612,123,1,29,0,26,7,2,11456,900,426,70.72,0,0,0,0,0,0,0,0.0,0.0014000000000000002,2,707,0,1,16,0
2020-02-06,1484,87,5,27,0,33,8,3,9371,600,378,62.83,0,0,0,0,0,0,0,0.0,0.0051,4,593,0,3,14,0
2020-02-07,1044,66,4,29,0,13,9,0,6674,452,383,63.61,0,0,0,0,0,0,0,0.0,0.0048,2,418,0,2,5,0
2020-02-08,2688,239,5,85,2,23,9,19,19292,1723,430,71.41,0,0,0,0,0,0,0,0.0,0.0025,3,812,0,2,23,1
2020-02-09,2111,154,3,69,2,22,19,5,14281,1097,405,67.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,20,0
2020-02-10,1493,119,7,64,1,20,12,5,9916,854,398,66.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9,0
2020-02-11,1106,75,4,28,0,16,11,3,7346,546,398,66.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9,2
2020-02-12,936,63,1,23,0,12,11,7,6074,457,389,64.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9,0
2020-02-13,663,51,1,12,0,12,11,1,4416,391,399,66.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2020-02-14,620,38,0,13,0,14,11,3,4078,276,394,65.45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2020-02-15,563,45,2,12,0,8,5,2,3772,370,402,66.67,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,0
2020-02-16,650,34,0,21,1,17,9,4,4274,235,394,65.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2020-02-17,619,41,0,16,1,7,4,4,4058,283,393,65.24,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0
2020-02-18,453,29,5,10,0,5,9,0,2935,193,388,64.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,0
2020-02-19,511,33,1,13,0,10,5,1,3481,232,408,67.8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,11,0
2020-02-20,420,17,0,10,0,8,9,0,2754,119,393,65.27,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-02-21,652,44,0,23,0,4,3,3,4542,346,417,69.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-02-22,848,43,1,18,0,9,2,0,5773,344,408,67.75,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,1
2020-02-23,857,54,0,26,0,6,6,2,6030,433,422,70.02,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,0
2020-02-24,677,56,0,22,0,11,5,2,4639,427,411,68.19,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2020-02-25,645,33,1,22,1,8,8,0,4127,237,383,63.67,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2020-02-26,628,42,0,14,0,8,4,0,4275,337,408,67.74,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2020-02-27,487,30,1,10,1,5,6,1,3215,221,396,65.71,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2020-02-28,433,18,1,10,0,6,3,1,2932,123,406,67.4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,1
2020-02-29,531,39,0,14,0,6,5,0,3492,275,394,65.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,1
2020-03-01,538,36,2,16,0,7,4,2,3589,282,400,66.39,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2020-03-02,564,32,0,18,0,11,6,0,3897,229,414,68.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,1
2020-03-03,417,27,0,9,1,7,8,1,2779,201,399,66.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,1
2020-03-04,400,21,0,8,0,4,6,2,2608,153,391,64.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2020-03-05,456,22,1,10,0,3,1,0,3023,138,397,65.98,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2020-03-06,448,32,0,12,0,4,4,1,2892,215,387,64.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-03-07,410,33,0,5,0,4,3,0,2684,279,392,65.14,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2020-03-08,332,20,1,6,0,5,3,2,2285,138,413,68.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-03-09,336,17,0,8,0,5,2,2,2440,136,435,72.26,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2020-03-10,260,15,0,5,0,4,3,1,1737,116,400,66.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-03-11,187,15,0,5,0,5,5,1,1252,99,401,66.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-03-12,164,11,0,4,0,1,4,0,1143,107,418,69.4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-03-13,135,7,3,7,0,2,3,0,851,61,378,62.74999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-03-14,118,5,0,1,0,1,5,0,805,39,409,67.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-03-15,122,8,0,0,0,2,2,0,776,47,381,63.31,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-03-16,98,7,2,1,0,5,5,0,571,30,349,58.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-03-17,105,9,0,3,0,1,2,1,645,75,368,61.13000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-03-18,110,9,0,4,0,3,2,1,671,59,366,60.73,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-03-19,87,2,0,2,0,1,2,0,457,11,315,52.349999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-03-20,110,8,0,0,0,0,0,0,698,63,380,63.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-03-21,100,4,0,2,0,1,3,0,595,29,357,59.28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-03-22,117,8,0,5,0,2,2,0,719,64,368,61.17,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-03-23,108,6,0,4,0,0,5,0,657,38,365,60.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-03-24,118,8,0,5,0,2,0,2,714,61,363,60.209999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
2020-03-25,111,12,0,6,0,1,2,0,746,60,403,66.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-03-26,139,12,0,2,0,1,0,1,915,95,395,65.54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-03-27,104,5,0,2,0,0,1,0,697,40,402,66.71,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-03-28,92,3,0,4,0,2,1,1,615,21,401,66.57,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-03-29,117,7,0,0,0,3,5,0,789,54,404,67.16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-03-30,101,3,0,2,0,1,2,0,624,19,370,61.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-03-31,135,11,2,4,0,1,0,0,930,93,413,68.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-04-01,129,5,0,3,0,1,0,0,792,39,368,61.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-04-02,145,9,0,2,0,6,1,1,820,55,339,56.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-03,137,8,0,0,0,0,1,1,804,57,352,58.4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-04,155,7,1,5,1,4,0,0,893,44,345,57.330000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-05,162,13,0,4,0,1,0,1,986,96,365,60.589999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-04-06,174,7,0,3,0,0,3,0,1109,58,382,63.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-04-07,193,15,0,6,0,0,4,0,1266,99,393,65.28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-04-08,235,4,1,7,0,3,4,0,1490,38,380,63.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-04-09,207,13,0,7,0,4,2,0,1351,91,391,64.95,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-04-10,233,20,0,4,0,7,4,0,1478,149,380,63.14999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-11,195,13,1,5,0,3,2,0,1267,104,389,64.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-04-12,223,15,0,1,0,4,3,0,1406,125,378,62.75999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-04-13,200,13,0,4,0,3,3,2,1312,100,393,65.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-04-14,192,14,1,2,0,2,2,0,1198,104,374,62.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-04-15,210,24,0,2,0,1,1,1,1349,183,385,63.93,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-04-16,220,8,0,4,0,6,6,0,1445,51,394,65.38,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-17,209,14,0,6,0,3,4,1,1223,107,351,58.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-18,240,15,0,8,0,3,2,0,1459,122,364,60.52000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-19,255,17,0,5,0,4,1,0,1679,126,395,65.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-04-20,175,7,1,3,0,2,2,0,1185,55,406,67.38,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-21,220,9,0,4,0,5,2,1,1429,80,389,64.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-04-22,159,6,0,4,0,3,2,0,1030,52,388,64.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-04-23,159,4,0,0,0,1,2,0,1007,39,380,63.07000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-04-24,168,15,1,6,0,1,2,1,1113,124,397,65.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-04-25,199,11,0,4,0,1,2,1,1299,100,391,64.99,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-04-26,210,16,0,9,0,3,3,0,1445,157,412,68.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-04-27,186,14,0,3,0,2,1,0,1202,99,387,64.3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-04-28,162,8,0,4,0,1,1,1,987,55,365,60.64000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2020-04-29,159,8,0,2,0,4,0,0,1141,60,430,71.45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-04-30,181,3,0,3,0,2,3,0,1037,28,343,57.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-05-01,154,5,0,9,0,4,3,0,827,38,322,53.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
2020-05-02,154,7,0,0,2,2,1,0,913,56,355,59.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
2020-05-03,193,12,1,4,0,2,4,0,1229,113,382,63.36999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-05-04,163,10,0,5,0,0,1,1,1085,85,399,66.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-05-05,135,15,2,7,0,4,2,0,859,106,381,63.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-05-06,183,9,1,7,0,1,0,3,1113,56,364,60.53000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-05-07,155,9,0,4,0,3,0,2,965,58,373,62.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-05-08,172,7,0,2,0,4,5,1,1177,59,410,68.11,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2020-05-09,189,7,0,7,0,1,5,0,1210,59,384,63.73,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2020-05-10,157,12,0,5,1,1,3,0,1089,73,416,69.07,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-05-11,181,6,1,5,0,3,1,0,1185,41,392,65.17,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
