day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-03-23,21432,1376,156,1565,20,943,206,78,78987,5303,221,76.78,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,48,12
2019-03-24,12786,700,49,648,13,336,178,33,44401,2625,208,72.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,39,0
2019-03-25,3654,208,14,165,3,92,108,8,12555,749,206,71.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,23,5
2019-03-26,1491,58,8,53,0,34,49,4,4901,225,197,68.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,4
2019-03-27,1189,57,5,47,0,22,29,2,3702,207,186,64.88,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,1
2019-03-28,1083,39,4,38,0,18,24,2,3462,152,191,66.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,2
2019-03-29,837,26,5,27,1,14,20,3,2518,87,180,62.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-03-30,582,37,0,23,0,14,12,2,1848,126,190,66.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-03-31,405,14,2,23,0,4,21,1,1287,53,190,66.24,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-01,372,18,1,18,2,6,10,3,1159,63,187,64.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-02,322,9,0,14,0,10,14,3,1100,33,205,71.23,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-03,361,17,1,13,0,4,6,0,1120,56,186,64.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-04-04,304,13,2,12,0,5,6,1,904,44,178,61.96,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-04-05,341,21,0,16,0,4,7,3,981,82,172,59.99,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-06,304,17,1,16,0,8,7,1,938,58,185,64.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,1
2019-04-07,269,13,2,14,0,6,8,1,826,47,184,64.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-08,221,11,0,10,1,5,9,1,694,39,188,65.45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-09,192,10,0,7,0,3,5,0,567,31,177,61.63000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-10,188,8,0,13,0,6,4,1,587,33,187,65.14,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-11,171,10,1,3,0,2,7,1,560,38,196,68.34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-12,135,5,0,5,0,8,6,1,395,12,175,61.04999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-13,212,12,0,7,0,4,3,1,607,35,172,59.73,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-04-14,297,9,1,9,0,3,7,0,862,31,174,60.49,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-04-15,208,8,1,8,0,6,4,1,654,29,188,65.51,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0
2019-04-16,389,15,3,8,0,13,6,1,1284,51,198,68.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-17,259,2,1,12,1,7,5,1,793,9,183,63.800000000000004,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,2,0
2019-04-18,237,12,0,9,0,4,7,0,711,44,180,62.56,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-19,210,17,0,4,0,1,2,0,574,44,164,57.00999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
2019-04-20,237,12,0,6,0,9,3,1,684,40,173,60.13,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-21,204,6,2,7,0,4,5,3,583,23,171,59.599999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-22,143,2,0,2,0,1,3,1,447,9,187,65.14,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-23,155,2,0,2,0,3,3,0,449,9,174,60.42999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-04-24,142,2,0,2,0,0,0,0,462,5,195,67.8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-25,121,2,0,4,0,2,3,0,357,9,177,61.529999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-26,129,5,1,4,0,0,2,0,413,19,192,66.73,0,0,0,0,0,0,0,0.0,0.0,1,0,0,1,1,0
2019-04-27,146,8,0,5,0,4,2,1,460,37,189,65.74,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,2,0
2019-04-28,151,3,1,5,0,4,1,0,515,13,204,71.07,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-29,152,6,0,4,0,4,2,3,473,26,186,64.83,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-30,151,8,0,6,0,1,3,0,485,23,192,67.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-01,297,16,0,5,0,1,2,0,941,65,190,66.05,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2019-05-02,290,12,2,11,0,5,2,2,880,48,182,63.28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-05-03,311,18,0,18,1,2,4,3,977,46,188,65.49,0,0,0,0,0,0,0,0.0,0.0,2,0,0,2,6,0
2019-05-04,307,15,0,12,0,1,0,1,988,54,193,67.11,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,4,0
2019-05-05,258,9,0,13,0,1,3,0,776,33,180,62.67,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,11,0
2019-05-06,286,20,0,13,0,1,0,0,887,73,186,64.68,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-05-07,319,12,1,14,0,7,4,0,1076,44,202,70.28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-08,334,9,1,9,0,0,1,1,1054,40,189,65.77,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,4,0
2019-05-09,264,11,0,4,0,5,5,1,772,46,175,60.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-05-10,244,9,0,8,0,3,1,3,704,35,173,60.18,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,2,0
2019-05-11,236,5,0,4,0,5,2,0,677,13,172,59.84,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-12,209,6,0,3,0,1,3,0,555,27,159,55.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-13,231,6,0,3,0,1,3,0,658,23,170,59.36,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0
2019-05-14,210,5,1,7,0,1,2,1,537,13,153,53.28000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-05-15,243,6,0,2,0,0,3,0,634,17,156,54.42,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-05-16,172,2,0,0,1,1,0,0,456,5,159,55.34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-17,192,3,0,1,0,1,3,2,439,12,137,47.67,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-05-18,160,5,1,6,0,2,1,0,444,11,166,57.85,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,2,0
2019-05-19,159,8,0,1,0,1,2,0,411,31,155,53.89000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-20,217,7,0,9,0,3,2,0,618,20,170,59.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-21,238,7,0,3,0,1,1,0,620,21,156,54.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-22,204,0,3,5,0,0,2,0,565,0,166,57.769999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-23,231,8,0,8,0,1,0,1,571,27,148,51.51,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-24,213,8,1,1,0,3,2,3,486,33,136,47.54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-25,204,7,0,4,0,9,1,0,530,23,155,54.14,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-05-26,224,4,0,4,0,0,1,1,532,15,142,49.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-27,237,7,0,4,1,1,1,0,632,23,160,55.559999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-28,227,10,1,8,0,2,2,1,596,17,157,54.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-05-29,240,4,0,6,0,2,0,1,609,19,152,52.93,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-30,250,7,0,5,0,0,2,2,600,15,144,50.019999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-31,188,4,1,2,0,1,1,0,462,9,147,51.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-01,215,5,0,3,0,1,0,0,505,9,140,48.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-06-02,215,7,0,3,0,1,4,2,608,27,169,58.96,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,3,0
2019-06-03,260,5,0,3,0,1,1,3,665,14,153,53.36,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-06-04,309,5,0,5,0,2,0,2,757,12,147,51.080000000000005,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-06-05,307,3,0,2,0,0,0,1,825,14,161,56.04,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-06-06,283,4,0,5,0,4,4,6,726,9,154,53.52,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,3,0
2019-06-07,250,2,0,4,0,1,1,0,617,8,148,51.46000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-08,243,5,1,1,0,2,3,0,611,23,150,52.43,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0
2019-06-09,249,9,0,4,0,2,2,0,675,40,162,56.55,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,1,0
2019-06-10,266,3,0,2,0,1,2,1,660,9,148,51.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-11,301,6,0,3,0,1,1,0,738,25,147,51.13999999999999,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,3,0
2019-06-12,282,4,2,4,0,2,0,0,737,18,156,54.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-13,284,3,0,8,0,2,3,1,731,9,154,53.68999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-14,251,4,0,3,0,2,0,1,659,24,157,54.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-15,270,8,0,1,0,0,1,3,682,15,151,52.68000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-06-16,278,7,0,3,0,8,0,0,702,24,151,52.67000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,1
2019-06-17,293,6,0,1,0,2,0,2,734,28,150,52.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-06-18,309,3,0,4,0,2,3,0,756,5,146,51.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-06-19,311,3,0,6,0,0,0,1,764,8,147,51.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-20,243,4,0,3,0,2,1,0,593,10,146,50.85000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-06-21,214,3,1,3,0,0,2,0,520,12,145,50.68,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-06-22,193,7,0,2,0,4,1,1,554,31,172,59.82999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-23,189,7,0,5,0,1,0,0,539,17,171,59.489999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-24,177,6,1,5,0,3,2,0,456,23,154,53.74,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-25,220,4,0,2,0,1,4,0,489,10,133,46.32,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0
