day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-06-06,1,0,0,0,0,4,0,0,1,0,65,7.76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2020-06-07,29476,2776,123,2329,32,1816,308,130,251056,26118,511,60.260000000000005,0,0,0,0,0,0,0,0.0644,0.0088,295,11927,19,105,131,16
2020-06-08,16976,1420,44,960,15,571,294,62,131307,13575,464,54.730000000000004,0,0,0,0,0,0,0,0.1,0.0116,180,6035,18,70,97,7
2020-06-09,8175,696,17,370,9,262,161,28,61178,6362,449,52.95000000000001,0,0,0,0,0,0,0,0.1184,0.009899999999999999,76,2718,9,27,50,2
2020-06-10,5677,427,9,255,6,150,116,19,39629,3539,418,49.39,0,0,0,0,0,0,0,0.07139999999999999,0.0043,28,1615,2,7,37,4
2020-06-11,4641,386,9,170,0,175,110,12,34694,3309,448,52.89,0,0,0,0,0,0,0,0.027000000000000003,0.0091,37,1424,1,13,37,1
2020-06-12,4261,382,5,149,9,134,62,21,30626,3343,431,50.85999999999999,0,0,0,0,0,0,0,0.0526,0.0075,38,1206,2,9,32,1
2020-06-13,4107,328,5,142,4,151,57,21,30737,2670,449,52.95000000000001,0,0,0,0,0,0,0,0.07690000000000001,0.0104,39,1149,3,12,39,5
2020-06-14,4366,412,6,133,5,119,59,17,33212,3369,456,53.82,0,0,0,0,0,0,0,0.0667,0.0077,30,1297,2,10,35,2
2020-06-15,3114,313,6,83,2,76,35,7,24291,2664,468,55.19,0,0,0,0,0,0,0,0.0435,0.008199999999999999,23,852,1,7,21,1
2020-06-16,2617,254,6,86,4,61,40,8,20413,2028,468,55.19,0,0,0,0,0,0,0,0.0833,0.0089,24,786,2,7,12,1
2020-06-17,2049,222,4,66,4,39,31,2,15934,1697,466,55.02,0,0,0,0,0,0,0,0.0526,0.0051,19,587,1,3,14,1
2020-06-18,2745,282,1,61,2,42,27,6,21547,2312,470,55.54,0,0,0,0,0,0,0,0.0,0.004,8,752,0,3,9,0
2020-06-19,2233,214,1,51,1,245,28,2,17409,1699,467,55.16,0,0,0,0,0,0,0,0.0,0.0034999999999999996,14,578,0,2,11,1
2020-06-20,2062,205,1,55,1,65,21,2,15995,1649,465,54.89000000000001,0,0,0,0,0,0,0,0.0,0.0038,8,533,0,2,8,1
2020-06-21,2021,199,3,47,2,45,17,1,15050,1526,446,52.68999999999999,0,0,0,0,0,0,0,0.0,0.0,2,530,0,0,7,0
2020-06-22,1864,210,1,43,1,23,9,3,13395,1500,431,50.85000000000001,0,0,0,0,0,0,0,0.0,0.0087,20,458,0,4,11,0
2020-06-23,1747,186,2,45,3,24,16,6,12703,1256,436,51.45000000000001,0,0,0,0,0,0,0,0.11109999999999999,0.0067,9,447,1,3,15,0
2020-06-24,1717,180,3,38,5,37,17,3,11874,1247,414,48.93,0,0,0,0,0,0,0,0.0,0.0046,14,431,0,2,6,1
2020-06-25,1019,119,1,19,1,19,22,5,7131,978,419,49.52,0,0,0,0,0,0,0,0.11109999999999999,0.0163,9,246,1,4,3,2
2020-06-26,955,95,1,26,0,18,16,4,6858,734,430,50.81,0,0,0,0,0,0,0,0.0,0.0,2,243,0,0,5,1
2020-06-27,747,79,1,25,0,17,11,3,5361,596,430,50.79,0,0,0,0,0,0,0,0.0,0.0045000000000000005,2,222,0,1,5,1
2020-06-28,639,57,1,24,0,19,17,0,4765,374,447,52.76,0,0,0,0,0,0,0,0.0,0.014499999999999999,8,207,0,3,3,0
2020-06-29,679,54,2,24,0,25,19,0,5287,505,467,55.1,0,0,0,0,0,0,0,0.1429,0.0043,7,230,1,1,0,0
2020-06-30,622,51,0,22,0,17,14,1,4509,417,434,51.29,0,0,0,0,0,0,0,0.0,0.011000000000000001,4,182,0,2,0,0
2020-07-01,611,59,2,32,0,18,16,3,4974,519,488,57.60999999999999,0,0,0,0,0,0,0,0.0,0.0,4,196,0,0,2,0
2020-07-02,641,50,0,23,0,20,12,3,4979,417,466,54.97,0,0,0,0,0,0,0,0.25,0.0199,8,201,2,4,2,0
2020-07-03,611,60,0,26,1,20,9,0,5011,508,492,58.03,0,0,0,0,0,0,0,0.0,0.0151,4,199,0,3,4,2
2020-07-04,507,54,2,21,0,11,7,2,4396,543,520,61.35,0,0,0,0,0,0,0,0.0,0.0095,12,210,0,2,2,2
2020-07-05,542,58,0,29,0,13,12,0,4926,623,545,64.31,0,0,0,0,0,0,0,0.0,0.0,0,216,0,0,4,0
2020-07-06,771,79,1,23,1,22,9,4,6174,760,480,56.67,0,0,0,0,0,0,0,0.0,0.0038,6,260,0,1,1,0
2020-07-07,631,53,1,15,0,12,13,0,5119,577,486,57.41,0,0,0,0,0,0,0,0.0,0.011899999999999999,8,253,0,3,4,0
2020-07-08,369,30,0,18,0,9,7,0,3301,314,536,63.3,0,0,0,0,0,0,0,0.1818,0.035699999999999996,11,140,2,5,3,0
