videoID,day,likes
MmGlg-tVk0E,2020-06-06,0
MmGlg-tVk0E,2020-06-07,2329
MmGlg-tVk0E,2020-06-08,960
MmGlg-tVk0E,2020-06-09,370
MmGlg-tVk0E,2020-06-10,255
MmGlg-tVk0E,2020-06-11,170
MmGlg-tVk0E,2020-06-12,149
MmGlg-tVk0E,2020-06-13,142
MmGlg-tVk0E,2020-06-14,133
MmGlg-tVk0E,2020-06-15,83
MmGlg-tVk0E,2020-06-16,86
MmGlg-tVk0E,2020-06-17,66
MmGlg-tVk0E,2020-06-18,61
MmGlg-tVk0E,2020-06-19,51
MmGlg-tVk0E,2020-06-20,55
MmGlg-tVk0E,2020-06-21,47
MmGlg-tVk0E,2020-06-22,43
MmGlg-tVk0E,2020-06-23,45
MmGlg-tVk0E,2020-06-24,38
MmGlg-tVk0E,2020-06-25,19
MmGlg-tVk0E,2020-06-26,26
MmGlg-tVk0E,2020-06-27,25
MmGlg-tVk0E,2020-06-28,24
MmGlg-tVk0E,2020-06-29,24
MmGlg-tVk0E,2020-06-30,22
MmGlg-tVk0E,2020-07-01,32
MmGlg-tVk0E,2020-07-02,23
MmGlg-tVk0E,2020-07-03,26
MmGlg-tVk0E,2020-07-04,21
MmGlg-tVk0E,2020-07-05,29
MmGlg-tVk0E,2020-07-06,23
MmGlg-tVk0E,2020-07-07,15
MmGlg-tVk0E,2020-07-08,18
MmGlg-tVk0E,2020-07-09,13
MmGlg-tVk0E,2020-07-10,4
MmGlg-tVk0E,2020-07-11,6
MmGlg-tVk0E,2020-07-12,13
MmGlg-tVk0E,2020-07-13,5
MmGlg-tVk0E,2020-07-14,4
MmGlg-tVk0E,2020-07-15,7
MmGlg-tVk0E,2020-07-16,4
MmGlg-tVk0E,2020-07-17,16
MmGlg-tVk0E,2020-07-18,11
MmGlg-tVk0E,2020-07-19,8
MmGlg-tVk0E,2020-07-20,16
MmGlg-tVk0E,2020-07-21,22
MmGlg-tVk0E,2020-07-22,12
MmGlg-tVk0E,2020-07-23,11
MmGlg-tVk0E,2020-07-24,10
MmGlg-tVk0E,2020-07-25,4
MmGlg-tVk0E,2020-07-26,9
MmGlg-tVk0E,2020-07-27,13
MmGlg-tVk0E,2020-07-28,8
MmGlg-tVk0E,2020-07-29,4
MmGlg-tVk0E,2020-07-30,5
MmGlg-tVk0E,2020-07-31,7
MmGlg-tVk0E,2020-08-01,6
MmGlg-tVk0E,2020-08-02,20
MmGlg-tVk0E,2020-08-03,9
MmGlg-tVk0E,2020-08-04,8
MmGlg-tVk0E,2020-08-05,10
MmGlg-tVk0E,2020-08-06,7
MmGlg-tVk0E,2020-08-07,9
MmGlg-tVk0E,2020-08-08,14
MmGlg-tVk0E,2020-08-09,9
MmGlg-tVk0E,2020-08-10,6
MmGlg-tVk0E,2020-08-11,7
MmGlg-tVk0E,2020-08-12,11
MmGlg-tVk0E,2020-08-13,5
MmGlg-tVk0E,2020-08-14,4
MmGlg-tVk0E,2020-08-15,12
MmGlg-tVk0E,2020-08-16,11
MmGlg-tVk0E,2020-08-17,6
MmGlg-tVk0E,2020-08-18,7
MmGlg-tVk0E,2020-08-19,5
