day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-04-06,13,0,2,1,0,2,0,0,17,0,80,33.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-07,1444,173,20,165,2,48,16,8,4224,488,175,72.84,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-08,280,34,6,30,1,5,4,2,820,100,175,72.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-09,97,15,0,10,0,8,4,1,243,34,150,62.529999999999994,0,0,0,0,0,0,0,0.0,0.0,0,38,0,0,0,0
2019-04-10,44,5,0,3,0,2,3,0,125,10,171,70.97,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,0,0
2019-04-11,31,3,0,3,0,0,0,1,99,11,193,80.21,0,0,0,0,0,0,0,0.0,0.0,0,16,0,0,0,0
2019-04-12,13,0,0,0,0,0,1,0,39,0,184,76.54,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,0,0
2019-04-13,17,0,0,0,0,0,0,0,51,0,181,75.37,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,0,0
2019-04-14,19,1,0,0,0,0,0,0,61,3,193,80.22,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,0,0
2019-04-15,25,0,0,1,0,2,0,0,74,0,178,73.9,0,0,0,0,0,0,0,0.0,0.0,0,13,0,0,0,0
2019-04-16,15,1,0,1,0,0,1,0,43,3,175,72.79,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,0,0
2019-04-17,4,0,2,1,0,0,0,0,15,0,226,94.13,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,0,0
2019-04-18,4,0,0,0,0,0,0,0,16,0,241,100.22999999999999,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0
2019-04-19,7,0,0,0,0,0,0,0,23,0,200,83.04,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-04-20,12,1,0,0,0,0,0,0,17,0,86,36.08,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-04-21,13,1,0,2,0,0,1,0,41,3,192,79.94,0,0,0,0,0,0,0,1.0,0.2,1,5,1,1,0,0
2019-04-22,12,0,0,1,0,0,0,0,44,0,220,91.49,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,0,0
2019-04-23,12,2,0,0,0,0,0,0,28,7,143,59.47,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,0,0
2019-04-24,15,0,0,0,0,0,0,0,50,0,200,83.36,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,0,0
