videoID,day,likes
N7Whg14eua4,2019-04-06,1
N7Whg14eua4,2019-04-07,165
N7Whg14eua4,2019-04-08,30
N7Whg14eua4,2019-04-09,10
N7Whg14eua4,2019-04-10,3
N7Whg14eua4,2019-04-11,3
N7Whg14eua4,2019-04-12,0
N7Whg14eua4,2019-04-13,0
N7Whg14eua4,2019-04-14,0
N7Whg14eua4,2019-04-15,1
N7Whg14eua4,2019-04-16,1
N7Whg14eua4,2019-04-17,1
N7Whg14eua4,2019-04-18,0
N7Whg14eua4,2019-04-19,0
N7Whg14eua4,2019-04-20,0
N7Whg14eua4,2019-04-21,2
N7Whg14eua4,2019-04-22,1
N7Whg14eua4,2019-04-23,0
N7Whg14eua4,2019-04-24,0
N7Whg14eua4,2019-04-25,0
N7Whg14eua4,2019-04-26,1987
N7Whg14eua4,2019-04-27,1213
N7Whg14eua4,2019-04-28,810
N7Whg14eua4,2019-04-29,855
N7Whg14eua4,2019-04-30,945
N7Whg14eua4,2019-05-01,1705
N7Whg14eua4,2019-05-02,2553
N7Whg14eua4,2019-05-03,2792
N7Whg14eua4,2019-05-04,2398
N7Whg14eua4,2019-05-05,1360
N7Whg14eua4,2019-05-06,703
N7Whg14eua4,2019-05-07,552
N7Whg14eua4,2019-05-08,412
N7Whg14eua4,2019-05-09,291
N7Whg14eua4,2019-05-10,165
N7Whg14eua4,2019-05-11,82
N7Whg14eua4,2019-05-12,52
N7Whg14eua4,2019-05-13,25
N7Whg14eua4,2019-05-14,24
N7Whg14eua4,2019-05-15,19
N7Whg14eua4,2019-05-16,25
N7Whg14eua4,2019-05-17,32
N7Whg14eua4,2019-05-18,18
N7Whg14eua4,2019-05-19,35
N7Whg14eua4,2019-05-20,26
N7Whg14eua4,2019-05-21,16
N7Whg14eua4,2019-05-22,21
N7Whg14eua4,2019-05-23,14
N7Whg14eua4,2019-05-24,9
N7Whg14eua4,2019-05-25,8
N7Whg14eua4,2019-05-26,9
N7Whg14eua4,2019-05-27,10
N7Whg14eua4,2019-05-28,3
N7Whg14eua4,2019-05-29,6
N7Whg14eua4,2019-05-30,7
N7Whg14eua4,2019-05-31,3
N7Whg14eua4,2019-06-01,2
N7Whg14eua4,2019-06-02,9
N7Whg14eua4,2019-06-03,4
N7Whg14eua4,2019-06-04,9
N7Whg14eua4,2019-06-05,2
N7Whg14eua4,2019-06-06,3
N7Whg14eua4,2019-06-07,3
N7Whg14eua4,2019-06-08,7
N7Whg14eua4,2019-06-09,4
N7Whg14eua4,2019-06-10,8
N7Whg14eua4,2019-06-11,6
N7Whg14eua4,2019-06-12,7
N7Whg14eua4,2019-06-13,11
N7Whg14eua4,2019-06-14,5
N7Whg14eua4,2019-06-15,4
N7Whg14eua4,2019-06-16,4
N7Whg14eua4,2019-06-17,9
