day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-08-10,68666,10547,174,4110,49,4358,560,211,568830,96046,497,57.13,0,0,0,0,0,0,0,0.2051,0.0040999999999999995,156,28605,32,116,156,30
2021-08-11,65841,8695,91,2634,52,2546,661,126,487966,74050,444,51.11,0,0,0,0,0,0,0,0.20879999999999999,0.0029,91,23222,19,67,191,20
2021-08-12,31533,3970,38,1380,25,1407,477,93,230482,32388,438,50.41,0,0,0,0,0,0,0,0.22219999999999998,0.0042,63,11471,14,48,113,13
2021-08-13,20930,2743,26,924,17,847,321,49,160666,23429,460,52.94,0,0,0,0,0,0,0,0.31579999999999997,0.0022,19,7351,6,16,68,7
2021-08-14,15082,2058,19,651,13,626,281,30,120382,18572,478,55.05,0,0,0,0,0,0,0,0.2353,0.0026,17,5287,4,14,69,9
2021-08-15,12438,1726,11,580,11,473,246,43,108025,16109,521,59.9,0,0,0,0,0,0,0,0.16670000000000001,0.004699999999999999,24,4459,4,21,36,6
2021-08-16,9970,1432,7,445,5,392,185,26,86337,12940,519,59.72,0,0,0,0,0,0,0,0.15380000000000002,0.0026,13,3829,2,10,39,8
2021-08-17,7610,1134,16,412,6,327,181,19,67759,11217,534,61.41,0,0,0,0,0,0,0,0.21050000000000002,0.0039000000000000003,19,3091,4,12,36,2
2021-08-18,7179,1158,9,395,5,326,139,22,63405,11087,529,60.91,0,0,0,0,0,0,0,0.0,0.001,5,3032,0,3,27,3
2021-08-19,5270,855,4,273,7,217,136,16,46037,8374,524,60.25,0,0,0,0,0,0,0,0.3333,0.0023,12,2197,4,5,21,4
2021-08-20,4025,614,3,174,3,128,88,12,34579,5556,515,59.25,0,0,0,0,0,0,0,0.5,0.0025,6,1623,3,4,12,3
2021-08-21,3611,545,3,178,1,244,85,11,30852,5111,512,58.92000000000001,0,0,0,0,0,0,0,0.0,0.0021,3,1440,0,3,15,5
2021-08-22,4374,684,8,156,5,145,91,10,37460,6526,513,59.06,0,0,0,0,0,0,0,0.1429,0.0036,7,1676,1,6,17,4
2021-08-23,3798,611,3,155,4,95,83,7,33278,5717,525,60.42999999999999,0,0,0,0,0,0,0,0.3333,0.0019,3,1606,1,3,18,1
2021-08-24,3354,495,1,135,4,114,72,4,30773,4757,550,63.28,0,0,0,0,0,0,0,0.4286,0.0034999999999999996,7,1413,3,5,17,2
2021-08-25,4034,656,1,156,1,133,73,7,36189,6150,538,61.870000000000005,0,0,0,0,0,0,0,0.3,0.0042,10,1654,3,7,13,1
2021-08-26,5339,773,7,230,8,166,74,16,46389,6871,521,59.92000000000001,0,0,0,0,0,0,0,0.4,0.0045000000000000005,15,2018,6,9,22,3
2021-08-27,7966,1134,9,281,4,292,91,15,68445,10148,515,59.260000000000005,0,0,0,0,0,0,0,0.3333,0.0014000000000000002,6,2812,2,4,34,0
2021-08-28,14866,1947,23,475,13,392,95,26,126044,17790,508,58.47,0,0,0,0,0,0,0,0.23079999999999998,0.0022,13,4936,3,11,79,2
