videoID,day,likes
NJAfP9QLkN8,2021-08-10,4110
NJAfP9QLkN8,2021-08-11,2634
NJAfP9QLkN8,2021-08-12,1380
NJAfP9QLkN8,2021-08-13,924
NJAfP9QLkN8,2021-08-14,651
NJAfP9QLkN8,2021-08-15,580
NJAfP9QLkN8,2021-08-16,445
NJAfP9QLkN8,2021-08-17,412
NJAfP9QLkN8,2021-08-18,395
NJAfP9QLkN8,2021-08-19,273
NJAfP9QLkN8,2021-08-20,174
NJAfP9QLkN8,2021-08-21,178
NJAfP9QLkN8,2021-08-22,156
NJAfP9QLkN8,2021-08-23,155
NJAfP9QLkN8,2021-08-24,135
NJAfP9QLkN8,2021-08-25,156
NJAfP9QLkN8,2021-08-26,230
NJAfP9QLkN8,2021-08-27,281
NJAfP9QLkN8,2021-08-28,475
NJAfP9QLkN8,2021-08-29,621
NJAfP9QLkN8,2021-08-30,806
NJAfP9QLkN8,2021-08-31,786
NJAfP9QLkN8,2021-09-01,635
NJAfP9QLkN8,2021-09-02,802
NJAfP9QLkN8,2021-09-03,561
NJAfP9QLkN8,2021-09-04,457
NJAfP9QLkN8,2021-09-05,371
NJAfP9QLkN8,2021-09-06,334
NJAfP9QLkN8,2021-09-07,288
NJAfP9QLkN8,2021-09-08,244
NJAfP9QLkN8,2021-09-09,189
NJAfP9QLkN8,2021-09-10,125
NJAfP9QLkN8,2021-09-11,109
NJAfP9QLkN8,2021-09-12,94
NJAfP9QLkN8,2021-09-13,77
NJAfP9QLkN8,2021-09-14,63
NJAfP9QLkN8,2021-09-15,97
NJAfP9QLkN8,2021-09-16,71
NJAfP9QLkN8,2021-09-17,58
NJAfP9QLkN8,2021-09-18,59
NJAfP9QLkN8,2021-09-19,58
NJAfP9QLkN8,2021-09-20,50
NJAfP9QLkN8,2021-09-21,37
NJAfP9QLkN8,2021-09-22,35
NJAfP9QLkN8,2021-09-23,36
NJAfP9QLkN8,2021-09-24,30
NJAfP9QLkN8,2021-09-25,37
NJAfP9QLkN8,2021-09-26,29
NJAfP9QLkN8,2021-09-27,65
NJAfP9QLkN8,2021-09-28,69
NJAfP9QLkN8,2021-09-29,78
NJAfP9QLkN8,2021-09-30,64
NJAfP9QLkN8,2021-10-01,83
NJAfP9QLkN8,2021-10-02,79
NJAfP9QLkN8,2021-10-03,115
NJAfP9QLkN8,2021-10-04,110
NJAfP9QLkN8,2021-10-05,88
NJAfP9QLkN8,2021-10-06,83
NJAfP9QLkN8,2021-10-07,57
NJAfP9QLkN8,2021-10-08,73
NJAfP9QLkN8,2021-10-09,79
NJAfP9QLkN8,2021-10-10,78
NJAfP9QLkN8,2021-10-11,117
NJAfP9QLkN8,2021-10-12,80
NJAfP9QLkN8,2021-10-13,83
NJAfP9QLkN8,2021-10-14,86
NJAfP9QLkN8,2021-10-15,95
NJAfP9QLkN8,2021-10-16,82
NJAfP9QLkN8,2021-10-17,132
NJAfP9QLkN8,2021-10-18,88
NJAfP9QLkN8,2021-10-19,83
NJAfP9QLkN8,2021-10-20,86
NJAfP9QLkN8,2021-10-21,49
NJAfP9QLkN8,2021-10-22,38
NJAfP9QLkN8,2021-10-23,37
