videoID,day,likes
NXbCNAIIAxw,2014-05-06,6
NXbCNAIIAxw,2014-05-07,0
NXbCNAIIAxw,2014-05-08,0
NXbCNAIIAxw,2014-05-09,0
NXbCNAIIAxw,2014-05-10,0
NXbCNAIIAxw,2014-05-11,0
NXbCNAIIAxw,2014-05-12,0
NXbCNAIIAxw,2014-05-13,1
NXbCNAIIAxw,2014-05-14,0
NXbCNAIIAxw,2014-05-15,0
NXbCNAIIAxw,2014-05-16,0
NXbCNAIIAxw,2014-05-17,0
NXbCNAIIAxw,2014-05-18,0
NXbCNAIIAxw,2014-05-19,0
NXbCNAIIAxw,2014-05-20,0
NXbCNAIIAxw,2014-05-21,1
NXbCNAIIAxw,2014-05-22,0
NXbCNAIIAxw,2014-05-23,0
NXbCNAIIAxw,2014-05-24,0
NXbCNAIIAxw,2014-05-25,0
NXbCNAIIAxw,2014-05-26,0
NXbCNAIIAxw,2014-05-27,1
NXbCNAIIAxw,2014-05-28,0
NXbCNAIIAxw,2014-05-29,0
NXbCNAIIAxw,2014-05-30,0
NXbCNAIIAxw,2014-05-31,0
NXbCNAIIAxw,2014-06-01,0
NXbCNAIIAxw,2014-06-02,0
NXbCNAIIAxw,2014-06-03,1
NXbCNAIIAxw,2014-06-04,0
NXbCNAIIAxw,2014-06-05,0
NXbCNAIIAxw,2014-06-06,0
NXbCNAIIAxw,2014-06-07,0
NXbCNAIIAxw,2014-06-08,0
NXbCNAIIAxw,2014-06-09,0
NXbCNAIIAxw,2014-06-10,0
NXbCNAIIAxw,2014-06-11,0
NXbCNAIIAxw,2014-06-12,0
NXbCNAIIAxw,2014-06-13,0
NXbCNAIIAxw,2014-06-14,0
NXbCNAIIAxw,2014-06-15,0
NXbCNAIIAxw,2014-06-16,0
NXbCNAIIAxw,2014-06-17,0
NXbCNAIIAxw,2014-06-18,0
NXbCNAIIAxw,2014-06-19,0
NXbCNAIIAxw,2014-06-20,0
NXbCNAIIAxw,2014-06-21,0
NXbCNAIIAxw,2014-06-22,0
NXbCNAIIAxw,2014-06-23,0
NXbCNAIIAxw,2014-06-24,1
NXbCNAIIAxw,2014-06-25,1
NXbCNAIIAxw,2014-06-26,0
NXbCNAIIAxw,2014-06-27,0
NXbCNAIIAxw,2014-06-28,0
NXbCNAIIAxw,2014-06-29,0
NXbCNAIIAxw,2014-06-30,0
NXbCNAIIAxw,2014-07-01,0
NXbCNAIIAxw,2014-07-02,0
NXbCNAIIAxw,2014-07-03,0
NXbCNAIIAxw,2014-07-04,0
NXbCNAIIAxw,2014-07-05,0
NXbCNAIIAxw,2014-07-06,0
NXbCNAIIAxw,2014-07-07,0
NXbCNAIIAxw,2014-07-08,0
NXbCNAIIAxw,2014-07-09,2
NXbCNAIIAxw,2014-07-10,0
NXbCNAIIAxw,2014-07-11,0
NXbCNAIIAxw,2014-07-12,0
NXbCNAIIAxw,2014-07-13,0
NXbCNAIIAxw,2014-07-14,0
NXbCNAIIAxw,2014-07-15,0
NXbCNAIIAxw,2014-07-16,0
NXbCNAIIAxw,2014-07-17,0
NXbCNAIIAxw,2014-07-18,0
NXbCNAIIAxw,2014-07-19,0
NXbCNAIIAxw,2014-07-20,0
NXbCNAIIAxw,2014-07-21,0
NXbCNAIIAxw,2014-07-22,0
NXbCNAIIAxw,2014-07-23,0
NXbCNAIIAxw,2014-07-24,0
NXbCNAIIAxw,2014-07-25,0
NXbCNAIIAxw,2014-07-26,0
NXbCNAIIAxw,2014-07-27,0
NXbCNAIIAxw,2014-07-28,0
NXbCNAIIAxw,2014-07-29,0
NXbCNAIIAxw,2014-07-30,0
NXbCNAIIAxw,2014-07-31,1
NXbCNAIIAxw,2014-08-01,0
NXbCNAIIAxw,2014-08-02,0
NXbCNAIIAxw,2014-08-03,1
NXbCNAIIAxw,2014-08-04,0
NXbCNAIIAxw,2014-08-05,0
NXbCNAIIAxw,2014-08-06,0
NXbCNAIIAxw,2014-08-07,0
NXbCNAIIAxw,2014-08-08,0
NXbCNAIIAxw,2014-08-09,0
NXbCNAIIAxw,2014-08-10,1
NXbCNAIIAxw,2014-08-11,1
NXbCNAIIAxw,2014-08-12,0
NXbCNAIIAxw,2014-08-13,0
NXbCNAIIAxw,2014-08-14,0
NXbCNAIIAxw,2014-08-15,0
NXbCNAIIAxw,2014-08-16,0
NXbCNAIIAxw,2014-08-17,0
NXbCNAIIAxw,2014-08-18,1
NXbCNAIIAxw,2014-08-19,0
NXbCNAIIAxw,2014-08-20,0
NXbCNAIIAxw,2014-08-21,0
NXbCNAIIAxw,2014-08-22,0
NXbCNAIIAxw,2014-08-23,0
NXbCNAIIAxw,2014-08-24,1
NXbCNAIIAxw,2014-08-25,0
NXbCNAIIAxw,2014-08-26,0
NXbCNAIIAxw,2014-08-27,0
NXbCNAIIAxw,2014-08-28,0
NXbCNAIIAxw,2014-08-29,2
NXbCNAIIAxw,2014-08-30,0
NXbCNAIIAxw,2014-08-31,0
NXbCNAIIAxw,2014-09-01,0
NXbCNAIIAxw,2014-09-02,0
NXbCNAIIAxw,2014-09-03,0
NXbCNAIIAxw,2014-09-04,0
NXbCNAIIAxw,2014-09-05,2
NXbCNAIIAxw,2014-09-06,0
NXbCNAIIAxw,2014-09-07,0
NXbCNAIIAxw,2014-09-08,1
NXbCNAIIAxw,2014-09-09,0
NXbCNAIIAxw,2014-09-10,1
NXbCNAIIAxw,2014-09-11,0
NXbCNAIIAxw,2014-09-12,0
NXbCNAIIAxw,2014-09-13,0
NXbCNAIIAxw,2014-09-14,1
NXbCNAIIAxw,2014-09-15,0
NXbCNAIIAxw,2014-09-16,2
NXbCNAIIAxw,2014-09-17,0
NXbCNAIIAxw,2014-09-18,1
NXbCNAIIAxw,2014-09-19,1
NXbCNAIIAxw,2014-09-20,2
NXbCNAIIAxw,2014-09-21,0
NXbCNAIIAxw,2014-09-22,0
NXbCNAIIAxw,2014-09-23,0
NXbCNAIIAxw,2014-09-24,0
NXbCNAIIAxw,2014-09-25,1
NXbCNAIIAxw,2014-09-26,0
NXbCNAIIAxw,2014-09-27,1
NXbCNAIIAxw,2014-09-28,1
NXbCNAIIAxw,2014-09-29,0
NXbCNAIIAxw,2014-09-30,2
NXbCNAIIAxw,2014-10-01,1
NXbCNAIIAxw,2014-10-02,1
NXbCNAIIAxw,2014-10-03,0
NXbCNAIIAxw,2014-10-04,0
NXbCNAIIAxw,2014-10-05,0
NXbCNAIIAxw,2014-10-06,1
NXbCNAIIAxw,2014-10-07,0
NXbCNAIIAxw,2014-10-08,1
NXbCNAIIAxw,2014-10-09,0
NXbCNAIIAxw,2014-10-10,0
NXbCNAIIAxw,2014-10-11,0
NXbCNAIIAxw,2014-10-12,1
NXbCNAIIAxw,2014-10-13,1
NXbCNAIIAxw,2014-10-14,1
NXbCNAIIAxw,2014-10-15,0
NXbCNAIIAxw,2014-10-16,0
NXbCNAIIAxw,2014-10-17,0
NXbCNAIIAxw,2014-10-18,1
NXbCNAIIAxw,2014-10-19,0
NXbCNAIIAxw,2014-10-20,2
NXbCNAIIAxw,2014-10-21,4
NXbCNAIIAxw,2014-10-22,5
NXbCNAIIAxw,2014-10-23,1
NXbCNAIIAxw,2014-10-24,2
NXbCNAIIAxw,2014-10-25,0
NXbCNAIIAxw,2014-10-26,0
NXbCNAIIAxw,2014-10-27,2
NXbCNAIIAxw,2014-10-28,1
NXbCNAIIAxw,2014-10-29,2
NXbCNAIIAxw,2014-10-30,2
NXbCNAIIAxw,2014-10-31,0
NXbCNAIIAxw,2014-11-01,1
NXbCNAIIAxw,2014-11-02,0
NXbCNAIIAxw,2014-11-03,0
NXbCNAIIAxw,2014-11-04,0
NXbCNAIIAxw,2014-11-05,0
NXbCNAIIAxw,2014-11-06,1
NXbCNAIIAxw,2014-11-07,2
NXbCNAIIAxw,2014-11-08,2
NXbCNAIIAxw,2014-11-09,0
NXbCNAIIAxw,2014-11-10,0
NXbCNAIIAxw,2014-11-11,0
NXbCNAIIAxw,2014-11-12,4
NXbCNAIIAxw,2014-11-13,1
NXbCNAIIAxw,2014-11-14,1
NXbCNAIIAxw,2014-11-15,2
NXbCNAIIAxw,2014-11-16,2
NXbCNAIIAxw,2014-11-17,1
NXbCNAIIAxw,2014-11-18,2
NXbCNAIIAxw,2014-11-19,1
NXbCNAIIAxw,2014-11-20,0
NXbCNAIIAxw,2014-11-21,3
NXbCNAIIAxw,2014-11-22,2
NXbCNAIIAxw,2014-11-23,1
NXbCNAIIAxw,2014-11-24,0
NXbCNAIIAxw,2014-11-25,1
NXbCNAIIAxw,2014-11-26,1
NXbCNAIIAxw,2014-11-27,0
NXbCNAIIAxw,2014-11-28,0
NXbCNAIIAxw,2014-11-29,5
NXbCNAIIAxw,2014-11-30,0
NXbCNAIIAxw,2014-12-01,6
NXbCNAIIAxw,2014-12-02,0
NXbCNAIIAxw,2014-12-03,4
NXbCNAIIAxw,2014-12-04,2
NXbCNAIIAxw,2014-12-05,2
