day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2017-06-19,3113,96,43,245,5,94,17,23,15776,505,304,64.29,0.0070999999999999995,0.171,846,846,842,6,144,0.0,0.0,0,102,0,0,0,0
2017-06-20,3510,60,12,162,1,43,13,25,15067,345,257,54.449999999999996,0.002,0.1705,1003,1003,1003,2,171,1.0,0.0227,2,88,2,2,0,0
2017-06-21,3063,84,10,148,3,57,10,11,15081,485,295,62.46000000000001,0.002,0.1689,989,989,989,2,167,0.0,0.0,0,75,0,0,0,0
2017-06-22,13613,431,35,600,7,278,25,95,74504,2371,328,69.43,0.0052,0.1959,194,194,194,1,38,0.8,0.01,5,399,4,4,0,0
2017-06-23,48749,1464,105,1696,44,977,142,266,255933,7841,315,66.6,0.0,0.2,20,20,20,0,4,0.3333,0.0,3,1091,1,0,0,0
2017-06-24,45807,1611,118,1479,65,950,167,285,239776,8651,314,66.4,0.0,0.0,0,0,0,0,0,1.0,0.0040999999999999995,4,971,4,4,0,0
2017-06-25,65359,2503,145,2034,72,1315,221,341,338528,13321,310,65.7,0.0,0.0,0,0,0,0,0,0.5,0.0052,4,767,2,4,0,0
2017-06-26,32431,984,46,821,25,645,193,200,154648,5224,286,60.49,0.0,0.0,0,0,0,0,0,0.7143,0.0246,7,284,5,7,0,0
2017-06-27,16611,547,26,517,14,375,138,116,81200,2820,293,62.01,0.0,0.0,0,0,0,0,0,1.0,0.0033,2,302,2,1,0,0
2017-06-28,8005,270,17,221,4,154,81,48,39257,1430,294,62.21,0.0,0.0,0,0,0,0,0,0.5,0.008,2,125,1,1,0,0
2017-06-29,6802,194,12,165,6,142,77,49,34078,999,300,63.55,0.0,0.0,0,0,0,0,0,0.0,0.0,0,81,0,0,0,0
2017-06-30,4285,139,11,111,2,88,65,21,20495,712,286,60.67,0.0,0.0,0,0,0,0,0,1.0,0.0182,1,55,1,1,0,0
2017-07-01,3819,119,6,109,0,53,55,24,19162,637,301,63.65,0.0,0.0,0,0,0,0,0,0.0,0.0,0,71,0,0,0,0
2017-07-02,3664,149,5,113,1,68,39,17,18310,790,299,63.39,0.0,0.0,0,0,0,0,0,0.0,0.0,0,66,0,0,0,0
2017-07-03,3464,114,6,116,4,45,51,25,17366,584,300,63.6,0.0,0.0,0,0,0,0,0,0.0,0.0106,1,94,0,1,0,0
2017-07-04,3227,128,5,110,3,42,29,21,16152,623,300,63.49,0.0,0.0,0,0,0,0,0,1.0,0.012199999999999999,1,82,1,1,0,0
2017-07-05,3473,132,6,120,2,48,35,29,17917,671,309,65.44,0.0,0.0,0,0,0,0,0,0.0,0.0,0,97,0,0,0,0
2017-07-06,3230,150,2,99,2,58,31,25,16678,801,309,65.5,0.0,0.0,0,0,0,0,0,0.0,0.0,0,76,0,0,0,0
2017-07-07,4099,165,4,133,2,73,31,33,20819,839,304,64.43,0.0,0.0,0,0,0,0,4,0.0,0.0,0,88,0,0,0,0
2017-07-08,4492,171,7,159,5,77,40,28,23529,881,314,66.45,0.0,0.0,0,0,0,0,1,0.0,0.0,0,154,0,0,0,0
2017-07-09,4519,178,6,127,5,70,20,30,23847,1015,316,66.94,0.0,0.0,0,0,0,0,1,0.0,0.0,0,91,0,0,0,0
2017-07-10,8093,250,7,249,3,96,39,49,40279,1213,298,63.129999999999995,0.0,0.0,0,0,0,0,3,0.5,0.0038,2,262,1,1,0,0
2017-07-11,5939,161,5,181,4,87,25,39,29201,818,295,62.36999999999999,0.0,0.0,0,0,0,0,2,0.0,0.0055000000000000005,1,181,0,1,0,0
2017-07-12,10629,323,8,300,7,124,31,50,51972,1622,293,62.029999999999994,0.0,0.0,0,0,0,0,5,0.0,0.0,0,380,0,0,0,0
2017-07-13,13155,271,25,335,10,171,46,76,59439,1301,271,57.32000000000001,0.0,0.0,0,0,0,0,3,1.0,0.005,3,600,3,3,0,0
2017-07-14,9875,326,26,262,5,111,33,50,45711,1590,277,58.71999999999999,0.0,0.0,0,0,0,0,3,0.0,0.0,1,349,0,0,0,0
2017-07-15,12340,460,16,311,10,168,35,60,60304,2329,293,61.99,0.0,0.0,0,0,0,0,6,0.0,0.0,0,200,0,0,0,0
2017-07-16,10182,337,12,250,6,149,55,62,47235,1558,278,58.85,0.0,0.0,0,0,0,0,3,0.0,0.0,1,185,0,0,0,0
