videoID,day,likes
NmHOj8VQvNE,2017-06-19,245
NmHOj8VQvNE,2017-06-20,162
NmHOj8VQvNE,2017-06-21,148
NmHOj8VQvNE,2017-06-22,600
NmHOj8VQvNE,2017-06-23,1696
NmHOj8VQvNE,2017-06-24,1479
NmHOj8VQvNE,2017-06-25,2034
NmHOj8VQvNE,2017-06-26,821
NmHOj8VQvNE,2017-06-27,517
NmHOj8VQvNE,2017-06-28,221
NmHOj8VQvNE,2017-06-29,165
NmHOj8VQvNE,2017-06-30,111
NmHOj8VQvNE,2017-07-01,109
NmHOj8VQvNE,2017-07-02,113
NmHOj8VQvNE,2017-07-03,116
NmHOj8VQvNE,2017-07-04,110
NmHOj8VQvNE,2017-07-05,120
NmHOj8VQvNE,2017-07-06,99
NmHOj8VQvNE,2017-07-07,133
NmHOj8VQvNE,2017-07-08,159
NmHOj8VQvNE,2017-07-09,127
NmHOj8VQvNE,2017-07-10,249
NmHOj8VQvNE,2017-07-11,181
NmHOj8VQvNE,2017-07-12,300
NmHOj8VQvNE,2017-07-13,335
NmHOj8VQvNE,2017-07-14,262
NmHOj8VQvNE,2017-07-15,311
NmHOj8VQvNE,2017-07-16,250
NmHOj8VQvNE,2017-07-17,180
NmHOj8VQvNE,2017-07-18,138
NmHOj8VQvNE,2017-07-19,118
NmHOj8VQvNE,2017-07-20,112
NmHOj8VQvNE,2017-07-21,119
NmHOj8VQvNE,2017-07-22,93
NmHOj8VQvNE,2017-07-23,150
NmHOj8VQvNE,2017-07-24,61
NmHOj8VQvNE,2017-07-25,43
NmHOj8VQvNE,2017-07-26,55
NmHOj8VQvNE,2017-07-27,50
NmHOj8VQvNE,2017-07-28,39
NmHOj8VQvNE,2017-07-29,50
NmHOj8VQvNE,2017-07-30,43
NmHOj8VQvNE,2017-07-31,48
NmHOj8VQvNE,2017-08-01,45
NmHOj8VQvNE,2017-08-02,35
NmHOj8VQvNE,2017-08-03,40
NmHOj8VQvNE,2017-08-04,134
NmHOj8VQvNE,2017-08-05,58
NmHOj8VQvNE,2017-08-06,61
NmHOj8VQvNE,2017-08-07,53
NmHOj8VQvNE,2017-08-08,55
NmHOj8VQvNE,2017-08-09,45
NmHOj8VQvNE,2017-08-10,54
NmHOj8VQvNE,2017-08-11,45
NmHOj8VQvNE,2017-08-12,30
NmHOj8VQvNE,2017-08-13,39
NmHOj8VQvNE,2017-08-14,35
NmHOj8VQvNE,2017-08-15,51
NmHOj8VQvNE,2017-08-16,26
NmHOj8VQvNE,2017-08-17,16
NmHOj8VQvNE,2017-08-18,25
NmHOj8VQvNE,2017-08-19,25
NmHOj8VQvNE,2017-08-20,21
NmHOj8VQvNE,2017-08-21,23
NmHOj8VQvNE,2017-08-22,40
NmHOj8VQvNE,2017-08-23,34
NmHOj8VQvNE,2017-08-24,31
NmHOj8VQvNE,2017-08-25,24
NmHOj8VQvNE,2017-08-26,39
NmHOj8VQvNE,2017-08-27,73
NmHOj8VQvNE,2017-08-28,80
NmHOj8VQvNE,2017-08-29,113
NmHOj8VQvNE,2017-08-30,56
NmHOj8VQvNE,2017-08-31,81
NmHOj8VQvNE,2017-09-01,49
NmHOj8VQvNE,2017-09-02,72
NmHOj8VQvNE,2017-09-03,56
NmHOj8VQvNE,2017-09-04,56
NmHOj8VQvNE,2017-09-05,41
NmHOj8VQvNE,2017-09-06,137
NmHOj8VQvNE,2017-09-07,141
NmHOj8VQvNE,2017-09-08,90
NmHOj8VQvNE,2017-09-09,102
NmHOj8VQvNE,2017-09-10,213
NmHOj8VQvNE,2017-09-11,209
NmHOj8VQvNE,2017-09-12,258
NmHOj8VQvNE,2017-09-13,268
NmHOj8VQvNE,2017-09-14,369
NmHOj8VQvNE,2017-09-15,279
NmHOj8VQvNE,2017-09-16,264
NmHOj8VQvNE,2017-09-17,283
NmHOj8VQvNE,2017-09-18,215
NmHOj8VQvNE,2017-09-19,184
NmHOj8VQvNE,2017-09-20,133
NmHOj8VQvNE,2017-09-21,85
NmHOj8VQvNE,2017-09-22,55
NmHOj8VQvNE,2017-09-23,61
NmHOj8VQvNE,2017-09-24,47
NmHOj8VQvNE,2017-09-25,40
NmHOj8VQvNE,2017-09-26,43
NmHOj8VQvNE,2017-09-27,32
NmHOj8VQvNE,2017-09-28,27
NmHOj8VQvNE,2017-09-29,31
NmHOj8VQvNE,2017-09-30,27
NmHOj8VQvNE,2017-10-01,21
NmHOj8VQvNE,2017-10-02,24
NmHOj8VQvNE,2017-10-03,22
NmHOj8VQvNE,2017-10-04,12
NmHOj8VQvNE,2017-10-05,24
NmHOj8VQvNE,2017-10-06,21
NmHOj8VQvNE,2017-10-07,33
NmHOj8VQvNE,2017-10-08,25
NmHOj8VQvNE,2017-10-09,23
NmHOj8VQvNE,2017-10-10,16
NmHOj8VQvNE,2017-10-11,18
NmHOj8VQvNE,2017-10-12,11
NmHOj8VQvNE,2017-10-13,16
NmHOj8VQvNE,2017-10-14,17
NmHOj8VQvNE,2017-10-15,23
NmHOj8VQvNE,2017-10-16,17
NmHOj8VQvNE,2017-10-17,19
NmHOj8VQvNE,2017-10-18,30
NmHOj8VQvNE,2017-10-19,14
NmHOj8VQvNE,2017-10-20,13
NmHOj8VQvNE,2017-10-21,5
NmHOj8VQvNE,2017-10-22,18
NmHOj8VQvNE,2017-10-23,14
NmHOj8VQvNE,2017-10-24,21
NmHOj8VQvNE,2017-10-25,12
NmHOj8VQvNE,2017-10-26,14
NmHOj8VQvNE,2017-10-27,12
NmHOj8VQvNE,2017-10-28,17
NmHOj8VQvNE,2017-10-29,17
NmHOj8VQvNE,2017-10-30,19
NmHOj8VQvNE,2017-10-31,15
NmHOj8VQvNE,2017-11-01,20
NmHOj8VQvNE,2017-11-02,20
NmHOj8VQvNE,2017-11-03,11
NmHOj8VQvNE,2017-11-04,35
NmHOj8VQvNE,2017-11-05,18
NmHOj8VQvNE,2017-11-06,18
NmHOj8VQvNE,2017-11-07,16
NmHOj8VQvNE,2017-11-08,22
NmHOj8VQvNE,2017-11-09,49
NmHOj8VQvNE,2017-11-10,26
NmHOj8VQvNE,2017-11-11,86
NmHOj8VQvNE,2017-11-12,57
NmHOj8VQvNE,2017-11-13,37
NmHOj8VQvNE,2017-11-14,34
NmHOj8VQvNE,2017-11-15,16
NmHOj8VQvNE,2017-11-16,22
NmHOj8VQvNE,2017-11-17,17
NmHOj8VQvNE,2017-11-18,11
NmHOj8VQvNE,2017-11-19,27
NmHOj8VQvNE,2017-11-20,21
NmHOj8VQvNE,2017-11-21,24
NmHOj8VQvNE,2017-11-22,21
NmHOj8VQvNE,2017-11-23,20
NmHOj8VQvNE,2017-11-24,21
NmHOj8VQvNE,2017-11-25,13
NmHOj8VQvNE,2017-11-26,16
NmHOj8VQvNE,2017-11-27,15
NmHOj8VQvNE,2017-11-28,18
NmHOj8VQvNE,2017-11-29,22
NmHOj8VQvNE,2017-11-30,21
NmHOj8VQvNE,2017-12-01,15
NmHOj8VQvNE,2017-12-02,18
NmHOj8VQvNE,2017-12-03,20
NmHOj8VQvNE,2017-12-04,32
NmHOj8VQvNE,2017-12-05,32
NmHOj8VQvNE,2017-12-06,24
NmHOj8VQvNE,2017-12-07,26
NmHOj8VQvNE,2017-12-08,22
NmHOj8VQvNE,2017-12-09,24
NmHOj8VQvNE,2017-12-10,37
NmHOj8VQvNE,2017-12-11,47
NmHOj8VQvNE,2017-12-12,57
NmHOj8VQvNE,2017-12-13,47
NmHOj8VQvNE,2017-12-14,50
NmHOj8VQvNE,2017-12-15,34
NmHOj8VQvNE,2017-12-16,49
NmHOj8VQvNE,2017-12-17,41
NmHOj8VQvNE,2017-12-18,43
NmHOj8VQvNE,2017-12-19,26
NmHOj8VQvNE,2017-12-20,30
NmHOj8VQvNE,2017-12-21,43
NmHOj8VQvNE,2017-12-22,34
NmHOj8VQvNE,2017-12-23,37
NmHOj8VQvNE,2017-12-24,40
NmHOj8VQvNE,2017-12-25,26
NmHOj8VQvNE,2017-12-26,17
NmHOj8VQvNE,2017-12-27,26
NmHOj8VQvNE,2017-12-28,36
NmHOj8VQvNE,2017-12-29,22
NmHOj8VQvNE,2017-12-30,33
NmHOj8VQvNE,2017-12-31,35
NmHOj8VQvNE,2018-01-01,35
NmHOj8VQvNE,2018-01-02,33
NmHOj8VQvNE,2018-01-03,32
NmHOj8VQvNE,2018-01-04,34
NmHOj8VQvNE,2018-01-05,23
NmHOj8VQvNE,2018-01-06,22
NmHOj8VQvNE,2018-01-07,29
NmHOj8VQvNE,2018-01-08,66
NmHOj8VQvNE,2018-01-09,72
NmHOj8VQvNE,2018-01-10,48
NmHOj8VQvNE,2018-01-11,51
NmHOj8VQvNE,2018-01-12,57
NmHOj8VQvNE,2018-01-13,45
NmHOj8VQvNE,2018-01-14,34
NmHOj8VQvNE,2018-01-15,28
NmHOj8VQvNE,2018-01-16,25
NmHOj8VQvNE,2018-01-17,18
NmHOj8VQvNE,2018-01-18,37
NmHOj8VQvNE,2018-01-19,28
NmHOj8VQvNE,2018-01-20,27
NmHOj8VQvNE,2018-01-21,32
NmHOj8VQvNE,2018-01-22,26
NmHOj8VQvNE,2018-01-23,28
NmHOj8VQvNE,2018-01-24,34
NmHOj8VQvNE,2018-01-25,28
NmHOj8VQvNE,2018-01-26,33
NmHOj8VQvNE,2018-01-27,25
NmHOj8VQvNE,2018-01-28,32
NmHOj8VQvNE,2018-01-29,29
NmHOj8VQvNE,2018-01-30,86
NmHOj8VQvNE,2018-01-31,84
NmHOj8VQvNE,2018-02-01,76
NmHOj8VQvNE,2018-02-02,74
NmHOj8VQvNE,2018-02-03,70
NmHOj8VQvNE,2018-02-04,42
NmHOj8VQvNE,2018-02-05,33
NmHOj8VQvNE,2018-02-06,44
