day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2015-04-17,34,0,4,13,0,5,0,3,164,0,289,44.43,0.0,0.3,17,17,10,0,3,0.0,0.0,0,0,0,0,0,0
2015-04-18,182,0,9,9,0,4,0,2,797,0,262,40.3,0.0,0.09759999999999999,68,68,41,0,4,0.0,0.0,0,0,0,0,2,0
2015-04-19,92,0,3,6,0,3,0,1,408,0,266,40.88,0.0,0.1429,30,30,21,0,3,0.0,0.0,0,0,0,0,0,0
2015-04-20,176,0,6,12,0,4,2,1,747,0,254,39.11,0.0,0.3333,71,71,51,0,17,0.0,0.0,0,0,0,0,5,0
2015-04-21,71,0,1,3,0,1,0,0,287,0,242,37.21,0.0,0.40909999999999996,30,30,22,0,9,0.0,0.0,0,0,0,0,1,0
2015-04-22,143,0,0,6,0,2,0,2,537,0,225,34.62,0.0,0.22579999999999997,41,41,31,0,7,0.0,0.0,0,0,0,0,1,0
2015-04-23,86,0,3,2,0,4,0,0,342,0,238,36.65,0.0385,0.2,26,26,15,1,3,0.0,0.0,0,0,0,0,2,0
2015-04-24,59,0,0,3,0,1,0,0,256,0,261,40.04,0.0,0.3077,19,19,13,0,4,0.0,0.0,0,0,0,0,1,0
2015-04-25,58,0,1,2,0,0,0,0,234,0,242,37.15,0.0,0.7273000000000001,17,17,11,0,8,0.0,0.0,0,0,0,0,1,0
2015-04-26,34,0,1,2,0,0,2,0,168,0,297,45.57,0.0,0.3333,11,11,6,0,2,0.0,0.0,0,0,0,0,0,0
2015-04-27,46,0,0,1,0,0,0,2,200,0,261,40.05,0.0,0.0435,32,25,23,0,1,0.0,0.0,0,6,0,0,0,0
2015-04-28,36,0,0,0,0,1,0,0,130,0,218,33.47,0.0,0.0,8,6,6,0,0,0.0,0.0,0,2,0,0,0,0
2015-04-29,29,0,0,0,0,1,0,1,153,0,316,48.57,0.0,0.0,9,7,7,0,0,0.0,0.0,0,5,0,0,0,0
2015-04-30,27,0,0,0,0,0,0,0,117,0,261,40.14,0.0,0.0,23,16,18,0,0,0.0,0.0,0,10,0,0,0,0
2015-05-01,32,0,0,0,0,0,0,0,169,0,317,48.64,0.0,0.0,7,4,6,0,0,0.0,0.0,0,2,0,0,0,0
2015-05-02,21,0,0,1,0,0,0,0,46,0,131,20.18,0.0,0.0,4,3,3,0,0,0.0,0.0,0,1,0,0,0,0
2015-05-03,30,0,1,1,0,2,0,0,160,0,320,49.19,0.0,0.0,14,7,12,0,0,0.0,0.0,0,5,0,0,0,0
2015-05-04,27,0,0,0,0,0,0,0,74,0,165,25.39,0.0,0.0,7,3,6,0,0,0.0,0.0,0,2,0,0,0,0
2015-05-05,29,0,0,0,0,0,0,0,163,0,338,51.88,0.0,0.0,7,4,6,0,0,0.0,0.0,0,3,0,0,0,0
2015-05-06,33,0,0,0,0,0,0,0,107,0,196,30.11,0.0,0.0,13,10,10,0,0,0.0,0.0,0,5,0,0,0,0
2015-05-07,40,0,1,1,0,0,1,0,182,0,273,41.98,0.0,0.0417,29,19,24,0,1,0.0,0.0,0,6,0,0,0,0
2015-05-08,41,0,0,1,0,0,0,0,159,0,233,35.79,0.0,0.0,11,6,9,0,0,0.0,0.0,0,3,0,0,0,0
2015-05-09,51,0,0,0,0,0,0,0,196,0,231,35.48,0.0,0.0,8,4,7,0,0,0.0,0.0,1,7,0,0,0,0
2015-05-10,44,0,0,0,0,0,0,0,179,0,244,37.44,0.0,0.0,22,14,17,0,0,0.0,0.0,0,8,0,0,0,0
