day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,232,10,0,4,2,2,0,1,973,29,251,49.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-02,242,7,2,2,4,8,1,0,967,44,239,47.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-03,190,8,0,3,2,1,0,2,736,18,232,46.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-04,180,6,0,7,0,3,0,2,691,28,230,45.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-05,152,0,0,1,0,0,1,0,586,0,231,45.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,114,2,2,4,0,1,0,0,645,12,339,67.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-07,74,3,0,5,0,5,4,0,382,22,310,61.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-08,88,2,4,3,0,5,1,0,426,8,291,57.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,78,1,0,3,0,0,1,0,395,8,304,60.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-10,77,3,0,3,1,0,0,0,373,17,290,57.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-11,70,1,0,0,0,0,0,0,274,0,234,46.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-12,71,5,0,3,1,5,1,0,358,32,303,60.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-13,101,11,1,3,0,4,0,1,581,67,345,68.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-14,72,5,1,1,0,0,0,0,356,17,297,58.82000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,74,4,2,3,0,1,0,0,395,17,320,63.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,85,5,1,2,0,1,1,0,380,30,268,53.18999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2019-01-17,55,5,1,4,1,0,0,0,266,26,290,57.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-18,43,4,1,3,0,0,0,1,234,17,326,64.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-19,70,2,0,6,1,0,1,0,360,12,308,61.14999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,91,7,0,1,0,2,0,1,447,29,294,58.39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-21,98,4,0,3,1,1,1,2,487,26,298,59.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-22,76,1,0,3,0,1,1,0,344,8,271,53.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,78,3,0,1,0,3,1,3,361,11,278,55.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,59,2,1,3,1,0,0,0,258,16,262,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,72,3,1,2,0,3,2,0,405,24,337,66.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-26,95,3,2,1,1,4,0,1,498,11,314,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,79,5,0,3,0,4,0,0,380,41,289,57.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,90,2,0,2,0,0,1,1,420,3,280,55.559999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,59,3,1,0,0,0,0,1,240,9,245,48.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-30,73,0,0,3,1,0,0,0,355,0,292,57.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,76,0,1,1,1,3,0,0,410,0,324,64.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,69,1,1,0,0,0,1,0,353,0,307,60.81999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-02,72,6,0,0,0,1,0,0,363,20,302,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-03,74,3,1,4,0,3,1,0,418,24,339,67.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-02-04,69,2,0,0,0,2,1,1,354,14,308,61.13000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-05,94,7,0,2,0,5,1,0,522,46,333,66.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,96,7,1,3,1,2,1,0,472,17,295,58.440000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,88,4,1,1,1,2,2,0,478,33,326,64.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,102,4,0,5,1,1,0,0,560,19,329,65.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-09,78,3,0,2,0,4,0,1,467,25,359,71.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-10,89,3,0,2,0,0,2,0,488,25,328,65.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,82,5,0,3,0,1,0,1,474,35,347,68.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-12,66,4,0,0,0,1,0,1,346,33,314,62.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-13,74,5,0,2,0,0,0,1,379,17,307,60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,78,5,1,2,0,1,0,0,400,19,307,60.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15,60,4,0,2,0,0,0,0,319,28,319,63.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-16,90,5,3,1,0,2,3,0,455,30,303,60.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-17,140,7,0,6,0,3,1,0,724,26,310,61.480000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-18,108,9,1,1,1,2,1,2,616,57,342,67.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-19,100,11,1,0,1,0,0,1,609,76,365,72.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-20,97,5,0,2,0,3,2,0,556,43,344,68.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-21,72,1,0,2,0,2,0,2,403,0,336,66.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
