day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,674,28,3,3,2,8,5,1,4432,224,394,56.13,0,0,0,0,0,0,0,0.125,0.0151,16,597,2,9,5,0
2019-01-02,754,28,1,20,0,10,3,1,4933,231,392,55.85,0,0,0,0,0,0,0,0.1,0.006,10,664,1,4,9,0
2019-01-03,792,29,0,18,0,8,3,1,5358,230,405,57.75,0,0,0,0,0,0,0,0.0625,0.013000000000000001,16,767,1,10,5,1
2019-01-04,794,32,1,31,0,8,4,1,5447,273,411,58.56,0,0,0,0,0,0,0,0.25,0.0097,12,721,3,7,5,1
2019-01-05,911,25,2,27,0,10,4,2,6112,186,402,57.269999999999996,0,0,0,0,0,0,0,0.0625,0.01,16,800,1,8,3,0
2019-01-06,923,21,1,21,2,10,1,1,6229,175,404,57.60999999999999,0,0,0,0,0,0,0,0.16670000000000001,0.0134,24,821,4,11,6,1
2019-01-07,587,19,2,20,0,6,3,0,4031,127,412,58.62,0,0,0,0,0,0,0,0.07139999999999999,0.0131,14,536,1,7,3,0
2019-01-08,620,20,0,17,0,3,3,0,4429,162,428,60.97,0,0,0,0,0,0,0,0.125,0.006999999999999999,8,570,1,4,9,0
2019-01-09,585,16,0,6,0,4,3,2,3933,128,403,57.38999999999999,0,0,0,0,0,0,0,0.0,0.0138,12,506,0,7,4,0
2019-01-10,548,19,0,8,1,4,0,3,3711,189,406,57.8,0,0,0,0,0,0,0,0.0,0.0085,8,472,0,4,0,0
2019-01-11,673,22,1,15,0,13,3,2,4238,119,377,53.75,0,0,0,0,0,0,0,0.0,0.0087,10,578,0,5,2,0
2019-01-12,661,25,1,15,2,8,4,0,4492,223,407,58.01,0,0,0,0,0,0,0,0.2,0.016200000000000003,20,617,4,10,1,0
2019-01-13,659,29,1,21,1,3,9,1,4736,238,431,61.34,0,0,0,0,0,0,0,0.2,0.0169,10,591,2,10,6,2
2019-01-14,642,33,1,26,1,8,4,1,4748,260,443,63.129999999999995,0,0,0,0,0,0,0,0.25,0.0067,8,593,2,4,5,0
2019-01-15,608,30,0,12,0,4,4,0,4441,251,438,62.34,0,0,0,0,0,0,0,0.3333,0.0053,6,561,2,3,3,0
2019-01-16,561,29,0,12,1,6,2,0,3929,243,420,59.78,0,0,0,0,0,0,0,0.2,0.0097,10,513,2,5,4,0
2019-01-17,395,19,0,8,0,6,1,2,2881,180,437,62.25000000000001,0,0,0,0,0,0,0,0.16670000000000001,0.0091,6,328,1,3,5,0
2019-01-18,404,15,2,12,0,7,1,0,3147,103,467,66.49,0,0,0,0,0,0,0,0.1875,0.024399999999999998,16,369,3,9,4,0
2019-01-19,472,24,0,11,0,6,2,1,3667,203,466,66.31,0,0,0,0,0,0,0,0.25,0.0092,8,436,2,4,1,1
2019-01-20,522,33,0,13,0,6,5,0,4038,261,464,66.03,0,0,0,0,0,0,0,0.0833,0.0102,12,489,1,5,6,0
2019-01-21,508,32,1,17,0,6,2,1,3811,252,450,64.03,0,0,0,0,0,0,0,0.125,0.0194,16,463,2,9,2,0
2019-01-22,440,24,0,17,0,2,2,0,3285,173,448,63.73,0,0,0,0,0,0,0,0.0667,0.0151,15,464,1,7,3,0
2019-01-23,329,13,0,10,0,10,2,0,2316,104,422,60.099999999999994,0,0,0,0,0,0,0,0.16670000000000001,0.0134,6,298,1,4,1,0
2019-01-24,377,20,0,11,0,5,4,1,2651,125,422,60.040000000000006,0,0,0,0,0,0,0,0.0,0.0118,8,339,0,4,1,0
2019-01-25,364,17,1,6,0,2,1,2,2517,124,415,59.03,0,0,0,0,0,0,0,0.125,0.0126,8,317,1,4,3,0
2019-01-26,341,9,0,7,0,5,6,1,2422,71,426,60.63000000000001,0,0,0,0,0,0,0,0.16670000000000001,0.0070999999999999995,6,280,1,2,2,0
2019-01-27,412,18,0,14,0,7,4,0,2876,136,418,59.58,0,0,0,0,0,0,0,0.125,0.0138,8,363,1,5,3,0
