day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-06-14,10078,795,94,974,10,861,108,74,75642,6210,450,62.99,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10
2019-06-15,5612,410,23,434,9,253,122,27,40201,3110,429,60.11,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3
2019-06-16,2886,195,8,184,5,131,78,14,21599,1553,449,62.81,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
2019-06-17,1643,128,3,111,2,56,58,12,11781,957,430,60.17,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2019-06-18,1175,87,3,57,0,27,35,7,8485,677,433,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2019-06-19,825,66,5,41,1,23,25,2,5965,564,433,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-06-20,760,60,0,43,2,24,24,0,5424,427,428,59.89,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-06-21,528,32,1,17,2,32,19,0,3628,229,412,57.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-22,510,28,1,22,0,7,16,3,3722,254,437,61.25000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-06-23,519,49,2,28,0,9,12,0,3780,410,437,61.13000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2019-06-24,508,42,0,27,0,13,21,1,3985,390,470,65.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-25,401,32,0,19,0,5,9,1,3119,275,466,65.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-26,316,26,2,9,0,7,9,1,2509,174,476,66.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-27,247,14,0,12,0,19,36,0,1861,107,452,63.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-28,337,26,1,13,0,5,7,3,2636,166,469,65.66,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-29,278,24,1,11,0,6,14,3,2262,197,488,68.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
