videoID,day,likes
P9ZiUEuUeHE,2019-06-14,974
P9ZiUEuUeHE,2019-06-15,434
P9ZiUEuUeHE,2019-06-16,184
P9ZiUEuUeHE,2019-06-17,111
P9ZiUEuUeHE,2019-06-18,57
P9ZiUEuUeHE,2019-06-19,41
P9ZiUEuUeHE,2019-06-20,43
P9ZiUEuUeHE,2019-06-21,17
P9ZiUEuUeHE,2019-06-22,22
P9ZiUEuUeHE,2019-06-23,28
P9ZiUEuUeHE,2019-06-24,27
P9ZiUEuUeHE,2019-06-25,19
P9ZiUEuUeHE,2019-06-26,9
P9ZiUEuUeHE,2019-06-27,12
P9ZiUEuUeHE,2019-06-28,13
P9ZiUEuUeHE,2019-06-29,11
P9ZiUEuUeHE,2019-06-30,12
P9ZiUEuUeHE,2019-07-01,13
P9ZiUEuUeHE,2019-07-02,10
P9ZiUEuUeHE,2019-07-03,9
P9ZiUEuUeHE,2019-07-04,5
P9ZiUEuUeHE,2019-07-05,6
P9ZiUEuUeHE,2019-07-06,13
P9ZiUEuUeHE,2019-07-07,14
P9ZiUEuUeHE,2019-07-08,19
P9ZiUEuUeHE,2019-07-09,12
P9ZiUEuUeHE,2019-07-10,18
P9ZiUEuUeHE,2019-07-11,16
P9ZiUEuUeHE,2019-07-12,17
P9ZiUEuUeHE,2019-07-13,16
P9ZiUEuUeHE,2019-07-14,20
P9ZiUEuUeHE,2019-07-15,20
P9ZiUEuUeHE,2019-07-16,18
P9ZiUEuUeHE,2019-07-17,19
P9ZiUEuUeHE,2019-07-18,10
P9ZiUEuUeHE,2019-07-19,4
P9ZiUEuUeHE,2019-07-20,17
P9ZiUEuUeHE,2019-07-21,11
P9ZiUEuUeHE,2019-07-22,6
P9ZiUEuUeHE,2019-07-23,7
P9ZiUEuUeHE,2019-07-24,10
P9ZiUEuUeHE,2019-07-25,7
P9ZiUEuUeHE,2019-07-26,7
P9ZiUEuUeHE,2019-07-27,5
P9ZiUEuUeHE,2019-07-28,4
P9ZiUEuUeHE,2019-07-29,4
