day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-10-14,37724,6008,110,3468,17,3136,483,187,254071,44086,404,63.84000000000001,0,0,0,0,0,0,0,0.1649,0.002,97,20312,16,41,139,24
2021-10-15,24532,3741,62,1735,10,1005,472,119,154145,26619,377,59.56,0,0,0,0,0,0,0,0.1061,0.0027,66,11929,7,32,96,11
2021-10-16,23794,3723,42,1403,14,768,296,85,136048,23192,343,54.2,0,0,0,0,0,0,0,0.1148,0.0026,61,10477,7,27,136,8
2021-10-17,27591,4157,41,1561,24,963,326,100,161305,27170,350,55.42,0,0,0,0,0,0,0,0.1321,0.0017000000000000001,53,12533,7,21,215,10
2021-10-18,17921,2453,33,907,19,686,303,46,101334,15927,339,53.6,0,0,0,0,0,0,0,0.22579999999999997,0.0024,31,5949,7,14,124,10
2021-10-19,13479,1803,12,680,13,471,182,38,74960,11609,333,52.71,0,0,0,0,0,0,0,0.0625,0.0024,16,3403,1,8,100,6
2021-10-20,12592,1564,17,581,12,398,159,41,65515,9833,312,49.32,0,0,0,0,0,0,0,0.16670000000000001,0.0007000000000000001,12,2822,2,2,61,11
2021-10-21,9078,1224,15,393,14,343,117,24,46617,7332,308,48.68,0,0,0,0,0,0,0,0.16670000000000001,0.0025,12,1968,2,5,46,6
2021-10-22,4582,640,7,206,9,162,87,22,24793,4228,324,51.29,0,0,0,0,0,0,0,0.0,0.0,0,1049,0,0,33,5
2021-10-23,6946,979,7,346,8,332,107,22,38824,6241,335,52.98,0,0,0,0,0,0,0,0.0,0.0006,4,1615,0,1,33,7
2021-10-24,8511,1356,16,432,3,419,103,33,49456,9319,348,55.08,0,0,0,0,0,0,0,0.0,0.0014000000000000002,6,2073,0,3,39,1
2021-10-25,6111,987,8,316,7,295,113,23,35425,6749,347,54.949999999999996,0,0,0,0,0,0,0,0.1818,0.0026,11,1560,2,4,52,3
2021-10-26,4323,755,4,234,4,200,101,16,25885,4928,359,56.76,0,0,0,0,0,0,0,0.16670000000000001,0.0024,6,1266,1,3,50,0
2021-10-27,3556,600,2,181,4,165,63,19,20824,3813,351,55.50999999999999,0,0,0,0,0,0,0,0.0,0.0022,2,912,0,2,43,3
2021-10-28,3169,518,1,165,2,124,65,12,18665,3329,353,55.83,0,0,0,0,0,0,0,0.0,0.0,0,921,0,0,15,0
2021-10-29,2178,352,5,104,3,86,53,6,12766,2230,351,55.559999999999995,0,0,0,0,0,0,0,0.0,0.0,0,611,0,0,21,1
2021-10-30,1585,280,2,63,0,61,60,0,9680,1833,366,57.89,0,0,0,0,0,0,0,0.0,0.002,2,499,0,1,13,1
2021-10-31,1253,215,2,52,1,25,47,3,7823,1506,374,59.18,0,0,0,0,0,0,0,0.2857,0.0129,7,387,2,5,20,0
2021-11-01,1389,225,2,65,1,47,49,6,8616,1374,372,58.8,0,0,0,0,0,0,0,0.1429,0.0068000000000000005,7,439,1,3,24,0
2021-11-02,1231,165,2,47,1,43,40,5,7472,1098,364,57.54,0,0,0,0,0,0,0,0.0,0.0,0,399,0,0,12,0
2021-11-03,3115,512,1,125,1,97,54,8,17701,3127,340,53.86,0,0,0,0,0,0,0,0.0,0.0034000000000000002,2,890,0,3,28,0
2021-11-04,5530,1019,2,169,5,181,61,1,30565,6375,331,52.39,0,0,0,0,0,0,0,0.25,0.0013,4,1575,1,2,61,0
2021-11-05,4236,723,2,126,1,155,52,2,22775,4245,322,50.96000000000001,0,0,0,0,0,0,0,0.0,0.0,2,1169,0,0,46,1
2021-11-06,6449,1081,6,181,4,221,56,4,34269,6222,318,50.36999999999999,0,0,0,0,0,0,0,0.375,0.0024,8,1657,3,4,67,1
2021-11-07,5410,916,3,164,3,181,51,7,30354,5483,336,53.18000000000001,0,0,0,0,0,0,0,0.4,0.0019,5,1601,2,3,45,1
2021-11-08,3397,567,2,118,2,90,51,3,19064,3528,336,53.2,0,0,0,0,0,0,0,0.0,0.0,0,973,0,0,32,1
2021-11-09,3021,534,3,97,2,88,53,5,17123,3184,340,53.73,0,0,0,0,0,0,0,0.5,0.0024,4,848,2,2,38,1
2021-11-10,3037,503,2,108,-1,82,35,10,17805,3201,351,55.57,0,0,0,0,0,0,0,0.0,0.0011,2,919,0,1,37,2
2021-11-11,2857,477,1,103,1,94,27,9,15764,2932,331,52.300000000000004,0,0,0,0,0,0,0,0.25,0.004,4,748,1,3,37,0
2021-11-12,1932,278,1,57,2,56,34,0,10760,1761,334,52.790000000000006,0,0,0,0,0,0,0,0.0,0.0,0,454,0,0,22,0
2021-11-13,2975,462,1,88,0,79,32,7,16365,2877,330,52.14,0,0,0,0,0,0,0,0.1818,0.0048,11,839,2,4,45,2
2021-11-14,2850,505,1,78,1,94,32,6,15959,3035,335,53.07999999999999,0,0,0,0,0,0,0,0.0,0.0,0,724,0,0,29,0
2021-11-15,2163,396,0,82,0,56,40,2,12275,2420,340,53.79999999999999,0,0,0,0,0,0,0,0.0,0.0,0,630,0,0,25,0
2021-11-16,1657,280,1,49,0,51,32,5,9501,1756,344,54.35,0,0,0,0,0,0,0,0.0,0.0,0,446,0,0,19,1
2021-11-17,1264,212,0,46,1,32,29,3,7512,1311,356,56.34,0,0,0,0,0,0,0,0.0,0.0,2,362,0,0,15,1
2021-11-18,1995,336,0,92,0,40,25,2,11460,2083,344,54.449999999999996,0,0,0,0,0,0,0,0.0,0.0037,2,543,0,2,26,0
2021-11-19,1769,315,0,55,0,51,20,2,9665,1853,327,51.790000000000006,0,0,0,0,0,0,0,0.0,0.0,0,452,0,0,16,0
2021-11-20,1333,259,0,35,1,33,22,0,7239,1531,325,51.47999999999999,0,0,0,0,0,0,0,0.0,0.0,0,296,0,0,16,3
2021-11-21,1066,181,0,33,0,52,34,0,6169,1149,347,54.85,0,0,0,0,0,0,0,0.0,0.0,0,280,0,0,12,0
2021-11-22,757,145,0,21,0,19,18,1,4679,932,370,58.599999999999994,0,0,0,0,0,0,0,0.5,0.0040999999999999995,2,245,1,1,7,0
