day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-07-18,5,0,1,0,0,2,0,1,23,0,284,55.50000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19,5,0,0,0,0,0,0,0,33,0,407,79.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20,17464,1290,177,1574,58,1256,213,87,101949,7885,350,68.28,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23
2019-07-21,4905,413,38,350,7,234,139,31,28728,2496,351,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5
2019-07-22,2943,202,15,203,6,128,75,21,16906,1211,344,67.19,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2019-07-23,2531,162,9,134,2,154,64,17,14459,978,342,66.82,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
2019-07-24,2595,156,17,132,6,112,48,13,14041,978,324,63.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2019-07-25,3415,170,8,119,6,163,46,17,16756,1020,294,57.38999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2
2019-07-26,3062,147,8,92,11,148,43,26,14019,823,274,53.55,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
2019-07-27,1608,101,13,64,1,57,23,8,8364,594,312,60.84,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2019-07-28,1254,87,4,57,2,52,22,7,6752,471,323,62.97999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-07-29,1086,76,3,36,1,50,27,1,5810,442,321,62.580000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2019-07-30,761,65,1,31,1,26,25,5,4322,400,340,66.43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-07-31,641,53,2,32,2,22,13,6,3659,306,342,66.77,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-01,568,48,5,37,0,19,12,4,3212,310,339,66.16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-08-02,521,36,0,24,1,18,16,4,2914,249,335,65.43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-08-03,680,53,4,36,2,16,8,1,3878,302,342,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-08-04,728,55,2,40,0,20,14,4,4357,327,359,70.01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-08-05,464,30,1,25,2,16,14,0,2935,200,379,73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2019-08-06,644,60,3,26,2,25,11,3,3551,363,330,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2019-08-07,653,54,4,37,0,21,11,2,3903,305,358,69.92,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2019-08-08,751,69,3,34,0,29,12,2,4170,407,333,64.95,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-08-09,588,46,1,19,2,20,17,3,3323,250,339,66.11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-08-10,659,52,2,23,2,22,12,7,3516,290,320,62.41,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
