videoID,day,likes
Rl79BRc8zdk,2019-07-18,0
Rl79BRc8zdk,2019-07-19,0
Rl79BRc8zdk,2019-07-20,1574
Rl79BRc8zdk,2019-07-21,350
Rl79BRc8zdk,2019-07-22,203
Rl79BRc8zdk,2019-07-23,134
Rl79BRc8zdk,2019-07-24,132
Rl79BRc8zdk,2019-07-25,119
Rl79BRc8zdk,2019-07-26,92
Rl79BRc8zdk,2019-07-27,64
Rl79BRc8zdk,2019-07-28,57
Rl79BRc8zdk,2019-07-29,36
Rl79BRc8zdk,2019-07-30,31
Rl79BRc8zdk,2019-07-31,32
Rl79BRc8zdk,2019-08-01,37
Rl79BRc8zdk,2019-08-02,24
Rl79BRc8zdk,2019-08-03,36
Rl79BRc8zdk,2019-08-04,40
Rl79BRc8zdk,2019-08-05,25
Rl79BRc8zdk,2019-08-06,26
Rl79BRc8zdk,2019-08-07,37
Rl79BRc8zdk,2019-08-08,34
Rl79BRc8zdk,2019-08-09,19
Rl79BRc8zdk,2019-08-10,23
Rl79BRc8zdk,2019-08-11,32
Rl79BRc8zdk,2019-08-12,29
Rl79BRc8zdk,2019-08-13,38
Rl79BRc8zdk,2019-08-14,21
Rl79BRc8zdk,2019-08-15,36
Rl79BRc8zdk,2019-08-16,39
Rl79BRc8zdk,2019-08-17,28
Rl79BRc8zdk,2019-08-18,24
Rl79BRc8zdk,2019-08-19,17
Rl79BRc8zdk,2019-08-20,10
Rl79BRc8zdk,2019-08-21,10
Rl79BRc8zdk,2019-08-22,12
Rl79BRc8zdk,2019-08-23,13
Rl79BRc8zdk,2019-08-24,19
Rl79BRc8zdk,2019-08-25,12
Rl79BRc8zdk,2019-08-26,8
Rl79BRc8zdk,2019-08-27,10
Rl79BRc8zdk,2019-08-28,6
Rl79BRc8zdk,2019-08-29,11
Rl79BRc8zdk,2019-08-30,12
Rl79BRc8zdk,2019-08-31,15
Rl79BRc8zdk,2019-09-01,9
Rl79BRc8zdk,2019-09-02,7
Rl79BRc8zdk,2019-09-03,8
Rl79BRc8zdk,2019-09-04,6
Rl79BRc8zdk,2019-09-05,14
Rl79BRc8zdk,2019-09-06,16
Rl79BRc8zdk,2019-09-07,18
Rl79BRc8zdk,2019-09-08,22
Rl79BRc8zdk,2019-09-09,16
Rl79BRc8zdk,2019-09-10,13
Rl79BRc8zdk,2019-09-11,22
Rl79BRc8zdk,2019-09-12,36
Rl79BRc8zdk,2019-09-13,28
Rl79BRc8zdk,2019-09-14,43
Rl79BRc8zdk,2019-09-15,93
Rl79BRc8zdk,2019-09-16,111
Rl79BRc8zdk,2019-09-17,123
Rl79BRc8zdk,2019-09-18,131
Rl79BRc8zdk,2019-09-19,74
Rl79BRc8zdk,2019-09-20,51
Rl79BRc8zdk,2019-09-21,67
Rl79BRc8zdk,2019-09-22,84
Rl79BRc8zdk,2019-09-23,54
Rl79BRc8zdk,2019-09-24,95
Rl79BRc8zdk,2019-09-25,75
Rl79BRc8zdk,2019-09-26,92
Rl79BRc8zdk,2019-09-27,65
Rl79BRc8zdk,2019-09-28,59
Rl79BRc8zdk,2019-09-29,107
Rl79BRc8zdk,2019-09-30,109
Rl79BRc8zdk,2019-10-01,97
Rl79BRc8zdk,2019-10-02,93
Rl79BRc8zdk,2019-10-03,81
Rl79BRc8zdk,2019-10-04,80
Rl79BRc8zdk,2019-10-05,61
Rl79BRc8zdk,2019-10-06,59
Rl79BRc8zdk,2019-10-07,64
Rl79BRc8zdk,2019-10-08,72
Rl79BRc8zdk,2019-10-09,57
Rl79BRc8zdk,2019-10-10,35
Rl79BRc8zdk,2019-10-11,31
Rl79BRc8zdk,2019-10-12,20
Rl79BRc8zdk,2019-10-13,25
Rl79BRc8zdk,2019-10-14,29
Rl79BRc8zdk,2019-10-15,28
Rl79BRc8zdk,2019-10-16,19
Rl79BRc8zdk,2019-10-17,14
Rl79BRc8zdk,2019-10-18,12
Rl79BRc8zdk,2019-10-19,23
Rl79BRc8zdk,2019-10-20,36
Rl79BRc8zdk,2019-10-21,36
Rl79BRc8zdk,2019-10-22,33
Rl79BRc8zdk,2019-10-23,19
Rl79BRc8zdk,2019-10-24,20
Rl79BRc8zdk,2019-10-25,11
Rl79BRc8zdk,2019-10-26,22
Rl79BRc8zdk,2019-10-27,15
Rl79BRc8zdk,2019-10-28,9
Rl79BRc8zdk,2019-10-29,15
Rl79BRc8zdk,2019-10-30,8
Rl79BRc8zdk,2019-10-31,18
Rl79BRc8zdk,2019-11-01,15
Rl79BRc8zdk,2019-11-02,13
Rl79BRc8zdk,2019-11-03,9
Rl79BRc8zdk,2019-11-04,8
Rl79BRc8zdk,2019-11-05,22
Rl79BRc8zdk,2019-11-06,16
Rl79BRc8zdk,2019-11-07,22
Rl79BRc8zdk,2019-11-08,22
Rl79BRc8zdk,2019-11-09,52
Rl79BRc8zdk,2019-11-10,31
Rl79BRc8zdk,2019-11-11,24
Rl79BRc8zdk,2019-11-12,19
Rl79BRc8zdk,2019-11-13,14
Rl79BRc8zdk,2019-11-14,13
Rl79BRc8zdk,2019-11-15,11
Rl79BRc8zdk,2019-11-16,11
Rl79BRc8zdk,2019-11-17,23
Rl79BRc8zdk,2019-11-18,13
Rl79BRc8zdk,2019-11-19,10
Rl79BRc8zdk,2019-11-20,14
Rl79BRc8zdk,2019-11-21,9
Rl79BRc8zdk,2019-11-22,8
Rl79BRc8zdk,2019-11-23,11
Rl79BRc8zdk,2019-11-24,7
Rl79BRc8zdk,2019-11-25,8
Rl79BRc8zdk,2019-11-26,16
Rl79BRc8zdk,2019-11-27,15
Rl79BRc8zdk,2019-11-28,8
Rl79BRc8zdk,2019-11-29,7
Rl79BRc8zdk,2019-11-30,9
Rl79BRc8zdk,2019-12-01,12
Rl79BRc8zdk,2019-12-02,11
Rl79BRc8zdk,2019-12-03,9
Rl79BRc8zdk,2019-12-04,18
Rl79BRc8zdk,2019-12-05,13
Rl79BRc8zdk,2019-12-06,20
Rl79BRc8zdk,2019-12-07,20
Rl79BRc8zdk,2019-12-08,19
Rl79BRc8zdk,2019-12-09,14
Rl79BRc8zdk,2019-12-10,10
Rl79BRc8zdk,2019-12-11,12
Rl79BRc8zdk,2019-12-12,14
Rl79BRc8zdk,2019-12-13,9
Rl79BRc8zdk,2019-12-14,9
Rl79BRc8zdk,2019-12-15,6
Rl79BRc8zdk,2019-12-16,10
Rl79BRc8zdk,2019-12-17,15
Rl79BRc8zdk,2019-12-18,8
Rl79BRc8zdk,2019-12-19,14
Rl79BRc8zdk,2019-12-20,7
Rl79BRc8zdk,2019-12-21,10
Rl79BRc8zdk,2019-12-22,15
Rl79BRc8zdk,2019-12-23,8
Rl79BRc8zdk,2019-12-24,7
Rl79BRc8zdk,2019-12-25,7
Rl79BRc8zdk,2019-12-26,2
Rl79BRc8zdk,2019-12-27,10
Rl79BRc8zdk,2019-12-28,10
Rl79BRc8zdk,2019-12-29,11
Rl79BRc8zdk,2019-12-30,14
Rl79BRc8zdk,2019-12-31,11
Rl79BRc8zdk,2020-01-01,16
Rl79BRc8zdk,2020-01-02,15
Rl79BRc8zdk,2020-01-03,12
Rl79BRc8zdk,2020-01-04,8
Rl79BRc8zdk,2020-01-05,15
Rl79BRc8zdk,2020-01-06,7
Rl79BRc8zdk,2020-01-07,10
Rl79BRc8zdk,2020-01-08,9
Rl79BRc8zdk,2020-01-09,19
Rl79BRc8zdk,2020-01-10,11
Rl79BRc8zdk,2020-01-11,10
Rl79BRc8zdk,2020-01-12,9
Rl79BRc8zdk,2020-01-13,6
Rl79BRc8zdk,2020-01-14,10
Rl79BRc8zdk,2020-01-15,1
Rl79BRc8zdk,2020-01-16,3
Rl79BRc8zdk,2020-01-17,8
Rl79BRc8zdk,2020-01-18,9
Rl79BRc8zdk,2020-01-19,11
Rl79BRc8zdk,2020-01-20,9
Rl79BRc8zdk,2020-01-21,5
Rl79BRc8zdk,2020-01-22,7
Rl79BRc8zdk,2020-01-23,7
Rl79BRc8zdk,2020-01-24,13
Rl79BRc8zdk,2020-01-25,7
Rl79BRc8zdk,2020-01-26,10
Rl79BRc8zdk,2020-01-27,15
Rl79BRc8zdk,2020-01-28,31
Rl79BRc8zdk,2020-01-29,35
Rl79BRc8zdk,2020-01-30,27
Rl79BRc8zdk,2020-01-31,13
Rl79BRc8zdk,2020-02-01,12
Rl79BRc8zdk,2020-02-02,21
Rl79BRc8zdk,2020-02-03,19
Rl79BRc8zdk,2020-02-04,17
Rl79BRc8zdk,2020-02-05,35
Rl79BRc8zdk,2020-02-06,29
Rl79BRc8zdk,2020-02-07,28
Rl79BRc8zdk,2020-02-08,30
Rl79BRc8zdk,2020-02-09,27
Rl79BRc8zdk,2020-02-10,19
Rl79BRc8zdk,2020-02-11,27
Rl79BRc8zdk,2020-02-12,17
Rl79BRc8zdk,2020-02-13,13
Rl79BRc8zdk,2020-02-14,12
Rl79BRc8zdk,2020-02-15,13
Rl79BRc8zdk,2020-02-16,17
Rl79BRc8zdk,2020-02-17,19
Rl79BRc8zdk,2020-02-18,14
Rl79BRc8zdk,2020-02-19,8
Rl79BRc8zdk,2020-02-20,7
Rl79BRc8zdk,2020-02-21,12
Rl79BRc8zdk,2020-02-22,8
Rl79BRc8zdk,2020-02-23,7
Rl79BRc8zdk,2020-02-24,9
Rl79BRc8zdk,2020-02-25,8
Rl79BRc8zdk,2020-02-26,9
Rl79BRc8zdk,2020-02-27,9
Rl79BRc8zdk,2020-02-28,7
Rl79BRc8zdk,2020-02-29,3
Rl79BRc8zdk,2020-03-01,8
Rl79BRc8zdk,2020-03-02,12
Rl79BRc8zdk,2020-03-03,4
Rl79BRc8zdk,2020-03-04,2
Rl79BRc8zdk,2020-03-05,2
Rl79BRc8zdk,2020-03-06,6
Rl79BRc8zdk,2020-03-07,3
Rl79BRc8zdk,2020-03-08,5
Rl79BRc8zdk,2020-03-09,1
Rl79BRc8zdk,2020-03-10,3
Rl79BRc8zdk,2020-03-11,2
Rl79BRc8zdk,2020-03-12,2
Rl79BRc8zdk,2020-03-13,4
Rl79BRc8zdk,2020-03-14,1
Rl79BRc8zdk,2020-03-15,5
Rl79BRc8zdk,2020-03-16,3
Rl79BRc8zdk,2020-03-17,0
Rl79BRc8zdk,2020-03-18,-1
Rl79BRc8zdk,2020-03-19,3
Rl79BRc8zdk,2020-03-20,2
Rl79BRc8zdk,2020-03-21,4
Rl79BRc8zdk,2020-03-22,5
Rl79BRc8zdk,2020-03-23,2
