day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-11-17,74683,12293,156,4403,23,4290,548,241,523932,94250,420,57.49999999999999,0,0,0,0,0,0,0,0.0625,0.0007000000000000001,48,24271,3,18,225,35
2021-11-18,57403,8447,72,2663,22,1826,615,147,364359,61892,380,52.03,0,0,0,0,0,0,0,0.0286,0.0012,35,16111,1,19,465,35
2021-11-19,39464,5059,32,1353,23,998,373,92,212008,33514,322,44.03,0,0,0,0,0,0,0,0.0526,0.0006,19,9280,1,6,191,21
2021-11-20,28024,3986,28,890,23,709,288,57,158875,26440,340,46.47,0,0,0,0,0,0,0,0.11109999999999999,0.0011,18,6562,2,7,107,4
2021-11-21,18466,2700,19,556,17,634,268,30,104254,16998,338,46.28,0,0,0,0,0,0,0,0.0,0.0007000000000000001,4,4494,0,3,89,5
2021-11-22,20817,2854,17,591,13,578,191,46,113880,18900,328,44.84,0,0,0,0,0,0,0,0.0,0.001,10,5135,0,5,105,6
2021-11-23,16354,2310,8,464,15,441,149,31,87661,15249,321,43.94,0,0,0,0,0,0,0,0.16670000000000001,0.0005,6,3685,1,2,82,3
2021-11-24,9436,1384,5,274,9,257,150,22,49826,8495,316,43.28,0,0,0,0,0,0,0,0.0,0.0009,4,2114,0,2,59,2
2021-11-25,4621,702,5,139,4,144,101,12,25348,4286,329,44.96,0,0,0,0,0,0,0,0.2,0.0009,5,1112,1,1,28,1
2021-11-26,3717,538,5,126,4,100,78,9,20549,3439,331,45.32,0,0,0,0,0,0,0,0.0,0.0,0,912,0,0,17,4
2021-11-27,2498,379,2,82,3,67,75,10,14281,2518,343,46.86,0,0,0,0,0,0,0,0.0,0.0,0,619,0,0,10,3
2021-11-28,2034,263,4,78,2,57,88,7,11956,1878,352,48.18,0,0,0,0,0,0,0,0.0,0.0036,2,555,0,2,8,2
2021-11-29,1356,203,0,46,2,36,67,3,8386,1363,371,50.690000000000005,0,0,0,0,0,0,0,0.0,0.0,0,418,0,0,6,3
2021-11-30,971,158,0,39,1,27,62,2,6917,1268,427,58.4,0,0,0,0,0,0,0,0.0,0.0,0,316,0,0,9,0
2021-12-01,1465,252,1,56,1,40,42,4,10222,1937,418,57.2,0,0,0,0,0,0,0,0.0,0.0,2,539,0,0,11,0
2021-12-02,1740,273,2,66,2,40,37,6,11621,1825,400,54.75,0,0,0,0,0,0,0,0.0,0.0032,4,632,0,2,20,1
2021-12-03,1767,283,0,87,1,54,41,6,12174,2016,413,56.47,0,0,0,0,0,0,0,0.0,0.0015,4,658,0,1,26,0
2021-12-04,1303,230,1,54,2,34,35,3,8840,1743,407,55.61000000000001,0,0,0,0,0,0,0,0.0,0.0023,2,433,0,1,8,1
2021-12-05,1129,186,1,53,1,23,34,4,7916,1428,420,57.48,0,0,0,0,0,0,0,0.0,0.0,0,399,0,0,14,1
2021-12-06,1342,229,1,52,0,53,30,5,9050,1718,404,55.279999999999994,0,0,0,0,0,0,0,0.0,0.0,2,496,0,0,13,1
2021-12-07,1143,216,0,42,1,41,38,4,7717,1564,405,55.34,0,0,0,0,0,0,0,0.0,0.0029,2,348,0,1,12,1
2021-12-08,1097,182,1,36,1,28,31,4,7317,1282,400,54.669999999999995,0,0,0,0,0,0,0,0.0,0.0064,4,313,0,2,8,0
2021-12-09,986,146,3,38,1,34,24,4,6261,818,381,52.06000000000001,0,0,0,0,0,0,0,0.2,0.006,5,336,1,2,8,0
2021-12-10,694,131,0,24,0,20,26,2,4798,1039,414,56.68,0,0,0,0,0,0,0,0.0,0.0,0,250,0,0,7,3
2021-12-11,695,131,1,24,0,21,25,1,4996,1065,431,58.93000000000001,0,0,0,0,0,0,0,0.0,0.0042,4,238,0,1,3,0
2021-12-12,708,136,0,30,0,19,35,0,5486,1164,464,63.519999999999996,0,0,0,0,0,0,0,0.0,0.0,0,248,0,0,7,0
2021-12-13,740,152,0,50,0,22,23,2,5396,1231,437,59.78,0,0,0,0,0,0,0,0.0,0.0,0,198,0,0,6,0
2021-12-14,644,150,0,26,0,16,29,0,4471,1128,416,56.91,0,0,0,0,0,0,0,0.0,0.0,0,209,0,0,3,0
2021-12-15,748,143,1,33,1,30,28,9,5240,1171,420,57.43000000000001,0,0,0,0,0,0,0,0.0,0.0,2,220,0,0,4,0
2021-12-16,742,142,1,29,1,20,15,0,5026,966,406,55.53,0,0,0,0,0,0,0,0.0,0.0,0,212,0,0,5,0
2021-12-17,438,77,0,18,0,8,35,0,3150,625,431,58.96,0,0,0,0,0,0,0,0.0,0.0,0,118,0,0,2,0
2021-12-18,327,50,1,13,0,11,21,1,2541,379,466,63.7,0,0,0,0,0,0,0,0.0,0.0,0,137,0,0,2,0
2021-12-19,297,46,0,15,0,10,29,1,2211,366,446,61.03000000000001,0,0,0,0,0,0,0,0.0,0.0,0,84,0,0,3,0
