day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-09-27,42046,6754,158,3295,26,2879,520,107,216735,37048,309,62.61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,47
2021-09-28,40780,6236,85,2169,21,1515,548,117,196781,32736,289,58.60999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,88,17
2021-09-29,42279,6136,58,1775,34,1339,434,94,196907,30566,279,56.57,0,0,0,0,0,0,0,0,0,0,0,0,0,81,12
2021-09-30,39760,5750,59,1480,29,1263,398,70,184633,29148,278,56.39999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,152,7
2021-10-01,29687,3828,38,980,28,912,304,45,135619,18900,274,55.49000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,88,5
2021-10-02,29884,3804,47,922,26,735,304,41,137434,18882,275,55.86,0,0,0,0,0,0,0,0,0,0,0,0,0,102,8
2021-10-03,25799,3205,26,756,15,616,286,30,117617,15838,273,55.37,0,0,0,0,0,0,0,0,0,0,0,0,0,91,10
2021-10-04,15860,2041,17,524,14,427,207,23,70852,9810,268,54.26,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8
2021-10-05,9863,1348,16,331,11,281,193,19,45092,6637,274,55.53,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8
2021-10-06,6260,781,6,166,1,172,126,9,28018,3868,268,54.36,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4
2021-10-07,3517,506,5,130,5,157,121,6,15951,2400,272,55.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
2021-10-08,1778,251,1,64,0,55,80,0,8189,1301,276,55.94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-10-09,1434,199,1,63,1,36,79,3,7116,1018,297,60.28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-10,1353,189,3,64,2,46,59,1,6892,1002,305,61.88,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-10-11,1107,213,0,64,1,44,54,4,5876,1117,318,64.47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-10-12,1105,185,3,48,0,37,61,2,5589,1035,303,61.42999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-10-13,1130,200,1,63,2,27,43,1,5443,1082,289,58.51,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2021-10-14,900,181,1,52,0,28,44,2,4570,1018,304,61.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-15,733,123,1,45,0,25,45,2,3832,699,313,63.51,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-16,650,114,0,22,0,18,29,2,3442,606,317,64.32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2021-10-17,837,151,2,52,0,26,42,2,4513,912,323,65.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-10-18,757,143,1,40,1,22,35,1,3716,702,294,59.64,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-10-19,675,129,0,27,1,18,33,0,3367,741,299,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-20,717,125,0,40,0,19,33,0,3609,711,302,61.14999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-10-21,636,111,1,31,0,15,21,2,3058,554,288,58.41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-10-22,648,114,0,14,0,16,18,1,3103,559,287,58.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-10-23,625,96,0,26,0,18,26,0,3112,562,298,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-10-24,846,142,2,40,1,20,25,1,4029,766,285,57.85,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-25,611,108,0,33,0,14,25,1,2874,513,282,57.15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2021-10-26,535,84,0,20,0,17,32,1,2664,443,298,60.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-10-27,414,62,0,17,0,9,21,1,2030,323,294,59.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-10-28,500,81,1,18,1,8,20,1,2568,415,308,62.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-10-29,420,78,0,18,0,17,17,0,2158,474,308,62.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-10-30,449,82,0,17,0,11,12,0,2146,414,286,58.07,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-10-31,429,79,0,8,0,9,19,2,2113,387,295,59.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-01,346,59,0,12,0,8,16,1,1805,286,313,63.35999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-02,276,43,0,11,0,2,14,0,1463,230,318,64.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-03,245,48,0,8,0,9,18,0,1301,238,318,64.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-04,134,30,0,3,0,5,12,0,772,158,346,70.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-05,208,50,1,10,0,10,14,0,1086,288,313,63.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,544,122,3,11,0,12,12,0,2746,664,302,61.309999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,262,50,0,17,0,5,17,0,1512,311,346,70.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021-11-08,214,51,1,6,0,7,12,0,1266,340,355,71.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-09,236,51,0,7,0,18,16,0,1419,314,360,73.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-10,223,32,0,5,0,2,9,0,1358,214,365,73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-11,220,52,0,8,0,5,14,1,1306,339,356,72.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-12,203,39,1,5,0,2,10,0,1231,247,364,73.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-13,246,30,0,9,0,3,9,0,1365,180,333,67.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-14,242,48,0,11,0,7,15,0,1432,312,355,71.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-15,228,47,0,13,0,3,16,0,1371,270,360,73.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-16,256,49,0,7,0,5,7,0,1458,298,341,69.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-17,249,37,0,6,0,6,4,0,1395,237,336,68.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-18,283,47,0,10,0,6,4,0,1568,296,332,67.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-19,157,34,0,5,0,7,6,1,948,202,362,73.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-20,186,35,0,3,0,3,14,0,1112,196,358,72.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-21,143,29,0,6,0,4,10,1,862,168,361,73.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,185,24,0,5,0,4,14,0,1111,167,360,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-23,162,20,0,7,0,3,10,0,966,127,357,72.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-24,198,35,0,4,0,3,9,0,1183,223,358,72.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-25,261,40,0,7,0,3,3,0,1496,238,344,69.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-26,203,37,0,6,0,1,7,0,1150,196,340,68.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,197,39,0,8,0,2,4,0,1103,226,336,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,206,42,0,5,0,5,14,0,1267,268,369,74.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-29,593,104,1,21,0,2,9,0,3239,552,327,66.36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-30,873,144,1,27,0,17,7,0,4332,747,297,60.28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2021-12-01,736,104,0,30,0,21,13,2,3731,539,304,61.59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-02,562,74,1,19,0,10,6,0,3039,374,324,65.69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-03,378,61,0,10,0,6,10,0,2004,329,318,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
