day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,116,8,0,4,0,2,3,0,354,28,183,57.82000000000001,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,0,0
2019-01-02,167,7,0,0,0,0,0,1,530,25,190,60.08,0,0,0,0,0,0,0,0.0,0.0286,1,35,0,1,0,0
2019-01-03,114,7,0,0,0,2,2,0,364,28,191,60.480000000000004,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,0,0
2019-01-04,115,4,0,4,0,3,1,0,382,16,199,62.9,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,0,0
2019-01-05,137,5,0,2,1,4,1,0,445,21,195,61.62,0,0,0,0,0,0,0,0.0,0.0,0,41,0,0,0,0
2019-01-06,130,3,0,4,0,1,1,0,410,9,189,59.74,0,0,0,0,0,0,0,0.0,0.0,0,39,0,0,0,0
2019-01-07,88,2,0,2,0,1,3,0,253,8,172,54.44,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,0,0
2019-01-08,120,4,0,5,0,3,4,1,392,19,196,61.9,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,1,1
2019-01-09,139,5,0,3,0,1,5,1,408,21,176,55.559999999999995,0,0,0,0,0,0,0,0.0,0.0,0,29,0,0,0,0
2019-01-10,102,0,0,4,0,2,1,0,290,0,171,53.959999999999994,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,0,0
2019-01-11,158,5,0,3,0,2,1,0,399,25,151,47.82,0,0,0,0,0,0,0,0.0,0.07139999999999999,1,28,0,2,1,0
2019-01-12,110,5,0,2,0,2,0,1,317,23,173,54.59,0,0,0,0,0,0,0,0.0,0.0,0,35,0,0,1,0
2019-01-13,149,12,0,3,0,4,0,0,473,48,190,60.199999999999996,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,0,0
2019-01-14,126,1,0,3,0,2,0,0,366,4,174,55.059999999999995,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,0,0
2019-01-15,134,2,0,4,0,0,0,0,416,5,186,58.78,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,2,2
2019-01-16,93,1,0,1,0,2,2,0,244,4,157,49.69,0,0,0,0,0,0,0,0.0,0.0,0,18,0,0,1,0
2019-01-17,137,6,0,1,0,2,2,2,432,31,189,59.709999999999994,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,1,0
2019-01-18,124,9,0,2,0,4,1,1,356,39,172,54.44,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,1,0
2019-01-19,183,7,0,4,0,1,0,0,544,23,178,56.330000000000005,0,0,0,0,0,0,0,0.0,0.0,0,44,0,0,0,0
2019-01-20,161,8,0,3,0,1,0,1,558,33,208,65.64,0,0,0,0,0,0,0,0.0,0.0227,1,44,0,1,0,0
2019-01-21,159,10,0,0,1,3,2,1,499,31,188,59.52,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,0,0
2019-01-22,137,6,0,2,0,0,1,0,378,12,165,52.349999999999994,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,1,0
2019-01-23,102,6,0,1,0,4,1,0,339,31,199,63.01,0,0,0,0,0,0,0,0.0,0.07690000000000001,2,26,0,2,0,0
2019-01-24,115,5,0,2,0,1,0,0,342,19,178,56.3,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,0,0
2019-01-25,129,3,0,1,0,4,2,0,369,12,171,54.24,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,1,0
2019-01-26,125,2,0,4,0,1,1,1,419,10,201,63.57000000000001,0,0,0,0,0,0,0,0.0,0.0,0,36,0,0,0,0
2019-01-27,142,8,0,3,0,5,4,0,466,40,197,62.19,0,0,0,0,0,0,0,0.0,0.0313,1,32,0,1,1,0
2019-01-28,100,11,0,0,0,0,2,1,286,38,171,54.17000000000001,0,0,0,0,0,0,0,0.0,0.0,0,15,0,0,0,0
2019-01-29,119,2,0,1,0,3,2,1,402,7,203,64.06,0,0,0,0,0,0,0,0.0,0.0,1,28,0,0,1,0
2019-01-30,118,8,0,0,0,1,0,0,333,36,169,53.47,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,0,0
2019-01-31,107,4,0,3,0,0,0,0,301,11,169,53.33,0,0,0,0,0,0,0,0.0,0.0,0,21,0,0,0,0
2019-02-01,117,2,0,3,0,0,0,2,333,6,170,53.900000000000006,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,0,0
2019-02-02,176,7,2,4,0,1,0,0,496,35,169,53.39,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,0,0
2019-02-03,127,4,0,1,0,3,1,0,379,21,179,56.61999999999999,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,0,0
2019-02-04,132,4,0,3,1,3,2,0,427,20,194,61.33,0,0,0,0,0,0,0,0.0,0.0,0,29,0,0,0,0
2019-02-05,127,2,0,1,0,3,1,0,398,10,188,59.32999999999999,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,0,0
2019-02-06,129,4,0,1,0,3,1,0,392,19,182,57.57,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,0,0
2019-02-07,119,5,0,3,0,1,1,0,376,19,189,59.91,0,0,0,0,0,0,0,0.0,0.0,1,27,0,0,1,0
2019-02-08,144,7,0,1,0,2,0,1,382,21,159,50.28,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,0,0
2019-02-09,185,15,0,1,0,1,3,0,546,50,177,55.88000000000001,0,0,0,0,0,0,0,0.0,0.060599999999999994,2,33,0,2,0,0
2019-02-10,192,10,0,3,1,0,1,0,610,38,190,60.19,0,0,0,0,0,0,0,0.0,0.0,1,49,0,0,0,0
2019-02-11,107,6,1,0,0,3,1,0,294,20,164,52.019999999999996,0,0,0,0,0,0,0,0.0,0.0,0,15,0,0,0,0
2019-02-12,114,4,0,2,1,5,1,0,387,16,204,64.38,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,0,0
2019-02-13,158,9,0,0,0,0,2,0,478,35,181,57.28,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,0,0
2019-02-14,149,5,0,7,0,5,2,0,432,9,174,54.99000000000001,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,0,0
2019-02-15,133,8,0,3,0,1,1,0,376,37,169,53.53,0,0,0,0,0,0,0,0.0,0.0385,1,26,0,1,0,0
2019-02-16,171,8,0,4,0,4,4,0,494,29,173,54.730000000000004,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,1,0
2019-02-17,201,7,1,6,0,6,3,1,634,31,189,59.72,0,0,0,0,0,0,0,0.0,0.023799999999999998,1,42,0,1,0,0
2019-02-18,152,6,0,0,0,2,1,0,425,17,167,52.98,0,0,0,0,0,0,0,0.0,0.0,0,39,0,0,0,0
2019-02-19,188,6,0,3,0,3,3,0,484,15,154,48.78,0,0,0,0,0,0,0,0.0,0.0,0,35,0,0,1,0
2019-02-20,157,8,0,0,0,3,2,1,473,31,180,57.07,0,0,0,0,0,0,0,0.0,0.0,0,35,0,0,0,0
2019-02-21,168,5,1,2,0,1,4,0,459,7,164,51.739999999999995,0,0,0,0,0,0,0,0.0,0.0,0,37,0,0,0,0
2019-02-22,160,5,0,2,0,3,2,0,451,13,169,53.44,0,0,0,0,0,0,0,0.0,0.0,0,29,0,0,0,0
