day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,546,20,0,11,2,12,7,0,3874,155,425,56.769999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-02,305,18,0,7,0,12,7,0,2110,129,415,55.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-03,284,22,0,4,0,4,5,0,1822,203,385,51.35000000000001,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
2019-01-04,306,12,0,2,1,4,1,1,2074,90,406,54.230000000000004,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
2019-01-05,253,11,1,3,0,5,1,0,1825,77,432,57.72999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-06,284,12,0,8,0,5,3,0,1969,100,416,55.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-07,314,25,0,4,1,4,3,2,2245,199,429,57.21000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-08,392,11,0,1,0,3,1,3,2696,86,412,55.03,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,0
2019-01-09,431,16,0,6,1,19,5,0,2865,134,398,53.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-10,437,21,0,11,0,10,0,2,2840,151,389,51.99,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-01-11,1494,49,0,12,2,30,2,3,9512,336,382,50.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-01-12,2968,102,1,45,2,77,11,9,19369,673,391,52.21,0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,11,0
2019-01-13,2940,86,2,44,1,53,14,4,18551,579,378,50.47999999999999,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,21,1
2019-01-14,1427,47,0,20,3,30,9,3,9120,399,383,51.129999999999995,0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,3,0
2019-01-15,799,33,0,11,1,21,6,8,5315,260,399,53.22,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,7,0
2019-01-16,373,15,1,6,0,12,5,2,2379,117,382,51.03,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,1,0
2019-01-17,196,8,0,2,0,2,5,0,1219,32,373,49.79,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,2,0
2019-01-18,167,11,1,4,0,5,3,0,1125,85,404,53.93,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2019-01-19,222,13,3,1,1,5,1,1,1490,80,402,53.72,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,0
2019-01-20,265,14,0,4,0,3,7,0,1656,79,375,50.0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-01-21,264,17,0,4,0,6,6,3,1764,123,401,53.48,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,1,0
2019-01-22,206,13,0,5,0,0,2,0,1376,71,401,53.47,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
2019-01-23,215,7,0,3,0,9,2,0,1437,55,401,53.47,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,1,0
2019-01-24,205,8,1,4,0,6,3,1,1437,58,420,56.09,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2019-01-25,170,5,0,6,0,0,1,0,1094,12,386,51.49,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,1,0
2019-01-26,231,6,1,5,0,7,6,0,1549,31,402,53.65,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0
2019-01-27,178,12,1,6,0,7,1,0,1251,76,422,56.269999999999996,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2019-01-28,136,3,0,1,0,5,1,3,994,11,438,58.52,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-01-29,146,4,0,3,0,3,4,0,1047,36,430,57.379999999999995,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,2,0
2019-01-30,145,6,0,3,0,3,1,0,971,40,402,53.61,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0
2019-01-31,155,7,0,1,0,2,1,0,1078,54,417,55.67999999999999,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-02-01,150,6,0,4,0,2,4,0,1093,49,437,58.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-02-02,191,9,0,2,0,1,4,0,1385,69,435,58.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-02-03,214,14,0,4,1,6,3,0,1642,137,460,61.41,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,2,0
2019-02-04,209,13,0,1,0,2,0,1,1408,97,404,53.92,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,1,0
2019-02-05,166,4,0,3,0,5,4,0,1191,28,430,57.42,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-02-06,186,11,0,1,0,4,2,3,1222,93,394,52.57999999999999,0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0
2019-02-07,215,9,0,0,0,5,3,0,1817,92,507,67.62,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,2,0
2019-02-08,142,3,0,0,0,1,4,0,1002,20,423,56.46,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2019-02-09,185,12,0,0,0,4,4,1,1321,100,428,57.17,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2019-02-10,142,11,1,1,0,2,3,0,982,95,415,55.34,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,0
2019-02-11,113,13,0,2,0,2,0,0,817,108,433,57.86,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,0,0
2019-02-12,178,11,0,3,0,4,0,0,1232,98,415,55.37,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-02-13,107,1,0,0,0,3,1,0,834,5,467,62.39,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0
2019-02-14,101,8,0,0,0,1,0,1,785,53,466,62.2,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0
2019-02-15,145,8,0,1,0,6,2,0,1013,72,419,55.89999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-02-16,207,17,0,4,0,5,3,0,1609,166,466,62.22,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0
2019-02-17,219,15,0,4,0,6,4,0,1775,139,486,64.87,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,2,0
2019-02-18,211,11,0,2,0,2,2,0,1553,106,441,58.879999999999995,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0
2019-02-19,201,11,0,7,0,5,2,0,1500,65,447,59.72,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,3,0
2019-02-20,140,10,0,4,0,4,5,0,849,41,363,48.51,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-02-21,153,7,0,3,0,2,1,0,985,27,386,51.519999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-02-22,153,3,0,3,0,0,0,4,1110,29,435,58.07,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,0
