day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-07-30,7,1,0,0,0,4,0,0,33,5,291,91.92,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-07-31,22,2,1,1,0,0,0,1,91,10,249,78.67,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-08-01,13,3,0,0,0,0,0,0,58,14,269,85.17,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-08-02,14,2,0,1,0,0,0,0,54,7,234,73.86,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-08-03,28696,2140,153,1949,16,1197,213,59,98114,7631,205,64.71,0,0,0,0,0,0,0,0.0318,0.024700000000000003,314,12929,10,319,38,5
2019-08-04,65164,3713,178,2263,80,1796,420,129,197063,12085,181,57.24,0,0,0,0,0,0,0,0.0064,0.0227,625,28903,4,656,232,8
2019-08-05,23617,1277,47,725,25,683,284,56,69854,4366,177,55.98,0,0,0,0,0,0,0,0.0279,0.02,215,10864,6,217,85,3
2019-08-06,15480,840,28,487,27,466,182,39,46917,2938,181,57.37,0,0,0,0,0,0,0,0.0345,0.022099999999999998,174,7705,6,170,75,1
2019-08-07,11758,637,14,359,17,403,178,25,35567,2207,181,57.25,0,0,0,0,0,0,0,0.006500000000000001,0.025099999999999997,154,6184,1,155,80,1
2019-08-08,9764,490,20,259,8,282,100,26,29450,1691,180,57.09000000000001,0,0,0,0,0,0,0,0.0579,0.0223,121,5160,7,115,58,2
2019-08-09,9422,402,11,263,9,285,88,32,28830,1422,183,57.92,0,0,0,0,0,0,0,0.0163,0.0241,123,5184,2,125,68,1
2019-08-10,6041,268,3,134,6,161,75,21,19111,913,189,59.88,0,0,0,0,0,0,0,0.0116,0.0278,86,3097,1,86,29,4
2019-08-11,5835,260,13,154,2,130,67,13,18842,934,193,61.12,0,0,0,0,0,0,0,0.0132,0.0265,76,2905,1,77,26,1
2019-08-12,5258,279,5,150,1,207,66,20,16712,1023,190,60.15999999999999,0,0,0,0,0,0,0,0.0225,0.0325,89,2767,2,90,35,2
2019-08-13,6095,291,6,151,1,169,70,7,18624,999,183,57.84,0,0,0,0,0,0,0,0.0,0.026000000000000002,80,3234,0,84,32,1
2019-08-14,4890,208,6,132,0,130,57,11,14433,759,177,55.87,0,0,0,0,0,0,0,0.013000000000000001,0.0287,77,2679,1,77,41,3
2019-08-15,4845,199,5,133,1,136,56,13,13976,641,173,54.6,0,0,0,0,0,0,0,0.030600000000000002,0.0349,98,2810,3,98,42,2
2019-08-16,6807,235,6,191,7,179,43,15,18284,743,161,50.84000000000001,0,0,0,0,0,0,0,0.0,0.0363,139,3991,0,145,59,2
2019-08-17,6460,279,9,187,9,192,49,19,17382,912,161,50.93,0,0,0,0,0,0,0,0.013999999999999999,0.0395,143,3717,2,147,58,2
2019-08-18,6548,349,9,196,5,180,57,14,18393,1123,168,53.17000000000001,0,0,0,0,0,0,0,0.0067,0.0414,150,3717,1,154,58,4
2019-08-19,4899,280,6,145,6,161,55,6,14155,984,173,54.69,0,0,0,0,0,0,0,0.0154,0.024300000000000002,65,2673,1,65,37,0
2019-08-20,2697,164,1,84,1,84,49,5,7868,528,175,55.22,0,0,0,0,0,0,0,0.0204,0.035,49,1515,1,53,22,2
2019-08-21,1821,99,0,50,3,48,36,3,5529,349,182,57.47,0,0,0,0,0,0,0,0.0,0.0236,23,1018,0,24,13,0
2019-08-22,1419,99,0,48,1,38,39,1,4468,305,188,59.61,0,0,0,0,0,0,0,0.0,0.028300000000000002,19,741,0,21,7,0
