videoID,day,likes
Tu327ZWGG1M,2019-07-30,0
Tu327ZWGG1M,2019-07-31,1
Tu327ZWGG1M,2019-08-01,0
Tu327ZWGG1M,2019-08-02,1
Tu327ZWGG1M,2019-08-03,1949
Tu327ZWGG1M,2019-08-04,2263
Tu327ZWGG1M,2019-08-05,725
Tu327ZWGG1M,2019-08-06,487
Tu327ZWGG1M,2019-08-07,359
Tu327ZWGG1M,2019-08-08,259
Tu327ZWGG1M,2019-08-09,263
Tu327ZWGG1M,2019-08-10,134
Tu327ZWGG1M,2019-08-11,154
Tu327ZWGG1M,2019-08-12,150
Tu327ZWGG1M,2019-08-13,151
Tu327ZWGG1M,2019-08-14,132
Tu327ZWGG1M,2019-08-15,133
Tu327ZWGG1M,2019-08-16,191
Tu327ZWGG1M,2019-08-17,187
Tu327ZWGG1M,2019-08-18,196
Tu327ZWGG1M,2019-08-19,145
Tu327ZWGG1M,2019-08-20,84
Tu327ZWGG1M,2019-08-21,50
Tu327ZWGG1M,2019-08-22,48
Tu327ZWGG1M,2019-08-23,22
Tu327ZWGG1M,2019-08-24,26
Tu327ZWGG1M,2019-08-25,35
Tu327ZWGG1M,2019-08-26,29
Tu327ZWGG1M,2019-08-27,36
Tu327ZWGG1M,2019-08-28,41
Tu327ZWGG1M,2019-08-29,16
Tu327ZWGG1M,2019-08-30,36
Tu327ZWGG1M,2019-08-31,24
Tu327ZWGG1M,2019-09-01,27
Tu327ZWGG1M,2019-09-02,19
Tu327ZWGG1M,2019-09-03,7
Tu327ZWGG1M,2019-09-04,5
Tu327ZWGG1M,2019-09-05,20
Tu327ZWGG1M,2019-09-06,6
Tu327ZWGG1M,2019-09-07,3
Tu327ZWGG1M,2019-09-08,1
Tu327ZWGG1M,2019-09-09,4
Tu327ZWGG1M,2019-09-10,10
Tu327ZWGG1M,2019-09-11,12
Tu327ZWGG1M,2019-09-12,13
Tu327ZWGG1M,2019-09-13,10
Tu327ZWGG1M,2019-09-14,23
Tu327ZWGG1M,2019-09-15,22
Tu327ZWGG1M,2019-09-16,20
Tu327ZWGG1M,2019-09-17,30
Tu327ZWGG1M,2019-09-18,25
Tu327ZWGG1M,2019-09-19,36
Tu327ZWGG1M,2019-09-20,20
Tu327ZWGG1M,2019-09-21,22
Tu327ZWGG1M,2019-09-22,24
Tu327ZWGG1M,2019-09-23,25
Tu327ZWGG1M,2019-09-24,16
Tu327ZWGG1M,2019-09-25,22
Tu327ZWGG1M,2019-09-26,32
Tu327ZWGG1M,2019-09-27,24
Tu327ZWGG1M,2019-09-28,19
Tu327ZWGG1M,2019-09-29,20
Tu327ZWGG1M,2019-09-30,16
Tu327ZWGG1M,2019-10-01,17
Tu327ZWGG1M,2019-10-02,27
Tu327ZWGG1M,2019-10-03,27
Tu327ZWGG1M,2019-10-04,45
Tu327ZWGG1M,2019-10-05,84
Tu327ZWGG1M,2019-10-06,104
Tu327ZWGG1M,2019-10-07,133
Tu327ZWGG1M,2019-10-08,123
