day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-04-24,37186,3292,131,2503,36,2213,374,134,198281,18455,319,68.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,80,17
2020-04-25,41626,3501,58,1787,43,1637,494,87,206422,18406,297,63.580000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,242,14
2020-04-26,23539,1901,35,936,20,901,365,39,112951,9939,287,61.52000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,163,6
2020-04-27,14423,1113,19,575,18,618,255,26,67820,5694,282,60.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,109,6
2020-04-28,14284,1124,23,579,21,644,227,25,64436,5419,270,57.830000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,180,5
2020-04-29,9350,695,14,350,11,439,179,13,41892,3404,268,57.440000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,109,4
2020-04-30,4053,287,2,148,5,197,143,10,18168,1294,268,57.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,59,5
2020-05-01,2167,165,3,75,1,85,92,3,9777,850,270,57.85,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,22,1
2020-05-02,1303,109,4,44,1,52,76,0,6193,582,285,60.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,18,0
2020-05-03,1125,97,2,47,-1,32,64,4,5722,469,305,65.22,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,2
2020-05-04,1487,93,16,101,1,43,53,4,5140,329,207,44.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,78,2
2020-05-05,1499,101,4,80,2,43,47,5,6298,494,252,53.87,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,31,2
2020-05-06,2078,160,4,107,1,98,58,5,9041,797,261,55.779999999999994,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,32,4
2020-05-07,2175,147,3,104,0,74,42,3,9193,726,253,54.18999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,27,3
2020-05-08,2130,174,6,94,1,93,48,5,9544,782,268,57.45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,12,2
2020-05-09,2632,174,4,146,3,107,50,4,11592,779,264,56.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,24,0
2020-05-10,2615,209,4,125,3,111,55,4,11811,1044,271,57.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,27,0
2020-05-11,3325,287,3,138,2,122,50,5,15321,1399,276,59.08,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,43,0
2020-05-12,4730,400,8,172,3,175,60,6,21770,2000,276,59.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,35,0
