videoID,day,likes
UEbtd6bucvg,2019-07-12,2
UEbtd6bucvg,2019-07-13,0
UEbtd6bucvg,2019-07-14,0
UEbtd6bucvg,2019-07-15,1677
UEbtd6bucvg,2019-07-16,943
UEbtd6bucvg,2019-07-17,581
UEbtd6bucvg,2019-07-18,497
UEbtd6bucvg,2019-07-19,321
UEbtd6bucvg,2019-07-20,331
UEbtd6bucvg,2019-07-21,400
UEbtd6bucvg,2019-07-22,273
UEbtd6bucvg,2019-07-23,133
UEbtd6bucvg,2019-07-24,122
UEbtd6bucvg,2019-07-25,81
UEbtd6bucvg,2019-07-26,18
UEbtd6bucvg,2019-07-27,19
UEbtd6bucvg,2019-07-28,20
UEbtd6bucvg,2019-07-29,14
UEbtd6bucvg,2019-07-30,17
UEbtd6bucvg,2019-07-31,18
UEbtd6bucvg,2019-08-01,18
UEbtd6bucvg,2019-08-02,19
UEbtd6bucvg,2019-08-03,15
UEbtd6bucvg,2019-08-04,25
UEbtd6bucvg,2019-08-05,23
UEbtd6bucvg,2019-08-06,27
UEbtd6bucvg,2019-08-07,23
UEbtd6bucvg,2019-08-08,24
UEbtd6bucvg,2019-08-09,22
UEbtd6bucvg,2019-08-10,20
UEbtd6bucvg,2019-08-11,26
UEbtd6bucvg,2019-08-12,23
UEbtd6bucvg,2019-08-13,23
UEbtd6bucvg,2019-08-14,21
UEbtd6bucvg,2019-08-15,16
UEbtd6bucvg,2019-08-16,19
UEbtd6bucvg,2019-08-17,24
UEbtd6bucvg,2019-08-18,30
UEbtd6bucvg,2019-08-19,15
UEbtd6bucvg,2019-08-20,10
UEbtd6bucvg,2019-08-21,8
UEbtd6bucvg,2019-08-22,4
UEbtd6bucvg,2019-08-23,5
UEbtd6bucvg,2019-08-24,27
UEbtd6bucvg,2019-08-25,49
UEbtd6bucvg,2019-08-26,53
UEbtd6bucvg,2019-08-27,56
UEbtd6bucvg,2019-08-28,50
UEbtd6bucvg,2019-08-29,30
UEbtd6bucvg,2019-08-30,12
UEbtd6bucvg,2019-08-31,18
UEbtd6bucvg,2019-09-01,10
UEbtd6bucvg,2019-09-02,9
UEbtd6bucvg,2019-09-03,10
UEbtd6bucvg,2019-09-04,9
UEbtd6bucvg,2019-09-05,4
UEbtd6bucvg,2019-09-06,6
UEbtd6bucvg,2019-09-07,8
UEbtd6bucvg,2019-09-08,5
UEbtd6bucvg,2019-09-09,2
UEbtd6bucvg,2019-09-10,6
UEbtd6bucvg,2019-09-11,14
UEbtd6bucvg,2019-09-12,21
UEbtd6bucvg,2019-09-13,9
UEbtd6bucvg,2019-09-14,10
UEbtd6bucvg,2019-09-15,12
UEbtd6bucvg,2019-09-16,6
UEbtd6bucvg,2019-09-17,7
UEbtd6bucvg,2019-09-18,12
UEbtd6bucvg,2019-09-19,7
UEbtd6bucvg,2019-09-20,8
UEbtd6bucvg,2019-09-21,13
UEbtd6bucvg,2019-09-22,21
UEbtd6bucvg,2019-09-23,13
UEbtd6bucvg,2019-09-24,27
UEbtd6bucvg,2019-09-25,25
UEbtd6bucvg,2019-09-26,26
UEbtd6bucvg,2019-09-27,29
UEbtd6bucvg,2019-09-28,14
UEbtd6bucvg,2019-09-29,34
UEbtd6bucvg,2019-09-30,28
UEbtd6bucvg,2019-10-01,30
UEbtd6bucvg,2019-10-02,12
UEbtd6bucvg,2019-10-03,16
UEbtd6bucvg,2019-10-04,13
UEbtd6bucvg,2019-10-05,9
UEbtd6bucvg,2019-10-06,6
UEbtd6bucvg,2019-10-07,6
UEbtd6bucvg,2019-10-08,11
UEbtd6bucvg,2019-10-09,7
UEbtd6bucvg,2019-10-10,8
UEbtd6bucvg,2019-10-11,5
UEbtd6bucvg,2019-10-12,4
UEbtd6bucvg,2019-10-13,6
UEbtd6bucvg,2019-10-14,5
UEbtd6bucvg,2019-10-15,5
UEbtd6bucvg,2019-10-16,4
UEbtd6bucvg,2019-10-17,3
UEbtd6bucvg,2019-10-18,6
UEbtd6bucvg,2019-10-19,8
UEbtd6bucvg,2019-10-20,8
UEbtd6bucvg,2019-10-21,6
UEbtd6bucvg,2019-10-22,6
UEbtd6bucvg,2019-10-23,5
UEbtd6bucvg,2019-10-24,3
UEbtd6bucvg,2019-10-25,2
UEbtd6bucvg,2019-10-26,3
UEbtd6bucvg,2019-10-27,2
UEbtd6bucvg,2019-10-28,3
UEbtd6bucvg,2019-10-29,4
UEbtd6bucvg,2019-10-30,3
UEbtd6bucvg,2019-10-31,4
UEbtd6bucvg,2019-11-01,8
UEbtd6bucvg,2019-11-02,5
UEbtd6bucvg,2019-11-03,4
UEbtd6bucvg,2019-11-04,5
UEbtd6bucvg,2019-11-05,9
UEbtd6bucvg,2019-11-06,9
UEbtd6bucvg,2019-11-07,5
UEbtd6bucvg,2019-11-08,4
UEbtd6bucvg,2019-11-09,1
UEbtd6bucvg,2019-11-10,2
UEbtd6bucvg,2019-11-11,5
UEbtd6bucvg,2019-11-12,6
UEbtd6bucvg,2019-11-13,2
UEbtd6bucvg,2019-11-14,6
UEbtd6bucvg,2019-11-15,3
UEbtd6bucvg,2019-11-16,1
UEbtd6bucvg,2019-11-17,0
UEbtd6bucvg,2019-11-18,2
UEbtd6bucvg,2019-11-19,2
UEbtd6bucvg,2019-11-20,5
UEbtd6bucvg,2019-11-21,2
UEbtd6bucvg,2019-11-22,3
UEbtd6bucvg,2019-11-23,3
UEbtd6bucvg,2019-11-24,7
UEbtd6bucvg,2019-11-25,5
UEbtd6bucvg,2019-11-26,8
UEbtd6bucvg,2019-11-27,4
UEbtd6bucvg,2019-11-28,3
UEbtd6bucvg,2019-11-29,4
UEbtd6bucvg,2019-11-30,5
UEbtd6bucvg,2019-12-01,7
UEbtd6bucvg,2019-12-02,5
UEbtd6bucvg,2019-12-03,6
UEbtd6bucvg,2019-12-04,5
UEbtd6bucvg,2019-12-05,9
UEbtd6bucvg,2019-12-06,8
UEbtd6bucvg,2019-12-07,17
UEbtd6bucvg,2019-12-08,9
UEbtd6bucvg,2019-12-09,9
UEbtd6bucvg,2019-12-10,11
UEbtd6bucvg,2019-12-11,10
UEbtd6bucvg,2019-12-12,9
UEbtd6bucvg,2019-12-13,4
UEbtd6bucvg,2019-12-14,3
UEbtd6bucvg,2019-12-15,3
UEbtd6bucvg,2019-12-16,6
UEbtd6bucvg,2019-12-17,2
UEbtd6bucvg,2019-12-18,4
UEbtd6bucvg,2019-12-19,6
UEbtd6bucvg,2019-12-20,5
UEbtd6bucvg,2019-12-21,4
UEbtd6bucvg,2019-12-22,2
UEbtd6bucvg,2019-12-23,5
UEbtd6bucvg,2019-12-24,2
UEbtd6bucvg,2019-12-25,2
UEbtd6bucvg,2019-12-26,1
UEbtd6bucvg,2019-12-27,5
UEbtd6bucvg,2019-12-28,5
UEbtd6bucvg,2019-12-29,3
UEbtd6bucvg,2019-12-30,4
UEbtd6bucvg,2019-12-31,1
UEbtd6bucvg,2020-01-01,5
UEbtd6bucvg,2020-01-02,5
UEbtd6bucvg,2020-01-03,2
UEbtd6bucvg,2020-01-04,4
UEbtd6bucvg,2020-01-05,8
UEbtd6bucvg,2020-01-06,4
UEbtd6bucvg,2020-01-07,4
UEbtd6bucvg,2020-01-08,1
UEbtd6bucvg,2020-01-09,5
UEbtd6bucvg,2020-01-10,4
