day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-11-29,61650,9812,189,3567,63,3803,568,129,440850,77784,429,56.38000000000001,0,0,0,0,0,0,0,0.24239999999999998,0.003,33,8586,8,26,93,32
2021-11-30,29895,4630,49,1220,39,1154,543,61,200001,34593,401,52.75,0,0,0,0,0,0,0,0.16670000000000001,0.0027,12,3739,2,10,57,17
2021-12-01,24792,4298,50,916,25,963,334,42,175472,33492,424,55.8,0,0,0,0,0,0,0,0.2727,0.0023,11,3543,3,8,57,11
2021-12-02,18856,3199,38,651,19,718,280,39,128415,24617,408,53.68999999999999,0,0,0,0,0,0,0,0.3636,0.0034000000000000002,11,2354,4,8,67,2
2021-12-03,10553,1587,19,361,15,463,203,32,67343,11583,382,50.31,0,0,0,0,0,0,0,0.5,0.0022,4,1360,2,3,51,2
2021-12-04,9887,1576,16,313,11,361,164,17,65317,11681,396,52.09,0,0,0,0,0,0,0,0.6667000000000001,0.0025,3,1217,2,3,23,1
2021-12-05,10943,1910,18,375,9,372,141,32,78504,14976,430,56.56,0,0,0,0,0,0,0,0.4,0.0029,5,1378,2,4,33,6
2021-12-06,7731,1351,13,242,9,276,129,16,55520,10550,430,56.61999999999999,0,0,0,0,0,0,0,0.0,0.002,1,1009,0,2,30,3
2021-12-07,6773,1236,15,228,8,243,100,10,47564,9747,421,55.37,0,0,0,0,0,0,0,0.22219999999999998,0.006500000000000001,9,928,2,6,13,5
2021-12-08,4114,627,7,146,3,155,110,8,26064,4706,380,49.95,0,0,0,0,0,0,0,0.0,0.0,0,503,0,0,9,3
2021-12-09,2192,345,1,70,1,61,68,3,13593,2516,372,48.89,0,0,0,0,0,0,0,0.3333,0.013000000000000001,3,231,1,3,6,4
2021-12-10,1229,198,1,50,1,29,65,4,8428,1455,411,54.06999999999999,0,0,0,0,0,0,0,1.0,0.0059,1,170,1,1,6,2
2021-12-11,1037,204,1,41,0,26,49,2,7482,1574,432,56.88999999999999,0,0,0,0,0,0,0,0.0,0.0,0,124,0,0,4,0
2021-12-12,1257,217,0,68,2,26,49,5,9195,1808,438,57.68,0,0,0,0,0,0,0,0.0,0.0,0,190,0,0,4,0
2021-12-13,1149,219,2,45,1,29,47,2,8445,1749,440,57.95,0,0,0,0,0,0,0,0.0,0.0,0,157,0,0,4,0
2021-12-14,990,188,0,46,0,24,45,1,7117,1457,431,56.69,0,0,0,0,0,0,0,0.0,0.0074,1,136,0,1,3,3
2021-12-15,1284,236,0,62,0,40,48,3,9181,1906,429,56.38000000000001,0,0,0,0,0,0,0,0.0,0.0,0,164,0,0,4,0
2021-12-16,1424,242,3,64,0,38,20,4,9727,1846,409,53.86,0,0,0,0,0,0,0,0.0,0.0,0,179,0,0,4,0
2021-12-17,1044,185,1,34,0,25,31,0,6943,1371,399,52.44,0,0,0,0,0,0,0,0.0,0.0,0,126,0,0,1,1
