videoID,day,likes
UGKCfmyqSOM,2021-11-29,3567
UGKCfmyqSOM,2021-11-30,1220
UGKCfmyqSOM,2021-12-01,916
UGKCfmyqSOM,2021-12-02,651
UGKCfmyqSOM,2021-12-03,361
UGKCfmyqSOM,2021-12-04,313
UGKCfmyqSOM,2021-12-05,375
UGKCfmyqSOM,2021-12-06,242
UGKCfmyqSOM,2021-12-07,228
UGKCfmyqSOM,2021-12-08,146
UGKCfmyqSOM,2021-12-09,70
UGKCfmyqSOM,2021-12-10,50
UGKCfmyqSOM,2021-12-11,41
UGKCfmyqSOM,2021-12-12,68
UGKCfmyqSOM,2021-12-13,45
UGKCfmyqSOM,2021-12-14,46
UGKCfmyqSOM,2021-12-15,62
UGKCfmyqSOM,2021-12-16,64
UGKCfmyqSOM,2021-12-17,34
UGKCfmyqSOM,2021-12-18,35
UGKCfmyqSOM,2021-12-19,33
UGKCfmyqSOM,2021-12-20,23
UGKCfmyqSOM,2021-12-21,35
UGKCfmyqSOM,2021-12-22,26
UGKCfmyqSOM,2021-12-23,19
UGKCfmyqSOM,2021-12-24,16
UGKCfmyqSOM,2021-12-25,31
UGKCfmyqSOM,2021-12-26,40
UGKCfmyqSOM,2021-12-27,38
UGKCfmyqSOM,2021-12-28,45
UGKCfmyqSOM,2021-12-29,20
UGKCfmyqSOM,2021-12-30,21
UGKCfmyqSOM,2021-12-31,18
UGKCfmyqSOM,2022-01-01,21
UGKCfmyqSOM,2022-01-02,18
UGKCfmyqSOM,2022-01-03,41
UGKCfmyqSOM,2022-01-04,32
UGKCfmyqSOM,2022-01-05,22
UGKCfmyqSOM,2022-01-06,17
UGKCfmyqSOM,2022-01-07,17
UGKCfmyqSOM,2022-01-08,17
UGKCfmyqSOM,2022-01-09,17
UGKCfmyqSOM,2022-01-10,18
UGKCfmyqSOM,2022-01-11,19
UGKCfmyqSOM,2022-01-12,12
UGKCfmyqSOM,2022-01-13,11
UGKCfmyqSOM,2022-01-14,6
UGKCfmyqSOM,2022-01-15,14
UGKCfmyqSOM,2022-01-16,20
UGKCfmyqSOM,2022-01-17,13
UGKCfmyqSOM,2022-01-18,12
UGKCfmyqSOM,2022-01-19,5
UGKCfmyqSOM,2022-01-20,12
UGKCfmyqSOM,2022-01-21,7
UGKCfmyqSOM,2022-01-22,31
UGKCfmyqSOM,2022-01-23,67
UGKCfmyqSOM,2022-01-24,18
UGKCfmyqSOM,2022-01-25,29
UGKCfmyqSOM,2022-01-26,20
UGKCfmyqSOM,2022-01-27,11
UGKCfmyqSOM,2022-01-28,32
UGKCfmyqSOM,2022-01-29,45
UGKCfmyqSOM,2022-01-30,59
UGKCfmyqSOM,2022-01-31,82
UGKCfmyqSOM,2022-02-01,74
UGKCfmyqSOM,2022-02-02,96
UGKCfmyqSOM,2022-02-03,79
UGKCfmyqSOM,2022-02-04,86
UGKCfmyqSOM,2022-02-05,79
UGKCfmyqSOM,2022-02-06,120
UGKCfmyqSOM,2022-02-07,86
UGKCfmyqSOM,2022-02-08,78
UGKCfmyqSOM,2022-02-09,71
UGKCfmyqSOM,2022-02-10,52
UGKCfmyqSOM,2022-02-11,45
UGKCfmyqSOM,2022-02-12,58
UGKCfmyqSOM,2022-02-13,42
UGKCfmyqSOM,2022-02-14,35
UGKCfmyqSOM,2022-02-15,41
UGKCfmyqSOM,2022-02-16,40
UGKCfmyqSOM,2022-02-17,37
UGKCfmyqSOM,2022-02-18,36
UGKCfmyqSOM,2022-02-19,30
UGKCfmyqSOM,2022-02-20,31
UGKCfmyqSOM,2022-02-21,63
UGKCfmyqSOM,2022-02-22,25
UGKCfmyqSOM,2022-02-23,20
UGKCfmyqSOM,2022-02-24,13
UGKCfmyqSOM,2022-02-25,5
UGKCfmyqSOM,2022-02-26,8
UGKCfmyqSOM,2022-02-27,10
UGKCfmyqSOM,2022-02-28,2
UGKCfmyqSOM,2022-03-01,1
UGKCfmyqSOM,2022-03-02,2
UGKCfmyqSOM,2022-03-03,2
UGKCfmyqSOM,2022-03-04,2
UGKCfmyqSOM,2022-03-05,2
UGKCfmyqSOM,2022-03-06,3
UGKCfmyqSOM,2022-03-07,5
UGKCfmyqSOM,2022-03-08,5
UGKCfmyqSOM,2022-03-09,3
UGKCfmyqSOM,2022-03-10,3
UGKCfmyqSOM,2022-03-11,3
UGKCfmyqSOM,2022-03-12,4
UGKCfmyqSOM,2022-03-13,3
UGKCfmyqSOM,2022-03-14,5
