day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-06-28,18828,1141,96,1198,15,861,142,49,134846,8962,429,60.699999999999996,0,0,0,0,0,0,0,0.2619,0.024399999999999998,210,5975,55,146,48,7
2019-06-29,34990,1663,70,997,39,636,165,63,232765,12345,399,56.38000000000001,0,0,0,0,0,0,0,0.2241,0.0219,290,9059,65,198,143,7
2019-06-30,34653,1661,68,665,57,485,157,44,221810,12175,384,54.24,0,0,0,0,0,0,0,0.2953,0.0175,193,7881,57,138,176,6
2019-07-01,26106,1271,81,458,36,377,122,32,162762,8532,374,52.839999999999996,0,0,0,0,0,0,0,0.27649999999999997,0.0219,170,5995,47,131,113,0
2019-07-02,18656,758,41,243,19,268,107,26,111156,4997,357,50.49,0,0,0,0,0,0,0,0.3208,0.0195,106,3991,34,78,80,1
2019-07-03,12076,439,9,141,14,149,84,13,71394,3127,354,50.1,0,0,0,0,0,0,0,0.2692,0.0195,78,2507,21,49,55,4
2019-07-04,9383,289,9,123,8,98,53,12,56023,1987,358,50.6,0,0,0,0,0,0,0,0.1628,0.0148,43,2022,7,30,54,2
2019-07-05,9473,344,13,115,11,133,49,12,55812,2344,353,49.93,0,0,0,0,0,0,0,0.2727,0.0148,55,2093,15,31,53,1
2019-07-06,7688,265,5,80,8,81,41,8,44847,1724,350,49.44,0,0,0,0,0,0,0,0.25,0.025099999999999997,56,1754,14,44,35,4
2019-07-07,6077,221,2,71,5,66,61,4,35544,1573,350,49.57,0,0,0,0,0,0,0,0.3256,0.021099999999999997,43,1376,14,29,31,1
2019-07-08,4510,130,4,52,3,41,35,6,25517,820,339,47.95,0,0,0,0,0,0,0,0.3333,0.0236,36,1016,12,24,23,1
2019-07-09,4467,167,4,51,4,42,24,4,27180,1136,365,51.57000000000001,0,0,0,0,0,0,0,0.2857,0.0191,35,1102,10,21,30,1
2019-07-10,4313,115,5,51,2,47,24,4,24917,830,346,48.96,0,0,0,0,0,0,0,0.3103,0.0121,29,991,9,12,24,3
2019-07-11,3515,116,5,37,4,14,20,4,21473,842,366,51.77,0,0,0,0,0,0,0,0.2917,0.0144,24,900,7,13,18,1
2019-07-12,2979,96,2,34,3,39,10,5,18505,733,372,52.64,0,0,0,0,0,0,0,0.4167,0.010700000000000001,12,749,5,8,8,0
2019-07-13,2941,103,3,31,1,17,21,1,18858,771,384,54.339999999999996,0,0,0,0,0,0,0,0.2609,0.0181,23,774,6,14,8,2
2019-07-14,3027,89,2,29,0,27,13,4,19761,631,391,55.33,0,0,0,0,0,0,0,0.2917,0.018799999999999997,24,746,7,14,9,0
2019-07-15,2720,80,1,23,2,17,9,4,17644,574,389,54.97,0,0,0,0,0,0,0,0.35479999999999995,0.0223,31,718,11,16,13,0
2019-07-16,3256,114,4,37,2,25,17,6,21700,782,399,56.48,0,0,0,0,0,0,0,0.3043,0.021400000000000002,23,886,7,19,14,1
2019-07-17,3508,117,1,35,2,27,9,5,23881,854,408,57.69,0,0,0,0,0,0,0,0.3333,0.0194,27,977,9,19,17,0
2019-07-18,5032,185,0,43,3,45,12,11,34341,1477,409,57.84,0,0,0,0,0,0,0,0.3143,0.0183,35,1260,11,23,30,1
