videoID,day,likes
VQr3ckvat0Y,2020-10-08,0
VQr3ckvat0Y,2020-10-09,1909
VQr3ckvat0Y,2020-10-10,678
VQr3ckvat0Y,2020-10-11,606
VQr3ckvat0Y,2020-10-12,181
VQr3ckvat0Y,2020-10-13,157
VQr3ckvat0Y,2020-10-14,130
VQr3ckvat0Y,2020-10-15,116
VQr3ckvat0Y,2020-10-16,65
VQr3ckvat0Y,2020-10-17,70
VQr3ckvat0Y,2020-10-18,61
VQr3ckvat0Y,2020-10-19,34
VQr3ckvat0Y,2020-10-20,31
VQr3ckvat0Y,2020-10-21,30
VQr3ckvat0Y,2020-10-22,19
VQr3ckvat0Y,2020-10-23,16
VQr3ckvat0Y,2020-10-24,33
VQr3ckvat0Y,2020-10-25,23
VQr3ckvat0Y,2020-10-26,14
VQr3ckvat0Y,2020-10-27,15
VQr3ckvat0Y,2020-10-28,8
VQr3ckvat0Y,2020-10-29,14
VQr3ckvat0Y,2020-10-30,9
VQr3ckvat0Y,2020-10-31,6
VQr3ckvat0Y,2020-11-01,7
VQr3ckvat0Y,2020-11-02,10
VQr3ckvat0Y,2020-11-03,4
VQr3ckvat0Y,2020-11-04,6
VQr3ckvat0Y,2020-11-05,10
VQr3ckvat0Y,2020-11-06,6
VQr3ckvat0Y,2020-11-07,8
VQr3ckvat0Y,2020-11-08,4
VQr3ckvat0Y,2020-11-09,5
VQr3ckvat0Y,2020-11-10,8
VQr3ckvat0Y,2020-11-11,4
VQr3ckvat0Y,2020-11-12,6
VQr3ckvat0Y,2020-11-13,5
VQr3ckvat0Y,2020-11-14,3
VQr3ckvat0Y,2020-11-15,3
VQr3ckvat0Y,2020-11-16,4
VQr3ckvat0Y,2020-11-17,4
VQr3ckvat0Y,2020-11-18,4
VQr3ckvat0Y,2020-11-19,2
VQr3ckvat0Y,2020-11-20,1
VQr3ckvat0Y,2020-11-21,1
VQr3ckvat0Y,2020-11-22,3
VQr3ckvat0Y,2020-11-23,3
VQr3ckvat0Y,2020-11-24,3
VQr3ckvat0Y,2020-11-25,9
VQr3ckvat0Y,2020-11-26,28
VQr3ckvat0Y,2020-11-27,9
VQr3ckvat0Y,2020-11-28,8
VQr3ckvat0Y,2020-11-29,8
VQr3ckvat0Y,2020-11-30,2
VQr3ckvat0Y,2020-12-01,6
VQr3ckvat0Y,2020-12-02,7
VQr3ckvat0Y,2020-12-03,2
VQr3ckvat0Y,2020-12-04,3
VQr3ckvat0Y,2020-12-05,5
VQr3ckvat0Y,2020-12-06,3
VQr3ckvat0Y,2020-12-07,0
VQr3ckvat0Y,2020-12-08,1
VQr3ckvat0Y,2020-12-09,3
VQr3ckvat0Y,2020-12-10,2
VQr3ckvat0Y,2020-12-11,3
VQr3ckvat0Y,2020-12-12,5
VQr3ckvat0Y,2020-12-13,5
VQr3ckvat0Y,2020-12-14,6
VQr3ckvat0Y,2020-12-15,2
VQr3ckvat0Y,2020-12-16,3
VQr3ckvat0Y,2020-12-17,3
VQr3ckvat0Y,2020-12-18,2
VQr3ckvat0Y,2020-12-19,4
VQr3ckvat0Y,2020-12-20,4
VQr3ckvat0Y,2020-12-21,1
VQr3ckvat0Y,2020-12-22,5
VQr3ckvat0Y,2020-12-23,5
VQr3ckvat0Y,2020-12-24,3
VQr3ckvat0Y,2020-12-25,1
VQr3ckvat0Y,2020-12-26,6
VQr3ckvat0Y,2020-12-27,8
VQr3ckvat0Y,2020-12-28,10
VQr3ckvat0Y,2020-12-29,13
VQr3ckvat0Y,2020-12-30,3
VQr3ckvat0Y,2020-12-31,4
VQr3ckvat0Y,2021-01-01,2
VQr3ckvat0Y,2021-01-02,5
VQr3ckvat0Y,2021-01-03,5
VQr3ckvat0Y,2021-01-04,2
VQr3ckvat0Y,2021-01-05,7
VQr3ckvat0Y,2021-01-06,6
VQr3ckvat0Y,2021-01-07,13
VQr3ckvat0Y,2021-01-08,4
VQr3ckvat0Y,2021-01-09,1
VQr3ckvat0Y,2021-01-10,7
VQr3ckvat0Y,2021-01-11,4
VQr3ckvat0Y,2021-01-12,5
VQr3ckvat0Y,2021-01-13,4
VQr3ckvat0Y,2021-01-14,3
VQr3ckvat0Y,2021-01-15,3
VQr3ckvat0Y,2021-01-16,4
VQr3ckvat0Y,2021-01-17,4
VQr3ckvat0Y,2021-01-18,6
VQr3ckvat0Y,2021-01-19,10
VQr3ckvat0Y,2021-01-20,15
VQr3ckvat0Y,2021-01-21,12
VQr3ckvat0Y,2021-01-22,4
VQr3ckvat0Y,2021-01-23,2
VQr3ckvat0Y,2021-01-24,4
VQr3ckvat0Y,2021-01-25,5
VQr3ckvat0Y,2021-01-26,7
VQr3ckvat0Y,2021-01-27,7
VQr3ckvat0Y,2021-01-28,2
VQr3ckvat0Y,2021-01-29,5
VQr3ckvat0Y,2021-01-30,13
VQr3ckvat0Y,2021-01-31,4
VQr3ckvat0Y,2021-02-01,2
VQr3ckvat0Y,2021-02-02,1
VQr3ckvat0Y,2021-02-03,4
VQr3ckvat0Y,2021-02-04,3
VQr3ckvat0Y,2021-02-05,3
VQr3ckvat0Y,2021-02-06,5
VQr3ckvat0Y,2021-02-07,9
VQr3ckvat0Y,2021-02-08,3
VQr3ckvat0Y,2021-02-09,2
VQr3ckvat0Y,2021-02-10,5
VQr3ckvat0Y,2021-02-11,1
VQr3ckvat0Y,2021-02-12,0
VQr3ckvat0Y,2021-02-13,3
VQr3ckvat0Y,2021-02-14,3
